t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.49929999999999997,0.485758,0.48116800000000004,0.0
0.1,0.0,0.4993,0.469304,0.46335000000000004,0.0
0.2,0.0,0.49929999999999997,0.464217,0.45862800000000004,0.0
0.3,0.0,0.499301,0.463447,0.459453,0.0
0.4,0.0,0.49929999999999997,0.470114,0.463183,0.0
0.5,0.0,0.4993000000000001,0.47818000000000005,0.470882,0.0
0.6,0.0,0.499299,0.48030599999999996,0.47915099999999994,0.0
0.7,0.0,0.4993,0.48538200000000004,0.481879,0.0
0.8,0.0,0.4993,0.49126400000000003,0.48338500000000006,0.0
0.9,0.0,0.49929999999999997,0.49297,0.484421,0.0
1.0,0.0,0.499299,0.497634,0.487286,0.0
1.1,0.0,0.49929999999999997,0.499186,0.491747,0.0
1.2,0.0,0.4993,0.5006360000000001,0.48933100000000007,0.0
1.3,0.0,0.49929999999999997,0.501589,0.489186,0.0
1.4,0.0,0.49929999999999997,0.504596,0.48839699999999997,0.0
1.5,0.0,0.499299,0.505244,0.490432,0.0
1.6,0.0,0.499301,0.503672,0.491809,0.0
1.7,0.0,0.4993,0.501314,0.49586600000000003,0.0
1.8,0.0,0.4993,0.49687299999999995,0.500108,0.0
1.9,0.0,0.49929999999999997,0.495286,0.499794,0.0
2.0,0.0,0.499301,0.496768,0.5004799999999999,0.0
2.1,0.0,0.4993,0.49758100000000005,0.500712,0.0
2.2,0.0,0.49929999999999997,0.5002530000000001,0.497688,0.0
2.3,0.0,0.49929900000000005,0.502479,0.500561,0.0
2.4,0.0,0.499301,0.500104,0.50084,0.0
2.5,0.0,0.499299,0.5010619999999999,0.5003139999999999,0.0
2.6,0.0,0.49929999999999997,0.504887,0.500062,0.0
2.7,0.0,0.4993,0.505786,0.504157,0.0
2.8,0.0,0.4993,0.5048710000000001,0.50732,0.0
2.9,0.0,0.49929999999999997,0.500998,0.504942,0.0
3.0,0.0,0.49929999999999997,0.499378,0.506866,0.0
3.1,0.0,0.4993,0.496682,0.509248,0.0
3.2,0.0,0.4993,0.496918,0.508864,0.0
3.3,0.0,0.4993,0.497593,0.5073570000000001,0.0
3.4,0.0,0.4993,0.497975,0.507755,0.0
3.5,0.0,0.49929999999999997,0.497742,0.505423,0.0
3.6,0.0,0.499301,0.50108,0.503838,0.0
3.7,0.0,0.49929900000000005,0.501738,0.501639,0.0
3.8,0.0,0.49929999999999997,0.5023839999999999,0.502308,0.0
3.9,0.0,0.49929900000000005,0.504903,0.505456,0.0
