t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.121289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109551,0.140079,0.134906,0.108165,0.138335,0.14242,0.105256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.110374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098323,0.162282,0.154287,0.077807,0.158324,0.161389,0.077213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.101218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088618,0.173165,0.166663,0.064253,0.173562,0.173496,0.059024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.091756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081921,0.179784,0.17473,0.056265,0.180809,0.181563,0.053172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.085228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076437,0.18648,0.179047,0.050736,0.183588,0.186464,0.05202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.079623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072602,0.190589,0.179867,0.049642,0.188137,0.186754,0.052786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.076963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069123,0.192052,0.181998,0.049528,0.189047,0.188442,0.052848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.073812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063685,0.193736,0.185059,0.05022,0.190106,0.191598,0.051784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.070671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058394,0.196734,0.185779,0.051794,0.191066,0.192757,0.052806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.068218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056536,0.195708,0.187305,0.053151,0.191262,0.194964,0.052855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.064339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056186,0.195057,0.188329,0.053128,0.193096,0.195051,0.054813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.062661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054426,0.195681,0.190822,0.05177,0.194724,0.195401,0.054514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
