,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.0,0.0,0.0,0.489108,0.479838,-0.00927
1,0.1,0.0,0.0,0.0,0.471526,0.46896499999999997,-0.0025610000000000355
2,0.2,0.0,0.0,0.0,0.46626,0.463845,-0.0024150000000000005
3,0.3,0.0,0.0,0.0,0.467917,0.4665,-0.0014170000000000016
4,0.4,0.0,0.0,0.0,0.472947,0.469188,-0.0037590000000000123
5,0.5,0.0,0.0,0.0,0.47741100000000003,0.475043,-0.0023680000000000367
6,0.6,0.0,0.0,0.0,0.480277,0.48222800000000005,0.001951000000000036
7,0.7,0.0,0.0,0.0,0.482545,0.48510200000000003,0.0025570000000000315
8,0.8,0.0,0.0,0.0,0.485166,0.487114,0.0019480000000000053
9,0.9,0.0,0.0,0.0,0.487047,0.486691,-0.00035600000000002296
10,1.0,0.0,0.0,0.0,0.486993,0.49014599999999997,0.0031529999999999614
11,1.1,0.0,0.0,0.0,0.484956,0.494506,0.009550000000000003
12,1.2,0.0,0.0,0.0,0.487394,0.49762,0.010226000000000013
13,1.3,0.0,0.0,0.0,0.48729900000000004,0.499128,0.011828999999999978
14,1.4,0.0,0.0,0.0,0.490207,0.500608,0.010401000000000049
15,1.5,0.0,0.0,0.0,0.491273,0.50293,0.011656999999999973
16,1.6,0.0,0.0,0.0,0.494101,0.5015879999999999,0.00748699999999991
17,1.7,0.0,0.0,0.0,0.495198,0.499541,0.004342999999999986
18,1.8,0.0,0.0,0.0,0.496697,0.500224,0.0035270000000000024
19,1.9,0.0,0.0,0.0,0.501587,0.501236,-0.0003509999999999902
20,2.0,0.0,0.0,0.0,0.501613,0.50009,-0.001522999999999941
21,2.1,0.0,0.0,0.0,0.500549,0.502073,0.0015239999999999698
22,2.2,0.0,0.0,0.0,0.500711,0.504172,0.0034609999999999363
23,2.3,0.0,0.0,0.0,0.501974,0.5034919999999999,0.0015179999999999083
24,2.4,0.0,0.0,0.0,0.505261,0.500702,-0.00455899999999998
25,2.5,0.0,0.0,0.0,0.502266,0.501055,-0.001210999999999962
26,2.6,0.0,0.0,0.0,0.503236,0.501413,-0.001823000000000019
27,2.7,0.0,0.0,0.0,0.505877,0.499969,-0.005908000000000024
28,2.8,0.0,0.0,0.0,0.505681,0.49902799999999997,-0.0066530000000000755
29,2.9,0.0,0.0,0.0,0.504377,0.502625,-0.0017519999999999758
30,3.0,0.0,0.0,0.0,0.50446,0.504185,-0.0002750000000000252
31,3.1,0.0,0.0,0.0,0.5035069999999999,0.5063789999999999,0.0028719999999999857
32,3.2,0.0,0.0,0.0,0.502596,0.506156,0.0035600000000000076
33,3.3,0.0,0.0,0.0,0.502596,0.509552,0.006955999999999962
34,3.4,0.0,0.0,0.0,0.504425,0.5103219999999999,0.00589699999999993
35,3.5,0.0,0.0,0.0,0.503088,0.508127,0.005039000000000016
36,3.6,0.0,0.0,0.0,0.502857,0.506656,0.003798999999999997
37,3.7,0.0,0.0,0.0,0.502155,0.5051100000000001,0.002955000000000041
38,3.8,0.0,0.0,0.0,0.501173,0.50388,0.002707000000000015
39,3.9,0.0,0.0,0.0,0.502366,0.503472,0.0011060000000000514
