t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.0,0.489108,0.479838,0.0
0.1,0.0,0.0,0.471526,0.46896499999999997,0.0
0.2,0.0,0.0,0.46626,0.463845,0.0
0.3,0.0,0.0,0.467917,0.4665,0.0
0.4,0.0,0.0,0.472947,0.469188,0.0
0.5,0.0,0.0,0.47741100000000003,0.475043,0.0
0.6,0.0,0.0,0.480277,0.48222800000000005,0.0
0.7,0.0,0.0,0.482545,0.48510200000000003,0.0
0.8,0.0,0.0,0.485166,0.487114,0.0
0.9,0.0,0.0,0.487047,0.486691,0.0
1.0,0.0,0.0,0.486993,0.49014599999999997,0.0
1.1,0.0,0.0,0.484956,0.494506,0.0
1.2,0.0,0.0,0.487394,0.49762,0.0
1.3,0.0,0.0,0.48729900000000004,0.499128,0.0
1.4,0.0,0.0,0.490207,0.500608,0.0
1.5,0.0,0.0,0.491273,0.50293,0.0
1.6,0.0,0.0,0.494101,0.5015879999999999,0.0
1.7,0.0,0.0,0.495198,0.499541,0.0
1.8,0.0,0.0,0.496697,0.500224,0.0
1.9,0.0,0.0,0.501587,0.501236,0.0
2.0,0.0,0.0,0.501613,0.50009,0.0
2.1,0.0,0.0,0.500549,0.502073,0.0
2.2,0.0,0.0,0.500711,0.504172,0.0
2.3,0.0,0.0,0.501974,0.5034919999999999,0.0
2.4,0.0,0.0,0.505261,0.500702,0.0
2.5,0.0,0.0,0.502266,0.501055,0.0
2.6,0.0,0.0,0.503236,0.501413,0.0
2.7,0.0,0.0,0.505877,0.499969,0.0
2.8,0.0,0.0,0.505681,0.49902799999999997,0.0
2.9,0.0,0.0,0.504377,0.502625,0.0
3.0,0.0,0.0,0.50446,0.504185,0.0
3.1,0.0,0.0,0.5035069999999999,0.5063789999999999,0.0
3.2,0.0,0.0,0.502596,0.506156,0.0
3.3,0.0,0.0,0.502596,0.509552,0.0
3.4,0.0,0.0,0.504425,0.5103219999999999,0.0
3.5,0.0,0.0,0.503088,0.508127,0.0
3.6,0.0,0.0,0.502857,0.506656,0.0
3.7,0.0,0.0,0.502155,0.5051100000000001,0.0
3.8,0.0,0.0,0.501173,0.50388,0.0
3.9,0.0,0.0,0.502366,0.503472,0.0
