t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.0,0.492093,0.493417,0.0
0.1,0.0,0.0,0.474353,0.4699,0.0
0.2,0.0,0.0,0.469142,0.465304,0.0
0.3,0.0,0.0,0.47213099999999997,0.46504599999999996,0.0
0.4,0.0,0.0,0.47587,0.46694900000000006,0.0
0.5,0.0,0.0,0.47571599999999997,0.471474,0.0
0.6,0.0,0.0,0.481146,0.47826,0.0
0.7,0.0,0.0,0.482427,0.483469,0.0
0.8,0.0,0.0,0.486989,0.486481,0.0
0.9,0.0,0.0,0.494263,0.486347,0.0
1.0,0.0,0.0,0.495784,0.486201,0.0
1.1,0.0,0.0,0.498442,0.48723,0.0
1.2,0.0,0.0,0.49915200000000004,0.48706000000000005,0.0
1.3,0.0,0.0,0.498554,0.48713300000000004,0.0
1.4,0.0,0.0,0.501116,0.488287,0.0
1.5,0.0,0.0,0.507684,0.490224,0.0
1.6,0.0,0.0,0.509034,0.490039,0.0
1.7,0.0,0.0,0.509275,0.49189299999999997,0.0
1.8,0.0,0.0,0.5075,0.49145099999999997,0.0
1.9,0.0,0.0,0.506904,0.490735,0.0
2.0,0.0,0.0,0.507441,0.492718,0.0
2.1,0.0,0.0,0.5055510000000001,0.493743,0.0
2.2,0.0,0.0,0.50526,0.492413,0.0
2.3,0.0,0.0,0.504677,0.494289,0.0
2.4,0.0,0.0,0.5016160000000001,0.496726,0.0
2.5,0.0,0.0,0.5031479999999999,0.493916,0.0
2.6,0.0,0.0,0.502248,0.49225700000000006,0.0
2.7,0.0,0.0,0.5006659999999999,0.497657,0.0
2.8,0.0,0.0,0.501154,0.496765,0.0
2.9,0.0,0.0,0.501718,0.49354299999999995,0.0
3.0,0.0,0.0,0.500304,0.495019,0.0
3.1,0.0,0.0,0.498712,0.499093,0.0
3.2,0.0,0.0,0.49749899999999997,0.500962,0.0
3.3,0.0,0.0,0.49506700000000003,0.50622,0.0
3.4,0.0,0.0,0.497455,0.507339,0.0
3.5,0.0,0.0,0.495792,0.503787,0.0
3.6,0.0,0.0,0.49609000000000003,0.505415,0.0
3.7,0.0,0.0,0.49699299999999996,0.505872,0.0
3.8,0.0,0.0,0.495128,0.50728,0.0
3.9,0.0,0.0,0.49883900000000003,0.50722,0.0
