t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.495799,0.490395,0.492055,0.0
0.1,0.0,0.49579900000000005,0.4736600000000001,0.4759960000000001,0.0
0.2,0.0,0.4958,0.46884499999999996,0.47295,0.0
0.3,0.0,0.4958,0.466924,0.47363400000000005,0.0
0.4,0.0,0.495801,0.47211,0.47412499999999996,0.0
0.5,0.0,0.495801,0.47907,0.47654599999999997,0.0
0.6,0.0,0.4958,0.48363100000000003,0.48051,0.0
0.7,0.0,0.49579999999999996,0.485341,0.48463900000000004,0.0
0.8,0.0,0.4958,0.488752,0.48779999999999996,0.0
0.9,0.0,0.495799,0.49419900000000005,0.49220200000000003,0.0
1.0,0.0,0.4958,0.494599,0.495357,0.0
1.1,0.0,0.4958,0.49576,0.49365699999999996,0.0
1.2,0.0,0.4958,0.49344999999999994,0.494939,0.0
1.3,0.0,0.4958,0.497518,0.493019,0.0
1.4,0.0,0.4958,0.500129,0.495076,0.0
1.5,0.0,0.49580099999999994,0.5031289999999999,0.496492,0.0
1.6,0.0,0.49579999999999996,0.5040789999999999,0.49642499999999995,0.0
1.7,0.0,0.4958,0.5050060000000001,0.49989900000000004,0.0
1.8,0.0,0.4958,0.504115,0.497625,0.0
1.9,0.0,0.495801,0.5058739999999999,0.497655,0.0
2.0,0.0,0.4958,0.508457,0.501051,0.0
2.1,0.0,0.495799,0.510207,0.503173,0.0
2.2,0.0,0.4958,0.510625,0.5007729999999999,0.0
2.3,0.0,0.4958,0.510832,0.502205,0.0
2.4,0.0,0.4958,0.5110629999999999,0.504623,0.0
2.5,0.0,0.49580100000000005,0.507474,0.504522,0.0
2.6,0.0,0.49579999999999996,0.5054219999999999,0.505808,0.0
2.7,0.0,0.49580100000000005,0.503382,0.506561,0.0
2.8,0.0,0.4958,0.500094,0.505653,0.0
2.9,0.0,0.495799,0.49732000000000004,0.5066919999999999,0.0
3.0,0.0,0.4958,0.49770500000000006,0.511308,0.0
3.1,0.0,0.4958,0.493506,0.509011,0.0
3.2,0.0,0.4958,0.492904,0.5088900000000001,0.0
3.3,0.0,0.49580100000000005,0.49383900000000003,0.510353,0.0
3.4,0.0,0.4958,0.497068,0.5084420000000001,0.0
3.5,0.0,0.49579900000000005,0.496776,0.506764,0.0
3.6,0.0,0.49579900000000005,0.49828500000000003,0.5071300000000001,0.0
3.7,0.0,0.495801,0.499343,0.509688,0.0
3.8,0.0,0.4958,0.500542,0.5105630000000001,0.0
3.9,0.0,0.495801,0.502333,0.5103489999999999,0.0
