t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.115871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119514,0.138575,0.141545,0.104166,0.138754,0.139976,0.101599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.103708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107365,0.159743,0.161515,0.075177,0.161229,0.159282,0.071982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.096498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098763,0.169904,0.172516,0.062617,0.170995,0.169813,0.058894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.088065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090332,0.178472,0.177833,0.057163,0.180602,0.176631,0.050901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.079652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083998,0.184037,0.18537,0.050395,0.186572,0.180263,0.049713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.073677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.080442,0.185576,0.189625,0.048157,0.189743,0.181906,0.050875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.07021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076761,0.186943,0.194118,0.045979,0.19231,0.183913,0.049767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.065675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072916,0.188375,0.193166,0.049343,0.194068,0.18608,0.050376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.062808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069118,0.189376,0.196454,0.048851,0.194187,0.189415,0.04979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.062235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066419,0.190776,0.197935,0.04867,0.192182,0.189222,0.05256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.060602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063198,0.194358,0.199077,0.047167,0.190576,0.188825,0.056197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.058698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058818,0.195929,0.199432,0.049621,0.192993,0.190813,0.053696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.057135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056456,0.196529,0.198196,0.052619,0.195007,0.19217,0.051889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
