t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.49999999999999994,0.491507,0.5396509999999999,0.5048
0.1,0.0,0.5,0.458642,0.585361,0.5048
0.2,0.0,0.500001,0.43957999999999997,0.606047,0.504801
0.3,0.0,0.500001,0.425925,0.624286,0.5048
0.4,0.0,0.5,0.41642199999999996,0.637919,0.5047999999999999
0.5,0.0,0.5,0.41492500000000004,0.647126,0.5048
0.6,0.0,0.5,0.417662,0.658308,0.5048
0.7,0.0,0.5,0.415359,0.6613169999999999,0.5048
0.8,0.0,0.49999899999999997,0.413326,0.663393,0.504799
0.9,0.0,0.5,0.4123359999999999,0.664338,0.504799
1.0,0.0,0.49999999999999994,0.40869799999999995,0.667411,0.5047999999999999
1.1,0.0,0.5,0.4010849999999999,0.669345,0.5048009999999999
1.2,0.0,0.5000009999999999,0.398492,0.6728689999999999,0.5048
1.3,0.0,0.5,0.39921100000000004,0.675165,0.504799
1.4,0.0,0.5,0.39135499999999995,0.676012,0.504799
1.5,0.0,0.49999799999999994,0.391398,0.679962,0.5048
1.6,0.0,0.49999899999999997,0.393071,0.682157,0.504799
1.7,0.0,0.49999999999999994,0.39555999999999997,0.68283,0.504799
1.8,0.0,0.49999800000000005,0.394486,0.682271,0.504799
1.9,0.0,0.49999899999999997,0.39551899999999995,0.679292,0.5048
2.0,0.0,0.49999899999999997,0.395084,0.677858,0.5048
2.1,0.0,0.4999999999999999,0.39778600000000003,0.6781229999999999,0.5047999999999999
2.2,0.0,0.499999,0.40062400000000004,0.679903,0.5047999999999999
2.3,0.0,0.5,0.401429,0.678569,0.504801
2.4,0.0,0.49999899999999997,0.399669,0.6793020000000001,0.504799
2.5,0.0,0.5,0.397642,0.681567,0.5048
2.6,0.0,0.500001,0.39516799999999996,0.680228,0.5048009999999999
2.7,0.0,0.499999,0.397907,0.680468,0.5048
2.8,0.0,0.499999,0.39934300000000006,0.6783359999999999,0.5048
2.9,0.0,0.49999999999999994,0.401454,0.678024,0.5048
3.0,0.0,0.5,0.40331,0.676335,0.504801
3.1,0.0,0.5,0.403032,0.6778820000000001,0.5048
3.2,0.0,0.500001,0.401365,0.673888,0.5048009999999999
3.3,0.0,0.5,0.400192,0.673968,0.504799
3.4,0.0,0.499999,0.398695,0.6752549999999999,0.5048009999999999
3.5,0.0,0.500002,0.399223,0.677261,0.504802
3.6,0.0,0.500001,0.398695,0.6808700000000001,0.504801
3.7,0.0,0.5,0.40187,0.677318,0.5048
3.8,0.0,0.49999899999999997,0.403962,0.6769620000000001,0.5048
3.9,0.0,0.49999999999999994,0.403589,0.678397,0.504799
