t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.064721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06162,0.072698,0.071039,0.050543,0.06854,0.070561,0.052378,0.052479,0.0405,0.045208,0.08855,0.071742,0.060442,0.073565,0.055415
0.1,0.058135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056129,0.082015,0.079013,0.038743,0.078157,0.082383,0.037525,0.038705,0.0154,0.03126,0.126048,0.073292,0.061148,0.092808,0.049238
0.2,0.051939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050261,0.089348,0.086218,0.030072,0.084212,0.089377,0.030671,0.0295,0.006184,0.024923,0.144339,0.070554,0.058541,0.107181,0.046679
0.3,0.047808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045911,0.092699,0.090039,0.027252,0.086509,0.092952,0.02893,0.023109,0.004283,0.023294,0.152157,0.066265,0.05676,0.115545,0.046486
0.4,0.04389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042443,0.095615,0.092609,0.025234,0.089432,0.094219,0.028659,0.018938,0.004192,0.020354,0.159855,0.061599,0.051726,0.123061,0.048175
0.5,0.041102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039917,0.097098,0.094115,0.02477,0.091268,0.096317,0.027513,0.015272,0.004061,0.018842,0.166922,0.056175,0.052467,0.129536,0.044625
0.6,0.039092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038445,0.098233,0.096079,0.023142,0.094001,0.097708,0.025399,0.012877,0.003918,0.018108,0.17018,0.053793,0.051103,0.133625,0.044294
0.7,0.036199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036473,0.099523,0.096718,0.023186,0.095201,0.098163,0.026637,0.011661,0.00411,0.015684,0.170558,0.055648,0.050713,0.135797,0.043729
0.8,0.035551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035407,0.099601,0.096281,0.024611,0.094677,0.098921,0.027051,0.011441,0.004188,0.014814,0.172976,0.054022,0.049212,0.137821,0.043426
0.9,0.03361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033883,0.100664,0.09533,0.026023,0.09597,0.100327,0.026293,0.011954,0.003407,0.014315,0.176561,0.051718,0.046122,0.140297,0.043528
1.0,0.033727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03235,0.102081,0.096065,0.025404,0.097187,0.099794,0.025492,0.010998,0.003137,0.014384,0.181367,0.047112,0.043887,0.142936,0.044079
1.1,0.033258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030707,0.101364,0.096545,0.027284,0.09794,0.100172,0.02483,0.010422,0.003498,0.013338,0.181948,0.047216,0.043733,0.14416,0.043585
1.2,0.031462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029804,0.100623,0.097787,0.027686,0.098435,0.102796,0.023506,0.010045,0.003511,0.012887,0.182162,0.04744,0.04458,0.146197,0.041078
1.3,0.030073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028266,0.101569,0.100155,0.02591,0.098135,0.102298,0.025694,0.009798,0.004425,0.012868,0.179897,0.04881,0.043503,0.148584,0.040015
1.4,0.029143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027921,0.099875,0.102201,0.025904,0.100214,0.099503,0.02734,0.010271,0.003592,0.013441,0.180376,0.048591,0.042551,0.149374,0.039705
