,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.505,0.500401,0.0,0.51031,0.5020720000000001,-0.008237999999999968
1,0.1,0.505,0.500401,0.0,0.5271710000000001,0.52244,-0.004731000000000041
2,0.2,0.505,0.500399,0.0,0.537849,0.539848,0.001998999999999973
3,0.3,0.5050009999999999,0.500402,0.0,0.5481389999999999,0.554154,0.006015000000000104
4,0.4,0.505,0.5004010000000001,0.0,0.554171,0.55988,0.005709000000000075
5,0.5,0.505,0.500401,0.0,0.556891,0.5662830000000001,0.009392000000000067
6,0.6,0.505001,0.500399,0.0,0.560862,0.565626,0.0047639999999999905
7,0.7,0.505,0.5003989999999999,0.0,0.5676380000000001,0.5643819999999999,-0.0032560000000001477
8,0.8,0.504999,0.500399,0.0,0.570203,0.564158,-0.006044999999999967
9,0.9,0.505001,0.5004,0.0,0.572533,0.56873,-0.003803000000000001
10,1.0,0.505,0.5004,0.0,0.57217,0.571705,-0.0004649999999999377
11,1.1,0.505,0.5004,0.0,0.56772,0.571067,0.003346999999999989
12,1.2,0.505001,0.500401,0.0,0.5737260000000001,0.570149,-0.0035770000000000524
13,1.3,0.505,0.5004,0.0,0.5725640000000001,0.5706209999999999,-0.001943000000000139
14,1.4,0.5050009999999999,0.5004,0.0,0.5729609999999999,0.5676209999999999,-0.005340000000000011
15,1.5,0.505,0.500399,0.0,0.578846,0.56455,-0.014295999999999975
16,1.6,0.5050020000000001,0.500401,0.0,0.579839,0.561449,-0.018390000000000017
17,1.7,0.5049999999999999,0.500399,0.0,0.5761689999999999,0.566863,-0.009305999999999925
18,1.8,0.5050020000000001,0.5004,0.0,0.574691,0.5711189999999999,-0.0035720000000000196
19,1.9,0.505001,0.5004,0.0,0.571979,0.574562,0.002583000000000002
20,2.0,0.505,0.5004,0.0,0.571055,0.57289,0.001835000000000031
21,2.1,0.505001,0.5004,0.0,0.574985,0.572076,-0.0029089999999999394
22,2.2,0.5049980000000001,0.500399,0.0,0.575495,0.570138,-0.005356999999999945
23,2.3,0.505,0.5004,0.0,0.573694,0.571374,-0.0023199999999999887
24,2.4,0.505001,0.500402,0.0,0.571642,0.5723320000000001,0.0006900000000000794
25,2.5,0.505001,0.5004000000000001,0.0,0.569283,0.572276,0.0029930000000000234
26,2.6,0.505001,0.5004,0.0,0.568593,0.570235,0.0016420000000000323
27,2.7,0.505,0.5004000000000001,0.0,0.569966,0.570685,0.0007190000000000252
28,2.8,0.505,0.5004000000000001,0.0,0.572627,0.567161,-0.005465999999999971
29,2.9,0.504999,0.5003989999999999,0.0,0.57379,0.567759,-0.006031000000000009
30,3.0,0.505,0.5004000000000001,0.0,0.570775,0.568896,-0.001879000000000075
31,3.1,0.505,0.5004,0.0,0.569143,0.569407,0.000264000000000042
32,3.2,0.505,0.500401,0.0,0.567707,0.570749,0.003041999999999989
33,3.3,0.5050009999999999,0.5003989999999999,0.0,0.569137,0.572113,0.0029759999999999787
34,3.4,0.505,0.5004,0.0,0.571764,0.570296,-0.0014680000000000248
35,3.5,0.505,0.5004,0.0,0.57167,0.57244,0.0007699999999999374
36,3.6,0.504999,0.5004,0.0,0.57116,0.5781459999999999,0.006985999999999937
37,3.7,0.505001,0.5004,0.0,0.569586,0.575055,0.005468999999999946
38,3.8,0.505001,0.500402,0.0,0.5684279999999999,0.57431,0.005882000000000054
39,3.9,0.504998,0.5003989999999999,0.0,0.56237,0.5755709999999999,0.013200999999999907
