t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.505,0.0,0.51031,0.5020720000000001,0.500401
0.1,0.505,0.0,0.5271710000000001,0.52244,0.500401
0.2,0.505,0.0,0.537849,0.539848,0.500399
0.3,0.5050009999999999,0.0,0.5481389999999999,0.554154,0.500402
0.4,0.505,0.0,0.554171,0.55988,0.5004010000000001
0.5,0.505,0.0,0.556891,0.5662830000000001,0.500401
0.6,0.505001,0.0,0.560862,0.565626,0.500399
0.7,0.505,0.0,0.5676380000000001,0.5643819999999999,0.5003989999999999
0.8,0.504999,0.0,0.570203,0.564158,0.500399
0.9,0.505001,0.0,0.572533,0.56873,0.5004
1.0,0.505,0.0,0.57217,0.571705,0.5004
1.1,0.505,0.0,0.56772,0.571067,0.5004
1.2,0.505001,0.0,0.5737260000000001,0.570149,0.500401
1.3,0.505,0.0,0.5725640000000001,0.5706209999999999,0.5004
1.4,0.5050009999999999,0.0,0.5729609999999999,0.5676209999999999,0.5004
1.5,0.505,0.0,0.578846,0.56455,0.500399
1.6,0.5050020000000001,0.0,0.579839,0.561449,0.500401
1.7,0.5049999999999999,0.0,0.5761689999999999,0.566863,0.500399
1.8,0.5050020000000001,0.0,0.574691,0.5711189999999999,0.5004
1.9,0.505001,0.0,0.571979,0.574562,0.5004
2.0,0.505,0.0,0.571055,0.57289,0.5004
2.1,0.505001,0.0,0.574985,0.572076,0.5004
2.2,0.5049980000000001,0.0,0.575495,0.570138,0.500399
2.3,0.505,0.0,0.573694,0.571374,0.5004
2.4,0.505001,0.0,0.571642,0.5723320000000001,0.500402
2.5,0.505001,0.0,0.569283,0.572276,0.5004000000000001
2.6,0.505001,0.0,0.568593,0.570235,0.5004
2.7,0.505,0.0,0.569966,0.570685,0.5004000000000001
2.8,0.505,0.0,0.572627,0.567161,0.5004000000000001
2.9,0.504999,0.0,0.57379,0.567759,0.5003989999999999
3.0,0.505,0.0,0.570775,0.568896,0.5004000000000001
3.1,0.505,0.0,0.569143,0.569407,0.5004
3.2,0.505,0.0,0.567707,0.570749,0.500401
3.3,0.5050009999999999,0.0,0.569137,0.572113,0.5003989999999999
3.4,0.505,0.0,0.571764,0.570296,0.5004
3.5,0.505,0.0,0.57167,0.57244,0.5004
3.6,0.504999,0.0,0.57116,0.5781459999999999,0.5004
3.7,0.505001,0.0,0.569586,0.575055,0.5004
3.8,0.505001,0.0,0.5684279999999999,0.57431,0.500402
3.9,0.504998,0.0,0.56237,0.5755709999999999,0.5003989999999999
