t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.059834,0.05389,0.0,0.0,0.0,0.0,0.079697,0.066564,0.057849,0.046772,0.0,0.0,0.0,0.0,0.068966,0.068744,0.063518,0.0,0.0,0.0,0.0,0.071178,0.067358,0.053329,0.050798,0.0,0.0,0.0,0.0,0.062515,0.073871,0.055115
0.1,0.053086,0.038139,0.0,0.0,0.0,0.0,0.103548,0.064011,0.052303,0.027789,0.0,0.0,0.0,0.0,0.075699,0.076514,0.067997,0.0,0.0,0.0,0.0,0.079703,0.078247,0.040665,0.037594,0.0,0.0,0.0,0.0,0.060147,0.093494,0.051065
0.2,0.047866,0.029,0.0,0.0,0.0,0.0,0.119022,0.060707,0.049271,0.017381,0.0,0.0,0.0,0.0,0.079331,0.078759,0.072529,0.0,0.0,0.0,0.0,0.088155,0.083476,0.032203,0.028077,0.0,0.0,0.0,0.0,0.058052,0.108826,0.047344
0.3,0.043839,0.021942,0.0,0.0,0.0,0.0,0.130981,0.05754,0.047537,0.011596,0.0,0.0,0.0,0.0,0.080352,0.081733,0.074319,0.0,0.0,0.0,0.0,0.09038,0.088186,0.029295,0.021496,0.0,0.0,0.0,0.0,0.055119,0.118726,0.046959
0.4,0.04034,0.018173,0.0,0.0,0.0,0.0,0.140243,0.052884,0.046701,0.008397,0.0,0.0,0.0,0.0,0.080039,0.086252,0.073312,0.0,0.0,0.0,0.0,0.095333,0.090317,0.02571,0.018591,0.0,0.0,0.0,0.0,0.053637,0.124212,0.04586
0.5,0.037745,0.01606,0.0,0.0,0.0,0.0,0.144384,0.050103,0.047452,0.006483,0.0,0.0,0.0,0.0,0.07998,0.087384,0.074153,0.0,0.0,0.0,0.0,0.096522,0.093648,0.023785,0.014784,0.0,0.0,0.0,0.0,0.052586,0.131697,0.043232
0.6,0.035009,0.015154,0.0,0.0,0.0,0.0,0.146888,0.049063,0.046895,0.00558,0.0,0.0,0.0,0.0,0.078677,0.086881,0.076862,0.0,0.0,0.0,0.0,0.097446,0.094917,0.024328,0.011404,0.0,0.0,0.0,0.0,0.052804,0.137143,0.040949
0.7,0.032843,0.013724,0.0,0.0,0.0,0.0,0.150008,0.048769,0.045499,0.005481,0.0,0.0,0.0,0.0,0.079603,0.084523,0.078393,0.0,0.0,0.0,0.0,0.098748,0.095512,0.024597,0.0109,0.0,0.0,0.0,0.0,0.051028,0.138928,0.041444
0.8,0.031509,0.01171,0.0,0.0,0.0,0.0,0.151276,0.047511,0.047503,0.005638,0.0,0.0,0.0,0.0,0.080084,0.083951,0.078327,0.0,0.0,0.0,0.0,0.09779,0.095758,0.026643,0.010337,0.0,0.0,0.0,0.0,0.050393,0.140554,0.041016
0.9,0.029762,0.011654,0.0,0.0,0.0,0.0,0.155613,0.046583,0.04415,0.006451,0.0,0.0,0.0,0.0,0.080673,0.083211,0.077665,0.0,0.0,0.0,0.0,0.09732,0.097,0.027618,0.009395,0.0,0.0,0.0,0.0,0.048554,0.140375,0.043977
