t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.49909999999999993,0.0,0.512817,0.511487,0.49989999999999996
0.1,0.49910000000000004,0.0,0.5267390000000001,0.527112,0.4999
0.2,0.4991,0.0,0.539777,0.541704,0.49990100000000004
0.3,0.49909899999999996,0.0,0.546451,0.551113,0.499899
0.4,0.499101,0.0,0.5510430000000001,0.558073,0.4999
0.5,0.499099,0.0,0.5553779999999999,0.5640930000000001,0.499899
0.6,0.499099,0.0,0.558691,0.568655,0.499899
0.7,0.49909900000000007,0.0,0.560123,0.572966,0.49990099999999993
0.8,0.49909899999999996,0.0,0.560477,0.581301,0.499899
0.9,0.4991,0.0,0.562324,0.578981,0.4999
1.0,0.499102,0.0,0.559529,0.5757589999999999,0.49990200000000007
1.1,0.499099,0.0,0.559678,0.577382,0.499899
1.2,0.4991,0.0,0.5601320000000001,0.5732849999999999,0.499901
1.3,0.49909800000000004,0.0,0.5616140000000001,0.574964,0.49989800000000006
1.4,0.499099,0.0,0.564778,0.575232,0.4999
1.5,0.49910000000000004,0.0,0.565388,0.573218,0.49990000000000007
1.6,0.499099,0.0,0.562552,0.574306,0.49989999999999996
1.7,0.49910200000000005,0.0,0.559881,0.57802,0.49990099999999993
1.8,0.4991,0.0,0.557441,0.579428,0.49990100000000004
1.9,0.499102,0.0,0.564112,0.576807,0.499901
2.0,0.499099,0.0,0.567007,0.570997,0.49989900000000004
2.1,0.499101,0.0,0.567429,0.570821,0.49990100000000004
2.2,0.4991,0.0,0.56592,0.572753,0.4999
2.3,0.4991,0.0,0.563788,0.568317,0.49990100000000004
2.4,0.4991,0.0,0.5611,0.565231,0.4999
2.5,0.4991,0.0,0.564193,0.5669029999999999,0.49990100000000004
2.6,0.4991,0.0,0.564878,0.572215,0.4999
2.7,0.49910000000000004,0.0,0.566669,0.573951,0.49989900000000004
2.8,0.49910000000000004,0.0,0.5660590000000001,0.5728500000000001,0.499899
2.9,0.499101,0.0,0.56428,0.570767,0.49989900000000004
3.0,0.49909900000000007,0.0,0.565943,0.569341,0.49989900000000004
3.1,0.49909999999999993,0.0,0.5608819999999999,0.5737019999999999,0.49989999999999996
3.2,0.49909999999999993,0.0,0.5588599999999999,0.575455,0.499899
3.3,0.49910000000000004,0.0,0.562257,0.574109,0.4999
3.4,0.4991,0.0,0.560986,0.572139,0.499901
3.5,0.49910099999999996,0.0,0.5645979999999999,0.570388,0.499901
3.6,0.49909899999999996,0.0,0.567485,0.568247,0.499899
3.7,0.4991,0.0,0.562723,0.5681769999999999,0.4999
3.8,0.49909900000000007,0.0,0.566841,0.56846,0.49990000000000007
3.9,0.49909800000000004,0.0,0.5707500000000001,0.5662309999999999,0.499899
