t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.054659,0.05229,0.0,0.0,0.0,0.0,0.076111,0.065644,0.059955,0.050008,0.0,0.0,0.0,0.0,0.068277,0.067231,0.059584,0.0,0.0,0.0,0.0,0.071379,0.068013,0.052049,0.052002,0.0,0.0,0.0,0.0,0.063787,0.077336,0.061675
0.1,0.049314,0.038291,0.0,0.0,0.0,0.0,0.096402,0.063722,0.055585,0.029532,0.0,0.0,0.0,0.0,0.078426,0.074383,0.062759,0.0,0.0,0.0,0.0,0.078215,0.080375,0.038196,0.038213,0.0,0.0,0.0,0.0,0.064495,0.099431,0.052661
0.2,0.044585,0.028253,0.0,0.0,0.0,0.0,0.11201,0.06137,0.052367,0.018187,0.0,0.0,0.0,0.0,0.080448,0.077482,0.068983,0.0,0.0,0.0,0.0,0.084201,0.086907,0.030407,0.028405,0.0,0.0,0.0,0.0,0.062208,0.115035,0.049153
0.3,0.040627,0.022719,0.0,0.0,0.0,0.0,0.122628,0.058805,0.049848,0.012986,0.0,0.0,0.0,0.0,0.081773,0.077387,0.072953,0.0,0.0,0.0,0.0,0.086627,0.092404,0.026442,0.022064,0.0,0.0,0.0,0.0,0.059462,0.126556,0.046718
0.4,0.037834,0.017625,0.0,0.0,0.0,0.0,0.129996,0.057528,0.048852,0.010256,0.0,0.0,0.0,0.0,0.082535,0.076459,0.07585,0.0,0.0,0.0,0.0,0.087825,0.096125,0.024316,0.01863,0.0,0.0,0.0,0.0,0.057227,0.134501,0.044442
0.5,0.03573,0.015519,0.0,0.0,0.0,0.0,0.135152,0.055659,0.04767,0.007894,0.0,0.0,0.0,0.0,0.083106,0.075164,0.078935,0.0,0.0,0.0,0.0,0.088152,0.097589,0.024629,0.016182,0.0,0.0,0.0,0.0,0.054171,0.140884,0.043563
0.6,0.03369,0.014571,0.0,0.0,0.0,0.0,0.138716,0.054163,0.04655,0.006403,0.0,0.0,0.0,0.0,0.082053,0.076426,0.080217,0.0,0.0,0.0,0.0,0.089516,0.098156,0.024738,0.015028,0.0,0.0,0.0,0.0,0.051367,0.142871,0.045534
0.7,0.031277,0.013529,0.0,0.0,0.0,0.0,0.141453,0.053109,0.045908,0.006928,0.0,0.0,0.0,0.0,0.079889,0.076684,0.081599,0.0,0.0,0.0,0.0,0.090756,0.099296,0.024772,0.013929,0.0,0.0,0.0,0.0,0.049274,0.145126,0.046472
0.8,0.029684,0.011907,0.0,0.0,0.0,0.0,0.143569,0.051834,0.04669,0.006388,0.0,0.0,0.0,0.0,0.076795,0.080159,0.081757,0.0,0.0,0.0,0.0,0.090758,0.100018,0.02564,0.01207,0.0,0.0,0.0,0.0,0.047527,0.147462,0.047741
0.9,0.029035,0.0108,0.0,0.0,0.0,0.0,0.147178,0.048516,0.047506,0.005874,0.0,0.0,0.0,0.0,0.078674,0.082052,0.0785,0.0,0.0,0.0,0.0,0.090909,0.099107,0.027049,0.011856,0.0,0.0,0.0,0.0,0.046693,0.150436,0.045815
1.0,0.028681,0.01088,0.0,0.0,0.0,0.0,0.149856,0.048548,0.044717,0.005075,0.0,0.0,0.0,0.0,0.079282,0.08265,0.078094,0.0,0.0,0.0,0.0,0.09209,0.098906,0.026423,0.011989,0.0,0.0,0.0,0.0,0.046391,0.153745,0.042676
