t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.49770000000000003,0.5005000000000001,0.5409170000000001,0.47688899999999995,0.0
0.1,0.4977,0.5005000000000001,0.5842,0.45149900000000004,0.0
0.2,0.4977,0.5005,0.605629,0.43517700000000004,0.0
0.3,0.497699,0.500499,0.62075,0.421505,0.0
0.4,0.49769899999999995,0.5005,0.633397,0.41595899999999997,0.0
0.5,0.4977,0.5005010000000001,0.6398579999999999,0.41839200000000004,0.0
0.6,0.4977,0.500499,0.64823,0.41519000000000006,0.0
0.7,0.49769800000000003,0.500499,0.649859,0.416207,0.0
0.8,0.4977,0.500501,0.655572,0.417613,0.0
0.9,0.49770000000000003,0.500499,0.6594030000000001,0.418008,0.0
1.0,0.497701,0.500501,0.660603,0.417006,0.0
1.1,0.4977,0.5005,0.661692,0.414971,0.0
1.2,0.497699,0.5005,0.663239,0.412997,0.0
1.3,0.497701,0.500501,0.665636,0.409179,0.0
1.4,0.4977000000000001,0.5005000000000001,0.667725,0.407854,0.0
1.5,0.497699,0.5005000000000001,0.6686840000000001,0.401014,0.0
1.6,0.497699,0.5005000000000001,0.671748,0.39966599999999997,0.0
1.7,0.4977,0.5005,0.67462,0.40064400000000006,0.0
1.8,0.49770000000000003,0.500499,0.672122,0.403449,0.0
1.9,0.49770099999999995,0.5005000000000001,0.674477,0.402652,0.0
2.0,0.497701,0.5005,0.676199,0.40251300000000007,0.0
2.1,0.497699,0.500499,0.674449,0.402814,0.0
2.2,0.49770000000000003,0.5005,0.677876,0.401934,0.0
2.3,0.497701,0.5005000000000001,0.679788,0.39793,0.0
2.4,0.4977,0.5005,0.676265,0.40075500000000003,0.0
2.5,0.4977000000000001,0.500499,0.676009,0.404297,0.0
2.6,0.49770000000000003,0.5005000000000001,0.6756499999999999,0.404584,0.0
2.7,0.497699,0.500499,0.676214,0.40519400000000005,0.0
2.8,0.497701,0.5005000000000001,0.6784370000000001,0.40783899999999995,0.0
2.9,0.497699,0.5005,0.6763629999999999,0.406791,0.0
3.0,0.4977,0.5005000000000001,0.677239,0.4054269999999999,0.0
3.1,0.497699,0.500499,0.6786699999999999,0.402389,0.0
3.2,0.49770000000000003,0.5005000000000001,0.678602,0.395994,0.0
3.3,0.497699,0.5005010000000001,0.681898,0.393304,0.0
3.4,0.49770000000000003,0.500501,0.679999,0.393438,0.0
3.5,0.497699,0.500498,0.678949,0.39463899999999996,0.0
3.6,0.4977000000000001,0.5005,0.674843,0.397284,0.0
3.7,0.49770000000000003,0.5005000000000001,0.674419,0.396953,0.0
3.8,0.49770000000000003,0.500499,0.677959,0.396606,0.0
3.9,0.497699,0.5005000000000001,0.6791280000000001,0.39780400000000005,0.0
