t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.061493,0.054181,0.035688,0.094904,0.048215,0.071294,0.075056,0.062972,0.057991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058538,0.070027,0.0652,0.052235,0.075878,0.067389,0.048941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.057122,0.041159,0.013682,0.130525,0.03224,0.073653,0.093891,0.063351,0.051799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051408,0.079069,0.077397,0.038126,0.083942,0.075926,0.03671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.052237,0.032778,0.006573,0.148487,0.025933,0.069107,0.106241,0.060354,0.050827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046594,0.085367,0.081507,0.032532,0.090368,0.081988,0.029106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.047249,0.025877,0.00402,0.159923,0.021256,0.064901,0.116839,0.058231,0.049253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042921,0.089415,0.085559,0.028105,0.094376,0.085677,0.026398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.04342,0.020495,0.003524,0.16561,0.019974,0.060991,0.125385,0.0564,0.04792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039931,0.091606,0.08824,0.026224,0.096044,0.089638,0.024598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.040305,0.017087,0.003321,0.17038,0.018167,0.058231,0.131824,0.053825,0.047463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036867,0.091552,0.091142,0.026439,0.096619,0.091504,0.025272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.03824,0.014637,0.002757,0.173574,0.016833,0.056937,0.138653,0.05158,0.04533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034374,0.09267,0.092405,0.026551,0.095775,0.093808,0.025877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.035423,0.012758,0.003109,0.175432,0.01555,0.056009,0.143462,0.049331,0.044649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03219,0.094406,0.093318,0.026086,0.097084,0.094343,0.026851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.032559,0.011527,0.003733,0.177366,0.015795,0.053206,0.145014,0.049378,0.044281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029641,0.095404,0.09365,0.027305,0.097444,0.097536,0.026161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.031385,0.011591,0.003592,0.177018,0.017566,0.051924,0.147458,0.048207,0.042944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028598,0.096054,0.092631,0.028716,0.097726,0.098496,0.026093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0314,0.011917,0.003312,0.176805,0.016496,0.053487,0.14814,0.047194,0.042949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027922,0.096388,0.093737,0.027953,0.098773,0.097768,0.025759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.03112,0.011604,0.003539,0.179628,0.015063,0.051869,0.148151,0.044383,0.046063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027555,0.096747,0.095077,0.026621,0.100103,0.09759,0.024887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.03055,0.011642,0.003759,0.18078,0.015301,0.05026,0.148988,0.043482,0.046088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.096323,0.098402,0.024575,0.101442,0.096481,0.025226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.030595,0.011932,0.003752,0.181671,0.015308,0.049369,0.150178,0.04213,0.045959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026669,0.095629,0.098022,0.025679,0.100447,0.096195,0.026462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.028783,0.011623,0.004222,0.184078,0.013339,0.048461,0.15352,0.042069,0.042988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026775,0.096578,0.097588,0.025059,0.100275,0.098761,0.025882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.028613,0.011906,0.004223,0.183099,0.013424,0.049354,0.153882,0.041628,0.042784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025893,0.097198,0.097654,0.025255,0.100959,0.100629,0.0235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.027127,0.011706,0.003569,0.183485,0.014589,0.048458,0.153032,0.041297,0.044165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02522,0.098082,0.097046,0.025652,0.104107,0.100518,0.021947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.027794,0.01311,0.003248,0.184416,0.01371,0.048726,0.15163,0.041716,0.043744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024907,0.098569,0.097134,0.02539,0.102991,0.099471,0.023444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.02833,0.012142,0.003026,0.186326,0.012429,0.04832,0.15199,0.043437,0.04263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024809,0.097912,0.097497,0.025782,0.101429,0.098614,0.025327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.02751,0.011875,0.002878,0.187271,0.013018,0.046932,0.152303,0.045509,0.040513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024744,0.098436,0.096844,0.025976,0.100554,0.099236,0.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.027576,0.011597,0.003722,0.185382,0.013986,0.047009,0.153671,0.044689,0.040244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024513,0.097896,0.096144,0.027447,0.099801,0.098465,0.027858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
