,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.490099,0.0,0.0,0.5182439999999999,0.47834099999999996,-0.039902999999999966
1,0.1,0.4901,0.0,0.0,0.540503,0.457292,-0.08321099999999998
2,0.2,0.490101,0.0,0.0,0.55923,0.447225,-0.11200500000000002
3,0.3,0.4901,0.0,0.0,0.57362,0.440871,-0.132749
4,0.4,0.4901,0.0,0.0,0.587207,0.436267,-0.15094000000000002
5,0.5,0.4901,0.0,0.0,0.599911,0.437179,-0.162732
6,0.6,0.490101,0.0,0.0,0.6090450000000001,0.43140900000000004,-0.17763600000000002
7,0.7,0.490099,0.0,0.0,0.618698,0.428719,-0.18997899999999995
8,0.8,0.490101,0.0,0.0,0.6245229999999999,0.42961,-0.19491299999999995
9,0.9,0.49010000000000004,0.0,0.0,0.631305,0.424347,-0.20695800000000003
10,1.0,0.4901,0.0,0.0,0.632101,0.422795,-0.20930600000000005
11,1.1,0.490099,0.0,0.0,0.633934,0.42355,-0.21038400000000002
12,1.2,0.4901,0.0,0.0,0.6398079999999999,0.42318200000000006,-0.21662599999999987
13,1.3,0.4901,0.0,0.0,0.6408510000000001,0.42263799999999996,-0.2182130000000001
14,1.4,0.490099,0.0,0.0,0.642388,0.425308,-0.21707999999999994
15,1.5,0.4901,0.0,0.0,0.6394059999999999,0.422085,-0.21732099999999993
16,1.6,0.490101,0.0,0.0,0.637535,0.422709,-0.21482599999999996
17,1.7,0.4901,0.0,0.0,0.635356,0.42349099999999995,-0.21186500000000008
18,1.8,0.4901,0.0,0.0,0.635955,0.421456,-0.21449900000000005
19,1.9,0.49009899999999995,0.0,0.0,0.63884,0.42396,-0.21487999999999996
20,2.0,0.4901,0.0,0.0,0.637499,0.42552,-0.21197900000000003
21,2.1,0.4901,0.0,0.0,0.6379109999999999,0.425067,-0.21284399999999992
22,2.2,0.4901,0.0,0.0,0.636863,0.42248499999999994,-0.214378
23,2.3,0.490099,0.0,0.0,0.64094,0.42295599999999994,-0.217984
24,2.4,0.4901,0.0,0.0,0.642172,0.424965,-0.21720699999999998
25,2.5,0.4901,0.0,0.0,0.641017,0.426192,-0.21482499999999993
26,2.6,0.490099,0.0,0.0,0.641549,0.425775,-0.21577400000000002
27,2.7,0.49010000000000004,0.0,0.0,0.6416740000000001,0.421756,-0.21991800000000006
28,2.8,0.4901,0.0,0.0,0.639463,0.422462,-0.217001
29,2.9,0.49010099999999995,0.0,0.0,0.636754,0.42156899999999997,-0.21518500000000007
30,3.0,0.490101,0.0,0.0,0.6376299999999999,0.42433,-0.21329999999999993
31,3.1,0.4901,0.0,0.0,0.637474,0.424816,-0.21265799999999996
32,3.2,0.4901,0.0,0.0,0.63784,0.42701900000000004,-0.21082099999999993
33,3.3,0.49010000000000004,0.0,0.0,0.6365160000000001,0.428911,-0.2076050000000001
34,3.4,0.49010000000000004,0.0,0.0,0.637089,0.428407,-0.20868200000000003
35,3.5,0.490099,0.0,0.0,0.631742,0.425775,-0.205967
36,3.6,0.4901,0.0,0.0,0.631923,0.42442,-0.207503
37,3.7,0.4901,0.0,0.0,0.6384289999999999,0.421963,-0.21646599999999994
38,3.8,0.4901,0.0,0.0,0.639362,0.42292399999999997,-0.21643800000000002
39,3.9,0.49010000000000004,0.0,0.0,0.639716,0.423567,-0.21614899999999992
