t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.490099,0.0,0.5182439999999999,0.47834099999999996,0.0
0.1,0.4901,0.0,0.540503,0.457292,0.0
0.2,0.490101,0.0,0.55923,0.447225,0.0
0.3,0.4901,0.0,0.57362,0.440871,0.0
0.4,0.4901,0.0,0.587207,0.436267,0.0
0.5,0.4901,0.0,0.599911,0.437179,0.0
0.6,0.490101,0.0,0.6090450000000001,0.43140900000000004,0.0
0.7,0.490099,0.0,0.618698,0.428719,0.0
0.8,0.490101,0.0,0.6245229999999999,0.42961,0.0
0.9,0.49010000000000004,0.0,0.631305,0.424347,0.0
1.0,0.4901,0.0,0.632101,0.422795,0.0
1.1,0.490099,0.0,0.633934,0.42355,0.0
1.2,0.4901,0.0,0.6398079999999999,0.42318200000000006,0.0
1.3,0.4901,0.0,0.6408510000000001,0.42263799999999996,0.0
1.4,0.490099,0.0,0.642388,0.425308,0.0
1.5,0.4901,0.0,0.6394059999999999,0.422085,0.0
1.6,0.490101,0.0,0.637535,0.422709,0.0
1.7,0.4901,0.0,0.635356,0.42349099999999995,0.0
1.8,0.4901,0.0,0.635955,0.421456,0.0
1.9,0.49009899999999995,0.0,0.63884,0.42396,0.0
2.0,0.4901,0.0,0.637499,0.42552,0.0
2.1,0.4901,0.0,0.6379109999999999,0.425067,0.0
2.2,0.4901,0.0,0.636863,0.42248499999999994,0.0
2.3,0.490099,0.0,0.64094,0.42295599999999994,0.0
2.4,0.4901,0.0,0.642172,0.424965,0.0
2.5,0.4901,0.0,0.641017,0.426192,0.0
2.6,0.490099,0.0,0.641549,0.425775,0.0
2.7,0.49010000000000004,0.0,0.6416740000000001,0.421756,0.0
2.8,0.4901,0.0,0.639463,0.422462,0.0
2.9,0.49010099999999995,0.0,0.636754,0.42156899999999997,0.0
3.0,0.490101,0.0,0.6376299999999999,0.42433,0.0
3.1,0.4901,0.0,0.637474,0.424816,0.0
3.2,0.4901,0.0,0.63784,0.42701900000000004,0.0
3.3,0.49010000000000004,0.0,0.6365160000000001,0.428911,0.0
3.4,0.49010000000000004,0.0,0.637089,0.428407,0.0
3.5,0.490099,0.0,0.631742,0.425775,0.0
3.6,0.4901,0.0,0.631923,0.42442,0.0
3.7,0.4901,0.0,0.6384289999999999,0.421963,0.0
3.8,0.4901,0.0,0.639362,0.42292399999999997,0.0
3.9,0.49010000000000004,0.0,0.639716,0.423567,0.0
