t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.113128,0.109653,0.0,0.0,0.0,0.0,0.156226,0.126099,0.118322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138811,0.136769,0.100991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.103458,0.082381,0.0,0.0,0.0,0.0,0.196248,0.128573,0.103098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157399,0.153353,0.075491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.094593,0.062724,0.0,0.0,0.0,0.0,0.226897,0.125636,0.095043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169086,0.164006,0.062015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.087011,0.049495,0.0,0.0,0.0,0.0,0.249683,0.118446,0.092675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175054,0.171098,0.056538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.080182,0.039758,0.0,0.0,0.0,0.0,0.26603,0.113261,0.091251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180782,0.177205,0.051531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.074995,0.033234,0.0,0.0,0.0,0.0,0.280462,0.104527,0.092077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183904,0.182009,0.048791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.069874,0.029449,0.0,0.0,0.0,0.0,0.288624,0.10064,0.091587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186292,0.187159,0.046375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.064492,0.027542,0.0,0.0,0.0,0.0,0.29427,0.099639,0.088849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188965,0.189492,0.046751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.061622,0.02616,0.0,0.0,0.0,0.0,0.299723,0.096895,0.087522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188175,0.188936,0.050967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.060054,0.023873,0.0,0.0,0.0,0.0,0.304191,0.097027,0.085209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188927,0.190158,0.050561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.058452,0.023468,0.0,0.0,0.0,0.0,0.305458,0.09458,0.086793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19111,0.192755,0.047383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.05668,0.022427,0.0,0.0,0.0,0.0,0.309722,0.09193,0.086221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18896,0.193266,0.050794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
