t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.5091000000000001,0.0,0.5140950000000001,0.480316,0.0
0.1,0.509099,0.0,0.5362,0.45410799999999996,0.0
0.2,0.509101,0.0,0.5608719999999999,0.440329,0.0
0.3,0.509099,0.0,0.584736,0.435217,0.0
0.4,0.5091,0.0,0.59871,0.43045700000000003,0.0
0.5,0.509101,0.0,0.609853,0.427528,0.0
0.6,0.5090990000000001,0.0,0.6190260000000001,0.42460200000000003,0.0
0.7,0.509099,0.0,0.623608,0.423452,0.0
0.8,0.509101,0.0,0.63026,0.421044,0.0
0.9,0.5091,0.0,0.6331640000000001,0.422274,0.0
1.0,0.5091,0.0,0.6357090000000001,0.419866,0.0
1.1,0.5091,0.0,0.6380939999999999,0.42072,0.0
1.2,0.509101,0.0,0.6375040000000001,0.42275399999999996,0.0
1.3,0.509099,0.0,0.634652,0.42262400000000006,0.0
1.4,0.5091,0.0,0.635989,0.422564,0.0
1.5,0.5091,0.0,0.635867,0.421917,0.0
1.6,0.5091,0.0,0.638629,0.4205,0.0
1.7,0.5091,0.0,0.642197,0.419479,0.0
1.8,0.5091,0.0,0.6399229999999999,0.420342,0.0
1.9,0.5091000000000001,0.0,0.639718,0.42211699999999996,0.0
2.0,0.509099,0.0,0.641376,0.424115,0.0
2.1,0.5091,0.0,0.642966,0.421898,0.0
2.2,0.5091000000000001,0.0,0.6422160000000001,0.422136,0.0
2.3,0.5091,0.0,0.643383,0.42175,0.0
2.4,0.509101,0.0,0.642806,0.42210000000000003,0.0
2.5,0.5091,0.0,0.639122,0.423532,0.0
2.6,0.5091,0.0,0.637456,0.422881,0.0
2.7,0.509101,0.0,0.640317,0.421246,0.0
2.8,0.5091,0.0,0.6461600000000001,0.41629000000000005,0.0
2.9,0.509101,0.0,0.6473749999999999,0.411992,0.0
3.0,0.509101,0.0,0.6525580000000001,0.408872,0.0
3.1,0.509099,0.0,0.652755,0.41155600000000003,0.0
3.2,0.5091,0.0,0.653863,0.41412800000000005,0.0
3.3,0.5091,0.0,0.653751,0.412588,0.0
3.4,0.5091,0.0,0.649797,0.416077,0.0
3.5,0.5091,0.0,0.6475350000000001,0.416472,0.0
3.6,0.5091,0.0,0.6453329999999999,0.41761000000000004,0.0
3.7,0.509101,0.0,0.644935,0.419581,0.0
3.8,0.5091000000000001,0.0,0.646727,0.42112399999999994,0.0
3.9,0.5091,0.0,0.647159,0.420016,0.0
