t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.115752,0.109987,0.0,0.0,0.0,0.0,0.158813,0.127012,0.113288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135132,0.133154,0.106862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.105409,0.081687,0.0,0.0,0.0,0.0,0.203324,0.123776,0.100312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155471,0.152927,0.077093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.09667,0.061415,0.0,0.0,0.0,0.0,0.233624,0.118848,0.095214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167964,0.162197,0.06407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.087891,0.046907,0.0,0.0,0.0,0.0,0.254575,0.110636,0.096981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175409,0.169829,0.057771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.080965,0.037239,0.0,0.0,0.0,0.0,0.270612,0.107657,0.093592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180727,0.175429,0.053779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.074572,0.031622,0.0,0.0,0.0,0.0,0.283369,0.103764,0.090346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18291,0.18019,0.053228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.070217,0.028358,0.0,0.0,0.0,0.0,0.28999,0.099003,0.091748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186832,0.183395,0.050456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.066634,0.026659,0.0,0.0,0.0,0.0,0.293159,0.097737,0.091544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190095,0.185361,0.04881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.063495,0.024315,0.0,0.0,0.0,0.0,0.298047,0.096788,0.089951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193101,0.185144,0.049161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.061709,0.023376,0.0,0.0,0.0,0.0,0.302333,0.0949,0.088491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190308,0.186851,0.052032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.059672,0.022083,0.0,0.0,0.0,0.0,0.305711,0.094889,0.086417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192668,0.187647,0.050913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.055915,0.021337,0.0,0.0,0.0,0.0,0.306878,0.093087,0.087798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19515,0.191567,0.048268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.054035,0.022325,0.0,0.0,0.0,0.0,0.30694,0.091887,0.087949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193947,0.19425,0.048668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.054301,0.022967,0.0,0.0,0.0,0.0,0.306113,0.09327,0.086749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193994,0.194809,0.047796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
