t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.4944990000000001,0.5027,0.540813,0.482015,0.0
0.1,0.49449999999999994,0.5027,0.582336,0.457086,0.0
0.2,0.49449999999999994,0.5026999999999999,0.604272,0.441025,0.0
0.3,0.49449899999999997,0.5027,0.6184449999999999,0.431285,0.0
0.4,0.49450199999999994,0.502701,0.6311450000000001,0.42057,0.0
0.5,0.4945,0.502699,0.63577,0.416423,0.0
0.6,0.494499,0.502699,0.641917,0.41753100000000004,0.0
0.7,0.494501,0.5027,0.647124,0.416122,0.0
0.8,0.49449999999999994,0.5027,0.6531469999999999,0.41036399999999995,0.0
0.9,0.49449999999999994,0.502699,0.657581,0.40522699999999995,0.0
1.0,0.494501,0.5026999999999999,0.6607040000000001,0.40154100000000004,0.0
1.1,0.49450000000000005,0.5026989999999999,0.6653009999999999,0.39922,0.0
1.2,0.494499,0.502699,0.6673319999999999,0.399478,0.0
1.3,0.4945,0.5027,0.6695690000000001,0.398423,0.0
1.4,0.4945,0.5026999999999999,0.674773,0.39977299999999993,0.0
1.5,0.4944989999999999,0.5026990000000001,0.6756080000000001,0.396977,0.0
1.6,0.494499,0.5027,0.6741729999999999,0.396328,0.0
1.7,0.49450000000000005,0.502701,0.670729,0.398362,0.0
1.8,0.49450000000000005,0.5027,0.671405,0.402302,0.0
1.9,0.49449999999999994,0.502699,0.673406,0.401037,0.0
2.0,0.49449999999999994,0.502699,0.67451,0.399984,0.0
2.1,0.49449999999999994,0.5027,0.673144,0.399951,0.0
2.2,0.49449899999999997,0.502699,0.671275,0.40205,0.0
2.3,0.494499,0.502699,0.6708049999999999,0.399995,0.0
2.4,0.49450000000000005,0.5026999999999999,0.672277,0.399337,0.0
2.5,0.494502,0.502702,0.6740440000000001,0.399438,0.0
2.6,0.494499,0.5026999999999999,0.6742910000000001,0.398658,0.0
2.7,0.4945,0.5027,0.673399,0.400692,0.0
2.8,0.4945,0.5026999999999999,0.6682779999999999,0.40370200000000006,0.0
2.9,0.49450000000000005,0.5027010000000001,0.6694770000000001,0.40603900000000004,0.0
3.0,0.4945,0.5026999999999999,0.6724030000000001,0.40628000000000003,0.0
3.1,0.49450099999999997,0.5027010000000001,0.673234,0.40711299999999995,0.0
3.2,0.49449800000000005,0.502699,0.674498,0.40752,0.0
3.3,0.49450099999999997,0.502702,0.6749229999999999,0.40925,0.0
3.4,0.4945,0.5027010000000001,0.6751020000000001,0.403644,0.0
3.5,0.4944989999999999,0.5026999999999999,0.6757819999999999,0.406272,0.0
3.6,0.49450099999999997,0.502702,0.6760160000000001,0.405401,0.0
3.7,0.494501,0.502699,0.677417,0.403893,0.0
3.8,0.494501,0.502699,0.679214,0.40144500000000005,0.0
3.9,0.49449899999999997,0.5027,0.677497,0.399669,0.0
