t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.055216,0.052483,0.03987,0.093855,0.047912,0.070262,0.077592,0.066078,0.056747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05831,0.066397,0.0692,0.050492,0.073547,0.069723,0.052314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.048727,0.038849,0.015888,0.128599,0.030569,0.076844,0.097806,0.066189,0.050055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05464,0.07535,0.078225,0.036185,0.081963,0.080657,0.039453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.044773,0.030033,0.007144,0.145686,0.027416,0.071654,0.11144,0.064304,0.047122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049898,0.078896,0.082465,0.033141,0.086695,0.086341,0.032991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.042557,0.023909,0.006114,0.154472,0.022737,0.068577,0.121765,0.061099,0.046126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045977,0.082326,0.086729,0.029368,0.088308,0.090308,0.029627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.039394,0.019763,0.004421,0.160521,0.022515,0.064443,0.129264,0.057356,0.046517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043833,0.086512,0.089,0.025055,0.089522,0.093764,0.028121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.036168,0.017222,0.002818,0.165517,0.021386,0.06218,0.133416,0.056622,0.04564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041219,0.087565,0.090492,0.025123,0.090466,0.095657,0.028509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.036047,0.015412,0.003526,0.167806,0.019985,0.060583,0.137484,0.056776,0.043228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039336,0.088578,0.091809,0.024678,0.091397,0.094364,0.028993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.034441,0.015157,0.002921,0.172495,0.018479,0.058006,0.139409,0.054657,0.043677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037005,0.091111,0.091773,0.024511,0.093604,0.095771,0.026985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.031597,0.015064,0.003201,0.173826,0.017735,0.057138,0.141167,0.051565,0.045103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035735,0.090628,0.092868,0.025169,0.094727,0.099681,0.024795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.030399,0.014028,0.003204,0.176535,0.016272,0.055889,0.143906,0.048302,0.046664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034674,0.09005,0.092335,0.027342,0.095425,0.099356,0.025621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.030732,0.01253,0.003243,0.181176,0.016027,0.051454,0.146887,0.047939,0.045543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031683,0.092523,0.094826,0.025369,0.096608,0.098545,0.024914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.030495,0.012011,0.003291,0.181791,0.015748,0.051071,0.150147,0.046846,0.043896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029337,0.091928,0.095541,0.027594,0.096903,0.098962,0.024439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.028404,0.010897,0.004251,0.182404,0.015612,0.049634,0.15049,0.048137,0.043376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029108,0.093107,0.095196,0.026989,0.096526,0.099938,0.025933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.028274,0.010458,0.004108,0.183432,0.013911,0.050449,0.150687,0.047432,0.044323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026593,0.095693,0.096023,0.026091,0.096855,0.099662,0.026009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.027767,0.010449,0.003863,0.183377,0.014803,0.049857,0.151522,0.04596,0.044969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026628,0.094895,0.095997,0.02688,0.096699,0.099632,0.026702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.027823,0.010623,0.004293,0.181128,0.015336,0.051143,0.153273,0.043638,0.045366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027855,0.093648,0.096194,0.026703,0.097787,0.097974,0.027216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
