,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.5043,0.4897,0.5164010000000001,0.529579,0.537316,0.007736999999999994
1,0.1,0.504301,0.489701,0.516401,0.565981,0.57449,0.008508999999999989
2,0.2,0.5043,0.48969999999999997,0.5164,0.58179,0.5858199999999999,0.004029999999999867
3,0.3,0.504301,0.4896999999999999,0.5163999999999999,0.586769,0.592042,0.005272999999999972
4,0.4,0.5043,0.48970099999999994,0.516401,0.592543,0.587778,-0.004765000000000019
5,0.5,0.5043,0.489699,0.516398,0.5924579999999999,0.587875,-0.004582999999999893
6,0.6,0.504299,0.48969900000000005,0.516398,0.5923860000000001,0.589673,-0.0027130000000000765
7,0.7,0.504301,0.489701,0.5164,0.594804,0.59403,-0.0007740000000000524
8,0.8,0.504299,0.489699,0.516399,0.595579,0.595089,-0.0004899999999999904
9,0.9,0.5043000000000001,0.48970100000000005,0.516402,0.5992129999999999,0.5965130000000001,-0.0026999999999998137
10,1.0,0.5042989999999999,0.489698,0.516399,0.5998730000000001,0.595261,-0.0046120000000000605
11,1.1,0.5043,0.489702,0.5164,0.6026109999999999,0.592881,-0.009729999999999905
12,1.2,0.5043009999999999,0.48969999999999997,0.5164019999999999,0.5986770000000001,0.5947429999999999,-0.003934000000000215
13,1.3,0.504298,0.489699,0.5163989999999999,0.596228,0.592014,-0.00421399999999994
14,1.4,0.5043,0.48970099999999994,0.516402,0.59805,0.5892499999999999,-0.00880000000000003
15,1.5,0.504302,0.48970300000000005,0.516402,0.598868,0.587398,-0.01146999999999998
16,1.6,0.504302,0.48970100000000005,0.516401,0.5995959999999999,0.59122,-0.008375999999999939
17,1.7,0.5043,0.489699,0.5164,0.6023839999999999,0.593993,-0.008390999999999926
18,1.8,0.5043,0.4897,0.516401,0.601488,0.5928910000000001,-0.008596999999999966
19,1.9,0.504301,0.48969999999999997,0.516401,0.5983719999999999,0.5925880000000001,-0.005783999999999789
20,2.0,0.504301,0.489701,0.5164,0.596646,0.595871,-0.0007749999999999702
21,2.1,0.5043,0.48969899999999994,0.5163989999999999,0.596178,0.5989290000000002,0.00275100000000017
22,2.2,0.5043,0.489699,0.5164,0.5982469999999999,0.597142,-0.0011049999999999116
23,2.3,0.5043009999999999,0.48969999999999997,0.516399,0.600872,0.594788,-0.006083999999999978
24,2.4,0.5043,0.4897,0.5164,0.6026379999999999,0.592677,-0.009960999999999887
25,2.5,0.504298,0.489699,0.5164,0.604398,0.5935400000000001,-0.010857999999999923
26,2.6,0.5043,0.489699,0.5164,0.6014290000000001,0.591083,-0.010346000000000077
27,2.7,0.5042989999999999,0.4897,0.516398,0.604187,0.586598,-0.017589000000000077
28,2.8,0.504298,0.489698,0.5163980000000001,0.604262,0.5909840000000001,-0.013277999999999901
29,2.9,0.5043,0.48969900000000005,0.5163989999999999,0.600057,0.590778,-0.009278999999999926
30,3.0,0.504301,0.48970199999999997,0.516402,0.597776,0.5942120000000001,-0.0035639999999999006
31,3.1,0.5043,0.48969799999999997,0.5163989999999999,0.597245,0.599313,0.0020679999999999588
32,3.2,0.5043,0.48970099999999994,0.516401,0.59358,0.601347,0.007766999999999968
33,3.3,0.5043,0.489699,0.5164009999999999,0.5916579999999999,0.6001920000000001,0.008534000000000153
34,3.4,0.5043020000000001,0.48969900000000005,0.5164000000000001,0.5912700000000001,0.598984,0.007713999999999888
35,3.5,0.504301,0.4897,0.516399,0.5962019999999999,0.5993900000000001,0.0031880000000001907
36,3.6,0.5043000000000001,0.4897000000000001,0.5164,0.597536,0.5984320000000001,0.0008960000000001189
37,3.7,0.5043000000000001,0.489702,0.5163989999999999,0.6004910000000001,0.595862,-0.004629000000000105
38,3.8,0.5043,0.48969999999999997,0.5164,0.59955,0.5988990000000001,-0.0006509999999999572
39,3.9,0.504302,0.489699,0.5163989999999999,0.5999450000000001,0.5993580000000001,-0.0005870000000000042
