t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.5022010000000001,0.5015010000000001,0.538707,0.539439,0.500599
0.1,0.5022,0.5015000000000001,0.5801310000000001,0.568917,0.500599
0.2,0.502201,0.5015000000000001,0.592919,0.57955,0.5006
0.3,0.5022,0.501501,0.594952,0.583501,0.500599
0.4,0.502201,0.5015010000000001,0.593114,0.5846500000000001,0.5006010000000001
0.5,0.502201,0.501501,0.592622,0.593496,0.500603
0.6,0.5022,0.501502,0.5939780000000001,0.5978490000000001,0.5006
0.7,0.5022,0.5015009999999999,0.5976989999999999,0.596069,0.5005989999999999
0.8,0.502199,0.501498,0.5987669999999999,0.593481,0.500599
0.9,0.5022000000000001,0.501499,0.597423,0.5929310000000001,0.5006
1.0,0.5022,0.501501,0.5940139999999999,0.595479,0.500601
1.1,0.502199,0.501498,0.59665,0.5966250000000001,0.5005989999999999
1.2,0.5022,0.5015000000000001,0.6013210000000001,0.593337,0.500598
1.3,0.502201,0.5015000000000001,0.601667,0.5954790000000001,0.500602
1.4,0.502201,0.5015010000000001,0.598337,0.593551,0.500601
1.5,0.5022,0.501501,0.5995469999999999,0.5974489999999999,0.500602
1.6,0.5022,0.501501,0.595342,0.6013969999999998,0.5006
1.7,0.5022,0.501501,0.593391,0.6019559999999999,0.500601
1.8,0.5022,0.5015,0.5952160000000001,0.602695,0.5006010000000001
1.9,0.502199,0.5014989999999999,0.596077,0.6003499999999999,0.5005999999999999
2.0,0.502201,0.5015000000000001,0.5924670000000001,0.600277,0.5005999999999999
2.1,0.502201,0.501501,0.591974,0.6047659999999999,0.5006
2.2,0.5022000000000001,0.501499,0.590662,0.602056,0.5005990000000001
2.3,0.5022,0.5015010000000001,0.5884060000000001,0.601715,0.500601
2.4,0.5022,0.501499,0.5897779999999999,0.603537,0.5005999999999999
2.5,0.5022009999999999,0.501501,0.5924889999999998,0.6041409999999999,0.500599
2.6,0.5021990000000001,0.501498,0.5966309999999999,0.6011150000000001,0.500599
2.7,0.5021990000000001,0.5015,0.5948979999999999,0.59599,0.5005999999999999
2.8,0.502201,0.5014989999999999,0.591185,0.5943579999999999,0.500599
2.9,0.5022,0.5015000000000001,0.5928320000000001,0.596681,0.5006
3.0,0.502201,0.501501,0.591629,0.601439,0.5006
3.1,0.502202,0.501502,0.594558,0.60237,0.500601
3.2,0.502199,0.5015,0.591677,0.6040279999999998,0.500598
3.3,0.5022000000000001,0.5015000000000001,0.597904,0.601789,0.5005990000000001
3.4,0.5022,0.501499,0.5948519999999999,0.601503,0.5005999999999999
3.5,0.5022,0.501501,0.595498,0.6025680000000001,0.5006
3.6,0.5022,0.501499,0.5964440000000001,0.6023769999999999,0.5005990000000001
3.7,0.5022,0.501501,0.6003809999999999,0.5973449999999999,0.5006010000000001
3.8,0.5022,0.501501,0.599017,0.5959070000000001,0.5006
3.9,0.502201,0.5015019999999999,0.603442,0.597614,0.500601
