t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.02952,0.026282,0.021219,0.049245,0.026953,0.038283,0.037446,0.030997,0.030175,0.024949,0.014436,0.03064,0.031067,0.048157,0.029385,0.033144,0.031922,0.02966,0.035619,0.034912,0.02561,0.034164,0.036376,0.02384,0.02309,0.024407,0.021981,0.047369,0.036843,0.030642,0.036041,0.025627
0.1,0.026777,0.019708,0.008421,0.067909,0.018961,0.040409,0.047795,0.031653,0.025744,0.014965,0.001842,0.027075,0.028107,0.067276,0.033673,0.037573,0.03319,0.026651,0.039976,0.040901,0.018273,0.037495,0.040383,0.019245,0.016756,0.009728,0.017516,0.067346,0.03601,0.029225,0.044249,0.02517
0.2,0.023536,0.015415,0.004062,0.076549,0.015353,0.039736,0.055071,0.030053,0.02436,0.009038,0.000653,0.024638,0.023528,0.075482,0.036967,0.03957,0.033825,0.024718,0.042505,0.043225,0.015351,0.041147,0.043478,0.01574,0.012849,0.004331,0.013626,0.077054,0.035589,0.029074,0.051346,0.02213
0.3,0.021309,0.012277,0.002638,0.082012,0.012479,0.038571,0.060518,0.028408,0.023697,0.005562,0.000678,0.022862,0.022786,0.077974,0.038054,0.040628,0.035157,0.023477,0.045273,0.04337,0.013681,0.042803,0.046103,0.013684,0.010139,0.002453,0.009551,0.084647,0.033948,0.028352,0.056277,0.020632
0.4,0.018903,0.010173,0.002493,0.086551,0.012085,0.034571,0.06647,0.026136,0.022121,0.004468,0.000684,0.023757,0.021717,0.078142,0.038118,0.039588,0.037226,0.02193,0.047863,0.044065,0.011942,0.043603,0.048491,0.012903,0.008473,0.001655,0.008925,0.087446,0.032575,0.028157,0.059151,0.019619
0.5,0.018192,0.008553,0.001628,0.089501,0.010756,0.033815,0.070148,0.025488,0.020711,0.003779,0.000386,0.02301,0.023019,0.077884,0.038687,0.041031,0.035904,0.020739,0.048372,0.045114,0.011575,0.044534,0.047857,0.013317,0.00828,0.001956,0.008861,0.090068,0.029714,0.025498,0.060695,0.020927
0.6,0.016981,0.007821,0.001392,0.090755,0.010402,0.033151,0.06937,0.026348,0.02136,0.003391,0.000375,0.024036,0.02296,0.076928,0.039387,0.039442,0.037181,0.019451,0.049055,0.045925,0.011369,0.046243,0.048775,0.011901,0.007132,0.002167,0.008606,0.091148,0.028678,0.024163,0.063902,0.020203
0.7,0.016703,0.006698,0.001671,0.092235,0.009981,0.031813,0.070493,0.024527,0.023182,0.002877,0.000367,0.023676,0.022673,0.077584,0.038693,0.03928,0.038551,0.018094,0.048635,0.047161,0.011909,0.047221,0.04808,0.011896,0.006434,0.001996,0.007684,0.092675,0.028246,0.022493,0.065979,0.020493
0.8,0.016444,0.006289,0.001577,0.094142,0.008872,0.031109,0.072016,0.02482,0.021775,0.002659,8.3e-05,0.021799,0.024046,0.078371,0.038793,0.039274,0.038674,0.016738,0.049278,0.04706,0.012724,0.047745,0.047678,0.012034,0.005913,0.002352,0.007533,0.093439,0.027276,0.02155,0.067177,0.02076
0.9,0.01578,0.006542,0.001754,0.095204,0.007973,0.030769,0.072192,0.022778,0.023388,0.001896,0.000638,0.021934,0.023519,0.078209,0.039826,0.038916,0.038762,0.016919,0.048923,0.047452,0.012507,0.047781,0.046745,0.013594,0.004956,0.001619,0.007057,0.095059,0.026866,0.020468,0.068243,0.021733
1.0,0.014644,0.006402,0.002235,0.096664,0.008956,0.027845,0.073765,0.021526,0.023207,0.001613,0.000683,0.021917,0.022434,0.079266,0.039082,0.038861,0.039843,0.016282,0.048961,0.046913,0.013644,0.04895,0.047347,0.01296,0.004727,0.001362,0.006336,0.097503,0.025398,0.021115,0.068638,0.02092
1.1,0.014032,0.006358,0.002656,0.09686,0.008194,0.027989,0.074667,0.021405,0.02247,0.002322,0.000557,0.024408,0.022642,0.076693,0.03692,0.038733,0.041426,0.014985,0.050668,0.045622,0.014525,0.048738,0.047741,0.013389,0.005564,0.001346,0.006665,0.097462,0.025128,0.020374,0.067771,0.021691
1.2,0.013998,0.006402,0.001807,0.097208,0.008102,0.028584,0.076001,0.022095,0.020402,0.002599,0.000452,0.022483,0.023488,0.077878,0.035878,0.038775,0.042147,0.01426,0.050716,0.047024,0.0138,0.048137,0.046916,0.014849,0.006825,0.001529,0.006918,0.098768,0.023385,0.020045,0.068284,0.020246
1.3,0.013482,0.005799,0.001443,0.097747,0.008449,0.028061,0.076852,0.02165,0.020598,0.002954,0.000632,0.022755,0.023552,0.07736,0.036751,0.039776,0.039919,0.014173,0.050493,0.047464,0.01367,0.049405,0.048099,0.012914,0.006224,0.001788,0.00787,0.0984,0.022542,0.019616,0.069885,0.019675
1.4,0.012727,0.006507,0.001748,0.098537,0.008623,0.026792,0.076415,0.020942,0.021036,0.002621,0.000493,0.02353,0.023766,0.076511,0.037438,0.03947,0.039871,0.01412,0.050171,0.04794,0.01357,0.051474,0.048134,0.011564,0.005475,0.001538,0.008077,0.097529,0.023457,0.01988,0.070318,0.019727
1.5,0.011966,0.006756,0.002163,0.099197,0.009619,0.024721,0.075612,0.021465,0.021067,0.002467,0.00041,0.025081,0.022214,0.076596,0.03896,0.038416,0.039558,0.013301,0.051329,0.048523,0.012647,0.051292,0.048353,0.012289,0.005416,0.001783,0.008101,0.096331,0.024386,0.018771,0.071952,0.019261
1.6,0.011955,0.006763,0.002254,0.098913,0.008884,0.02565,0.075706,0.020298,0.022133,0.002263,0.000536,0.023463,0.023199,0.077102,0.038972,0.039463,0.038703,0.013522,0.051561,0.047676,0.013041,0.051246,0.048216,0.012483,0.005029,0.001816,0.006995,0.096247,0.025542,0.017788,0.072285,0.020298
1.7,0.011466,0.006147,0.001655,0.098627,0.008304,0.027114,0.075931,0.020237,0.022586,0.002019,0.00036,0.022064,0.023415,0.078461,0.040742,0.039591,0.037047,0.012489,0.051137,0.049191,0.012983,0.050265,0.049215,0.012954,0.004846,0.001916,0.00721,0.094738,0.026736,0.019133,0.072027,0.019394
1.8,0.010481,0.006473,0.001879,0.097419,0.00883,0.027572,0.076405,0.020857,0.021165,0.002488,0.000227,0.02459,0.022427,0.077056,0.042995,0.036854,0.037063,0.012741,0.049777,0.049732,0.013551,0.050641,0.050681,0.012097,0.004456,0.00187,0.006483,0.09528,0.026967,0.018185,0.073237,0.019522
1.9,0.011556,0.005763,0.001436,0.098366,0.009486,0.026413,0.077377,0.022113,0.019647,0.002153,0.000593,0.023596,0.022567,0.077544,0.043147,0.037757,0.036343,0.013135,0.049067,0.049288,0.01431,0.050268,0.050256,0.011819,0.00501,0.001796,0.006627,0.095618,0.026559,0.017522,0.073101,0.019767
