t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.49570100000000006,0.5015000000000001,0.5047010000000001,0.5348590000000001,0.531401
0.1,0.495701,0.501502,0.504702,0.5716,0.571334
0.2,0.495701,0.5015000000000001,0.5047010000000001,0.5845479999999998,0.585702
0.3,0.49569900000000006,0.5015000000000001,0.5047,0.589329,0.5878470000000001
0.4,0.4957,0.501498,0.504698,0.587048,0.590802
0.5,0.4957,0.501499,0.504702,0.585401,0.594793
0.6,0.495701,0.5015000000000001,0.5047,0.5898829999999999,0.59722
0.7,0.495701,0.501501,0.504701,0.590581,0.594044
0.8,0.49570000000000003,0.5015,0.504699,0.594052,0.596349
0.9,0.495699,0.501499,0.504699,0.593417,0.594211
1.0,0.49569900000000006,0.501501,0.5046999999999999,0.590894,0.597298
1.1,0.495701,0.501501,0.5047010000000001,0.5913170000000001,0.6023959999999999
1.2,0.4957,0.5015000000000001,0.5047,0.592049,0.604405
1.3,0.49569900000000006,0.5015,0.504699,0.593405,0.604302
1.4,0.4957,0.501502,0.504699,0.59475,0.601404
1.5,0.49569899999999995,0.501498,0.504699,0.594495,0.5997239999999999
1.6,0.49569700000000005,0.5015,0.504699,0.594683,0.6059329999999999
1.7,0.495701,0.5015,0.5047010000000001,0.595471,0.603237
1.8,0.49570100000000006,0.5015,0.5047010000000001,0.594116,0.598573
1.9,0.4957,0.501499,0.5047,0.5968340000000001,0.593317
2.0,0.49570000000000003,0.5015,0.5047,0.5980160000000001,0.5972200000000001
2.1,0.495699,0.501498,0.504699,0.596811,0.59879
2.2,0.495699,0.501498,0.504698,0.594506,0.603454
2.3,0.49570100000000006,0.5015,0.5047010000000001,0.592349,0.6031230000000001
2.4,0.49570299999999995,0.5015010000000001,0.504702,0.592408,0.602994
2.5,0.495699,0.501498,0.504699,0.589963,0.603315
2.6,0.4957,0.5015,0.504702,0.590739,0.6050479999999999
2.7,0.49569899999999995,0.501499,0.5047010000000001,0.5929270000000001,0.60527
2.8,0.49570000000000003,0.501498,0.5047,0.591406,0.6047140000000001
2.9,0.495701,0.501501,0.5047010000000001,0.5910690000000001,0.605701
3.0,0.4957,0.5015000000000001,0.5047,0.594075,0.603251
3.1,0.49570099999999995,0.501501,0.5046999999999999,0.592089,0.604356
3.2,0.49570000000000003,0.5015010000000001,0.504699,0.588766,0.606439
3.3,0.495701,0.501501,0.5046999999999999,0.587931,0.6045990000000001
3.4,0.4956999999999999,0.501499,0.5046999999999999,0.593411,0.6045010000000002
3.5,0.49570200000000003,0.501502,0.504702,0.5935760000000001,0.6037530000000001
3.6,0.49570000000000003,0.5015000000000001,0.5046999999999999,0.596927,0.599473
3.7,0.495701,0.5015010000000001,0.5047,0.597516,0.5963790000000001
3.8,0.49570100000000006,0.5015010000000001,0.5047,0.5958680000000001,0.599629
3.9,0.495699,0.5015000000000001,0.5046999999999999,0.597346,0.597293
