t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.031978,0.025409,0.017856,0.049177,0.024299,0.032868,0.035827,0.032197,0.026967,0.025645,0.015331,0.029978,0.030149,0.050642,0.034538,0.033383,0.031435,0.029623,0.035988,0.035848,0.026442,0.034849,0.036063,0.02311,0.024758,0.019719,0.024226,0.048099,0.034456,0.033698,0.034785,0.030658
0.1,0.027125,0.019439,0.006563,0.066209,0.015748,0.03568,0.045213,0.031329,0.024419,0.014556,0.002379,0.02708,0.02662,0.070021,0.03825,0.038425,0.03377,0.026868,0.040592,0.040648,0.019793,0.039477,0.042019,0.01738,0.018456,0.00751,0.016877,0.065361,0.036753,0.032076,0.045358,0.02801
0.2,0.024364,0.01428,0.002926,0.074104,0.01341,0.033761,0.052662,0.02971,0.023748,0.009266,0.000457,0.025844,0.022177,0.077622,0.041092,0.038909,0.035733,0.023948,0.043057,0.044662,0.016233,0.042132,0.044981,0.014523,0.014249,0.003754,0.012515,0.074349,0.035882,0.029649,0.054011,0.025991
0.3,0.021829,0.011131,0.001933,0.077394,0.011164,0.033708,0.058107,0.027319,0.023843,0.006742,0.000391,0.023961,0.02246,0.079288,0.042739,0.03891,0.036609,0.022645,0.044907,0.047128,0.013221,0.044931,0.046683,0.012557,0.011146,0.002227,0.011787,0.078709,0.033777,0.030283,0.060254,0.022217
0.4,0.020712,0.00911,0.002138,0.080893,0.009497,0.031672,0.061204,0.027126,0.022961,0.005179,0.00045,0.02398,0.023627,0.078042,0.041816,0.041195,0.03681,0.020706,0.046444,0.048519,0.012231,0.046165,0.04632,0.012803,0.009164,0.001729,0.009229,0.083715,0.031826,0.030278,0.063764,0.020694
0.5,0.020474,0.008044,0.002198,0.082832,0.009017,0.030154,0.064911,0.026232,0.021213,0.004035,0.000257,0.022704,0.024204,0.078935,0.04077,0.041261,0.038933,0.018626,0.04751,0.049644,0.012121,0.046284,0.047191,0.01205,0.007906,0.002107,0.008331,0.0868,0.029262,0.028218,0.066603,0.021173
0.6,0.019058,0.007123,0.001759,0.084686,0.008742,0.029014,0.067159,0.025154,0.020963,0.003013,0.000361,0.022622,0.023759,0.079359,0.04042,0.042437,0.03913,0.017078,0.048871,0.049053,0.012897,0.04676,0.046497,0.013685,0.007894,0.002006,0.008333,0.087745,0.028415,0.025636,0.068437,0.021933
0.7,0.017704,0.006399,0.001614,0.087171,0.008313,0.027102,0.067706,0.024442,0.021854,0.003186,0.000315,0.02317,0.025203,0.077412,0.040305,0.042189,0.03932,0.016316,0.049311,0.048972,0.013301,0.04861,0.046901,0.012784,0.007077,0.002098,0.00918,0.08784,0.027383,0.025795,0.070851,0.020177
0.8,0.017172,0.005958,0.001467,0.086313,0.008031,0.028389,0.068769,0.023484,0.022189,0.002722,0.000191,0.0232,0.024268,0.07844,0.041638,0.041088,0.039553,0.015566,0.049623,0.049157,0.013554,0.048882,0.047949,0.011998,0.007389,0.002143,0.008357,0.088957,0.027043,0.024262,0.070407,0.021842
0.9,0.016055,0.005446,0.001375,0.087857,0.008226,0.026742,0.069795,0.023922,0.021237,0.00279,0.000526,0.024545,0.022863,0.078165,0.042647,0.040208,0.039355,0.015536,0.049677,0.050782,0.011905,0.049483,0.048731,0.011731,0.006852,0.001543,0.008419,0.090079,0.026459,0.023242,0.071648,0.022158
1.0,0.015957,0.005079,0.00112,0.089034,0.009067,0.024978,0.070948,0.024173,0.0202,0.002895,0.000494,0.024848,0.022862,0.077896,0.041536,0.040711,0.039858,0.014739,0.048783,0.051984,0.012394,0.048462,0.04872,0.012861,0.006094,0.001565,0.007591,0.091307,0.026038,0.023557,0.072339,0.02191
1.1,0.014849,0.004897,0.001354,0.088949,0.00815,0.025747,0.070463,0.023334,0.021706,0.003097,0.000463,0.024455,0.022443,0.07874,0.040874,0.040511,0.040518,0.014163,0.048438,0.051895,0.013404,0.047047,0.050943,0.013161,0.006035,0.002107,0.00819,0.091279,0.024924,0.022224,0.073164,0.022477
1.2,0.014005,0.004686,0.001666,0.088584,0.008431,0.025519,0.071715,0.022513,0.021486,0.002711,0.000309,0.023963,0.022857,0.078971,0.041357,0.041306,0.039626,0.01401,0.047873,0.051808,0.014209,0.046322,0.051849,0.013824,0.005487,0.001853,0.008087,0.09071,0.02585,0.022967,0.07375,0.021696
1.3,0.013955,0.004792,0.002278,0.089151,0.00679,0.02598,0.072842,0.023257,0.019509,0.002678,0.000463,0.022894,0.022796,0.079947,0.041167,0.040881,0.040274,0.013346,0.049323,0.051146,0.014085,0.046269,0.05159,0.014185,0.005032,0.001692,0.007453,0.091393,0.025962,0.022361,0.074504,0.022003
1.4,0.014229,0.005137,0.002533,0.089758,0.006032,0.025876,0.073431,0.022234,0.019598,0.002685,5.2e-05,0.023897,0.02242,0.079731,0.040514,0.040698,0.041104,0.012362,0.051151,0.051147,0.01324,0.046543,0.05254,0.012689,0.004898,0.001943,0.007203,0.091326,0.026028,0.022262,0.075016,0.021725
1.5,0.013543,0.004247,0.001825,0.090398,0.006026,0.025951,0.075375,0.021924,0.018853,0.003033,0.000287,0.023846,0.022547,0.07942,0.040216,0.041683,0.040068,0.012086,0.051347,0.051588,0.012879,0.048281,0.053163,0.011014,0.00495,0.00185,0.007441,0.09189,0.025318,0.021549,0.074861,0.022539
1.6,0.013177,0.004585,0.001596,0.088895,0.007194,0.026514,0.073204,0.020259,0.022351,0.003332,0.000297,0.023328,0.022765,0.079709,0.039861,0.041764,0.040043,0.012335,0.0503,0.051342,0.013923,0.048204,0.052321,0.012298,0.004913,0.002171,0.006938,0.092812,0.02458,0.020929,0.074452,0.023606
1.7,0.013549,0.004129,0.001928,0.088695,0.006385,0.027193,0.073662,0.020529,0.02208,0.003054,0.000551,0.024991,0.021889,0.078669,0.039703,0.041164,0.041079,0.012955,0.050375,0.051004,0.013566,0.047055,0.051982,0.013413,0.005205,0.001975,0.007544,0.092921,0.02406,0.021392,0.075309,0.021994
1.8,0.012777,0.004189,0.002432,0.089363,0.007708,0.024697,0.075403,0.020835,0.019973,0.002739,0.000413,0.025277,0.023095,0.077316,0.039844,0.04009,0.042327,0.013139,0.05064,0.051563,0.012559,0.048038,0.052067,0.013119,0.005313,0.002419,0.007049,0.091714,0.025317,0.022394,0.075393,0.0208
1.9,0.01265,0.004875,0.002101,0.089224,0.00834,0.024535,0.076051,0.019631,0.019843,0.002882,0.000377,0.02409,0.02224,0.079393,0.041365,0.040105,0.040648,0.012616,0.051254,0.051306,0.012724,0.048681,0.05266,0.012009,0.005264,0.002427,0.008996,0.091222,0.023855,0.023829,0.074469,0.020337
2.0,0.012704,0.004734,0.001661,0.089457,0.00867,0.024412,0.075358,0.019851,0.020457,0.002703,0.000114,0.021963,0.022224,0.081799,0.041666,0.039421,0.04121,0.012614,0.050792,0.050664,0.01383,0.049116,0.052672,0.011507,0.005759,0.00228,0.009168,0.0923,0.022752,0.02269,0.073612,0.021839
2.1,0.012548,0.004651,0.002047,0.089102,0.007766,0.025286,0.073865,0.021108,0.020775,0.002282,0.000564,0.023098,0.021979,0.080459,0.042305,0.039734,0.040678,0.012461,0.050743,0.050107,0.014588,0.049328,0.05279,0.011334,0.005414,0.002013,0.00839,0.093873,0.022223,0.022396,0.073849,0.022241
2.2,0.013027,0.004464,0.001904,0.090295,0.006957,0.025044,0.074223,0.022329,0.019384,0.002209,0.000729,0.023759,0.023255,0.078356,0.039082,0.039822,0.043887,0.012663,0.050721,0.050608,0.013908,0.048209,0.052004,0.012759,0.005345,0.001465,0.007418,0.094411,0.023205,0.02103,0.074299,0.023226
2.3,0.013712,0.004252,0.002233,0.089619,0.006758,0.02559,0.074662,0.021811,0.019676,0.002306,0.000589,0.022683,0.024253,0.078575,0.039459,0.04113,0.042105,0.011963,0.051733,0.051735,0.01247,0.048562,0.050185,0.013541,0.005276,0.001488,0.007183,0.093511,0.024318,0.021159,0.076451,0.021014
