,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.49900000000000005,0.5114000000000001,0.0,0.506073,0.5133559999999999,0.007282999999999928
1,0.1,0.499,0.511399,0.0,0.527807,0.528771,0.0009639999999999649
2,0.2,0.498999,0.5114000000000001,0.0,0.544245,0.537841,-0.006403999999999965
3,0.3,0.499,0.5114000000000001,0.0,0.5520090000000001,0.548623,-0.003386000000000111
4,0.4,0.49899899999999997,0.5113989999999999,0.0,0.557756,0.55579,-0.0019660000000000233
5,0.5,0.499,0.5114,0.0,0.56275,0.558559,-0.004190999999999945
6,0.6,0.499,0.5114000000000001,0.0,0.5642130000000001,0.556691,-0.007522000000000029
7,0.7,0.49900100000000003,0.511401,0.0,0.563005,0.559413,-0.0035919999999999286
8,0.8,0.499,0.5113989999999999,0.0,0.5628980000000001,0.561518,-0.0013800000000001589
9,0.9,0.49899999999999994,0.5113989999999999,0.0,0.560886,0.5627099999999999,0.0018239999999999368
10,1.0,0.499,0.5114,0.0,0.563374,0.570788,0.007413999999999921
11,1.1,0.49900000000000005,0.511399,0.0,0.5638070000000001,0.574843,0.011035999999999935
12,1.2,0.499,0.5114,0.0,0.564225,0.577327,0.013102000000000058
13,1.3,0.49900000000000005,0.511399,0.0,0.56633,0.577279,0.010948999999999987
14,1.4,0.49899899999999997,0.5113989999999999,0.0,0.567028,0.5818110000000001,0.014783000000000102
15,1.5,0.49899899999999997,0.5113989999999999,0.0,0.565032,0.579015,0.013982999999999968
16,1.6,0.49899999999999994,0.5113989999999999,0.0,0.56163,0.579428,0.01779800000000009
17,1.7,0.498998,0.5113989999999999,0.0,0.565389,0.577639,0.012249999999999983
18,1.8,0.49899899999999997,0.5114,0.0,0.568613,0.579732,0.01111899999999999
19,1.9,0.4990009999999999,0.5114,0.0,0.566785,0.57999,0.013205000000000022
20,2.0,0.49900000000000005,0.511399,0.0,0.5638340000000001,0.5799570000000001,0.016123
21,2.1,0.49899999999999994,0.5114,0.0,0.5636270000000001,0.579661,0.01603399999999988
22,2.2,0.49900100000000003,0.5113989999999999,0.0,0.564172,0.5812970000000001,0.017125000000000057
23,2.3,0.49899899999999997,0.5114,0.0,0.563908,0.579404,0.015496000000000065
24,2.4,0.499,0.5114,0.0,0.563875,0.581355,0.01747999999999994
25,2.5,0.499,0.511401,0.0,0.559964,0.578862,0.01889799999999997
26,2.6,0.499,0.5114000000000001,0.0,0.556969,0.5756950000000001,0.01872600000000002
27,2.7,0.4989999999999999,0.511401,0.0,0.561087,0.575252,0.014164999999999983
28,2.8,0.499,0.5114,0.0,0.5620120000000001,0.5709029999999999,0.008890999999999871
29,2.9,0.498999,0.511399,0.0,0.5616599999999999,0.5694530000000001,0.007793000000000161
30,3.0,0.49900100000000003,0.511402,0.0,0.5612509999999999,0.571361,0.010110000000000063
31,3.1,0.498999,0.511399,0.0,0.563783,0.56752,0.0037369999999999903
32,3.2,0.49900000000000005,0.5114000000000001,0.0,0.5617270000000001,0.5730200000000001,0.011292999999999997
33,3.3,0.498999,0.511399,0.0,0.564221,0.577846,0.013624999999999998
34,3.4,0.499,0.5114,0.0,0.565923,0.5802259999999999,0.014302999999999955
35,3.5,0.498999,0.511401,0.0,0.564018,0.577656,0.013637999999999928
36,3.6,0.499,0.511401,0.0,0.563784,0.5752689999999999,0.011484999999999967
37,3.7,0.498999,0.511398,0.0,0.56809,0.572681,0.004591000000000012
38,3.8,0.499,0.511399,0.0,0.564546,0.573724,0.00917800000000002
39,3.9,0.499002,0.511401,0.0,0.564174,0.576408,0.012234000000000078
