,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.493101,0.0,0.0,0.514481,0.47940099999999997,-0.03508
1,0.1,0.493101,0.0,0.0,0.5375829999999999,0.45883799999999997,-0.07874499999999995
2,0.2,0.4931,0.0,0.0,0.556795,0.44626,-0.11053500000000005
3,0.3,0.493099,0.0,0.0,0.574532,0.440366,-0.13416600000000006
4,0.4,0.49309899999999995,0.0,0.0,0.590463,0.438412,-0.15205099999999994
5,0.5,0.4931,0.0,0.0,0.601872,0.433017,-0.16885499999999998
6,0.6,0.4931,0.0,0.0,0.610784,0.431547,-0.17923699999999998
7,0.7,0.49310000000000004,0.0,0.0,0.618655,0.43143200000000004,-0.18722299999999992
8,0.8,0.4931,0.0,0.0,0.624089,0.4298580000000001,-0.19423099999999993
9,0.9,0.493101,0.0,0.0,0.622209,0.424478,-0.197731
10,1.0,0.4931,0.0,0.0,0.6264689999999999,0.42563700000000004,-0.2008319999999999
11,1.1,0.49309900000000007,0.0,0.0,0.630796,0.42472699999999997,-0.20606900000000006
12,1.2,0.4931,0.0,0.0,0.631025,0.427214,-0.20381099999999996
13,1.3,0.493101,0.0,0.0,0.632782,0.427614,-0.20516799999999996
14,1.4,0.4931,0.0,0.0,0.637159,0.42539400000000005,-0.21176499999999998
15,1.5,0.493099,0.0,0.0,0.640169,0.42604600000000004,-0.21412299999999995
16,1.6,0.4931,0.0,0.0,0.6388780000000001,0.426235,-0.21264300000000008
17,1.7,0.493099,0.0,0.0,0.638628,0.425877,-0.21275099999999997
18,1.8,0.4931,0.0,0.0,0.6419279999999999,0.426093,-0.21583499999999994
19,1.9,0.49310000000000004,0.0,0.0,0.6462729999999999,0.423474,-0.22279899999999986
20,2.0,0.4931,0.0,0.0,0.648556,0.41998500000000005,-0.22857099999999997
21,2.1,0.4931,0.0,0.0,0.647745,0.416559,-0.231186
22,2.2,0.49309899999999995,0.0,0.0,0.648424,0.41744000000000003,-0.23098399999999997
23,2.3,0.493101,0.0,0.0,0.6485529999999999,0.416682,-0.23187099999999994
24,2.4,0.49309899999999995,0.0,0.0,0.648574,0.414991,-0.23358299999999999
25,2.5,0.493101,0.0,0.0,0.647065,0.415812,-0.231253
26,2.6,0.4931,0.0,0.0,0.647755,0.415401,-0.23235399999999995
27,2.7,0.4931,0.0,0.0,0.649268,0.417194,-0.23207399999999995
28,2.8,0.4931,0.0,0.0,0.652277,0.418576,-0.233701
29,2.9,0.493101,0.0,0.0,0.655781,0.41645600000000005,-0.2393249999999999
30,3.0,0.49310000000000004,0.0,0.0,0.650656,0.418288,-0.23236800000000002
31,3.1,0.4931,0.0,0.0,0.646757,0.42056800000000005,-0.22618899999999997
32,3.2,0.49310000000000004,0.0,0.0,0.646617,0.425382,-0.22123500000000001
33,3.3,0.493099,0.0,0.0,0.644672,0.42186100000000004,-0.22281099999999998
34,3.4,0.493101,0.0,0.0,0.643711,0.420433,-0.22327800000000003
35,3.5,0.4931,0.0,0.0,0.6419619999999999,0.41950699999999996,-0.22245499999999996
36,3.6,0.493099,0.0,0.0,0.6423400000000001,0.419881,-0.22245900000000013
37,3.7,0.493099,0.0,0.0,0.6422390000000001,0.419867,-0.22237200000000013
38,3.8,0.49310099999999996,0.0,0.0,0.643181,0.419755,-0.223426
39,3.9,0.4931,0.0,0.0,0.646648,0.421377,-0.225271
