,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.510299,0.0,0.499299,0.540026,0.480353,-0.05967300000000003
1,0.1,0.5103,0.0,0.49929999999999997,0.590838,0.450523,-0.14031499999999997
2,0.2,0.5103010000000001,0.0,0.499301,0.6165180000000001,0.43046199999999996,-0.18605600000000017
3,0.3,0.5103,0.0,0.49929999999999997,0.633838,0.416222,-0.21761600000000003
4,0.4,0.5102990000000001,0.0,0.49929900000000005,0.642714,0.413016,-0.229698
5,0.5,0.510301,0.0,0.499299,0.649244,0.413201,-0.23604300000000006
6,0.6,0.5103,0.0,0.4993000000000001,0.656133,0.410782,-0.24535099999999999
7,0.7,0.5103,0.0,0.4993,0.6646699999999999,0.405853,-0.25881699999999985
8,0.8,0.5103,0.0,0.4993,0.67031,0.40065300000000004,-0.2696569999999999
9,0.9,0.510302,0.0,0.499301,0.6762910000000001,0.39844399999999996,-0.2778470000000001
10,1.0,0.510301,0.0,0.49929900000000005,0.6790440000000001,0.395849,-0.2831950000000001
11,1.1,0.5103,0.0,0.4992999999999999,0.6812149999999999,0.398023,-0.2831919999999999
12,1.2,0.510301,0.0,0.499301,0.684598,0.401205,-0.28339300000000006
13,1.3,0.5103,0.0,0.4993009999999999,0.683759,0.39765899999999993,-0.2861000000000001
14,1.4,0.5103,0.0,0.4993,0.683132,0.399721,-0.28341099999999997
15,1.5,0.5103,0.0,0.499301,0.686546,0.4000699999999999,-0.28647600000000006
16,1.6,0.5103,0.0,0.49930099999999994,0.690249,0.39623499999999995,-0.29401400000000005
17,1.7,0.5103,0.0,0.4993,0.6900090000000001,0.39613000000000004,-0.29387900000000006
18,1.8,0.5103009999999999,0.0,0.49930099999999994,0.690587,0.396102,-0.29448499999999994
19,1.9,0.5103,0.0,0.499299,0.6846639999999999,0.398759,-0.28590499999999996
20,2.0,0.5103,0.0,0.49929999999999997,0.6851349999999999,0.39698,-0.28815499999999994
21,2.1,0.5103,0.0,0.499301,0.682972,0.39821799999999996,-0.28475400000000006
22,2.2,0.5103,0.0,0.4993,0.680744,0.399187,-0.281557
23,2.3,0.5103,0.0,0.49929899999999994,0.681593,0.395998,-0.285595
24,2.4,0.5103,0.0,0.49929999999999997,0.6818500000000001,0.392582,-0.2892680000000001
25,2.5,0.510298,0.0,0.499298,0.686585,0.393116,-0.293469
26,2.6,0.5103,0.0,0.49929999999999997,0.686323,0.394893,-0.29143
27,2.7,0.5102990000000001,0.0,0.4993000000000001,0.686083,0.396598,-0.289485
28,2.8,0.5103,0.0,0.4993000000000001,0.6826819999999999,0.397639,-0.2850429999999999
29,2.9,0.5103009999999999,0.0,0.4993,0.684671,0.396471,-0.2882
30,3.0,0.510298,0.0,0.499299,0.685045,0.39485400000000004,-0.290191
31,3.1,0.510301,0.0,0.499301,0.687737,0.391168,-0.296569
32,3.2,0.510301,0.0,0.49930099999999994,0.687456,0.392103,-0.295353
33,3.3,0.5103,0.0,0.499301,0.691466,0.38789599999999996,-0.30357000000000006
34,3.4,0.5103,0.0,0.4993,0.691569,0.390033,-0.30153599999999997
35,3.5,0.5103,0.0,0.4993,0.688583,0.390772,-0.29781099999999994
36,3.6,0.510301,0.0,0.49930100000000005,0.686559,0.39204400000000006,-0.29451499999999997
37,3.7,0.510302,0.0,0.499301,0.684943,0.39275099999999996,-0.292192
38,3.8,0.5103,0.0,0.499301,0.6871120000000001,0.39494399999999996,-0.2921680000000001
39,3.9,0.5103,0.0,0.49929999999999997,0.6879489999999999,0.396723,-0.29122599999999993
