,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.503598,0.501401,0.502699,0.533895,0.534982,0.0010869999999999491
1,0.1,0.503602,0.5014,0.502702,0.572692,0.56728,-0.005411999999999972
2,0.2,0.5036010000000001,0.5014000000000001,0.502701,0.588108,0.580056,-0.008051999999999948
3,0.3,0.5035999999999999,0.5014,0.502702,0.5882400000000001,0.5861379999999999,-0.0021020000000001593
4,0.4,0.5036,0.5014,0.502701,0.592252,0.5904759999999999,-0.0017760000000001108
5,0.5,0.503601,0.501402,0.502701,0.594205,0.590473,-0.0037319999999999576
6,0.6,0.503599,0.501402,0.502699,0.594203,0.588407,-0.005796000000000023
7,0.7,0.5036,0.501401,0.5026999999999999,0.5942069999999999,0.588183,-0.006023999999999918
8,0.8,0.5035999999999999,0.501401,0.502701,0.597076,0.592135,-0.004941000000000084
9,0.9,0.5035999999999999,0.501398,0.502699,0.598275,0.595189,-0.003086000000000033
10,1.0,0.503601,0.5014,0.5026999999999999,0.600714,0.594821,-0.005892999999999926
11,1.1,0.5035999999999999,0.501401,0.502698,0.5963200000000001,0.591276,-0.0050440000000000484
12,1.2,0.503599,0.501397,0.502699,0.5975570000000001,0.590129,-0.007428000000000101
13,1.3,0.5035999999999999,0.5014,0.502699,0.5947010000000001,0.593402,-0.0012990000000001611
14,1.4,0.503599,0.501398,0.5027010000000001,0.5942500000000001,0.593009,-0.0012410000000000476
15,1.5,0.503599,0.501398,0.502698,0.595569,0.595962,0.0003929999999999767
16,1.6,0.5036,0.5014,0.5026999999999999,0.5939519999999999,0.594646,0.0006940000000000834
17,1.7,0.5035999999999999,0.501397,0.5026999999999999,0.597765,0.592914,-0.004850999999999939
18,1.8,0.503599,0.5014,0.5027,0.595503,0.589623,-0.005879999999999996
19,1.9,0.5036,0.5013989999999999,0.5027,0.588983,0.593117,0.004133999999999971
20,2.0,0.503601,0.501401,0.5026999999999999,0.5888880000000001,0.593612,0.0047239999999999505
21,2.1,0.5036,0.5014000000000001,0.502701,0.590671,0.5918969999999999,0.0012259999999999494
22,2.2,0.5036,0.501401,0.5027020000000001,0.5929139999999999,0.5958950000000001,0.0029810000000001224
23,2.3,0.5036,0.5014,0.5027020000000001,0.5971679999999999,0.5991650000000001,0.0019970000000001376
24,2.4,0.503602,0.501401,0.5026999999999999,0.595273,0.597687,0.002413999999999916
25,2.5,0.503598,0.5014,0.502699,0.593843,0.60045,0.0066070000000000295
26,2.6,0.503601,0.5014,0.5027,0.593882,0.6000249999999999,0.0061429999999998985
27,2.7,0.503598,0.5014,0.502699,0.5914920000000001,0.6005769999999999,0.009084999999999788
28,2.8,0.5035999999999999,0.5014000000000001,0.5026999999999999,0.5931649999999999,0.601449,0.008284000000000069
29,2.9,0.503602,0.5014000000000001,0.502701,0.594154,0.601044,0.006890000000000063
30,3.0,0.5036,0.5014,0.5027,0.5954510000000001,0.6021599999999999,0.006708999999999854
31,3.1,0.5036,0.501401,0.5027,0.594151,0.6034190000000001,0.009268000000000165
32,3.2,0.5035989999999999,0.501401,0.5026989999999999,0.592618,0.6058870000000001,0.013269000000000086
33,3.3,0.5036,0.5014000000000001,0.5027,0.591375,0.602827,0.011452000000000018
34,3.4,0.5036,0.501401,0.502699,0.588553,0.603733,0.015179999999999971
35,3.5,0.5036,0.501402,0.5026999999999999,0.592095,0.6026429999999999,0.01054799999999989
36,3.6,0.5036,0.5013979999999999,0.502699,0.592615,0.600082,0.007467000000000001
37,3.7,0.5035980000000001,0.5014,0.502699,0.594339,0.594824,0.0004850000000000687
38,3.8,0.503599,0.501401,0.502699,0.5951710000000001,0.5934870000000001,-0.0016840000000000188
39,3.9,0.5036010000000001,0.5014000000000001,0.5027020000000001,0.600174,0.5948770000000001,-0.005296999999999885
