,t,DSP,TJP1,JCAD,RhoA,RhoC
0,0.0,0.49900000000000005,0.5114000000000001,0.0,0.506073,0.5133559999999999
1,0.1,0.499,0.511399,0.0,0.527807,0.528771
2,0.2,0.498999,0.5114000000000001,0.0,0.544245,0.537841
3,0.3,0.499,0.5114000000000001,0.0,0.5520090000000001,0.548623
4,0.4,0.49899899999999997,0.5113989999999999,0.0,0.557756,0.55579
5,0.5,0.499,0.5114,0.0,0.56275,0.558559
6,0.6,0.499,0.5114000000000001,0.0,0.5642130000000001,0.556691
7,0.7,0.49900100000000003,0.511401,0.0,0.563005,0.559413
8,0.8,0.499,0.5113989999999999,0.0,0.5628980000000001,0.561518
9,0.9,0.49899999999999994,0.5113989999999999,0.0,0.560886,0.5627099999999999
10,1.0,0.499,0.5114,0.0,0.563374,0.570788
11,1.1,0.49900000000000005,0.511399,0.0,0.5638070000000001,0.574843
12,1.2,0.499,0.5114,0.0,0.564225,0.577327
13,1.3,0.49900000000000005,0.511399,0.0,0.56633,0.577279
14,1.4,0.49899899999999997,0.5113989999999999,0.0,0.567028,0.5818110000000001
15,1.5,0.49899899999999997,0.5113989999999999,0.0,0.565032,0.579015
16,1.6,0.49899999999999994,0.5113989999999999,0.0,0.56163,0.579428
17,1.7,0.498998,0.5113989999999999,0.0,0.565389,0.577639
18,1.8,0.49899899999999997,0.5114,0.0,0.568613,0.579732
19,1.9,0.4990009999999999,0.5114,0.0,0.566785,0.57999
20,2.0,0.49900000000000005,0.511399,0.0,0.5638340000000001,0.5799570000000001
21,2.1,0.49899999999999994,0.5114,0.0,0.5636270000000001,0.579661
22,2.2,0.49900100000000003,0.5113989999999999,0.0,0.564172,0.5812970000000001
23,2.3,0.49899899999999997,0.5114,0.0,0.563908,0.579404
24,2.4,0.499,0.5114,0.0,0.563875,0.581355
25,2.5,0.499,0.511401,0.0,0.559964,0.578862
26,2.6,0.499,0.5114000000000001,0.0,0.556969,0.5756950000000001
27,2.7,0.4989999999999999,0.511401,0.0,0.561087,0.575252
28,2.8,0.499,0.5114,0.0,0.5620120000000001,0.5709029999999999
29,2.9,0.498999,0.511399,0.0,0.5616599999999999,0.5694530000000001
30,3.0,0.49900100000000003,0.511402,0.0,0.5612509999999999,0.571361
31,3.1,0.498999,0.511399,0.0,0.563783,0.56752
32,3.2,0.49900000000000005,0.5114000000000001,0.0,0.5617270000000001,0.5730200000000001
33,3.3,0.498999,0.511399,0.0,0.564221,0.577846
34,3.4,0.499,0.5114,0.0,0.565923,0.5802259999999999
35,3.5,0.498999,0.511401,0.0,0.564018,0.577656
36,3.6,0.499,0.511401,0.0,0.563784,0.5752689999999999
37,3.7,0.498999,0.511398,0.0,0.56809,0.572681
38,3.8,0.499,0.511399,0.0,0.564546,0.573724
39,3.9,0.499002,0.511401,0.0,0.564174,0.576408
