,t,DSP,TJP1,JCAD,RhoA,RhoC
0,0.0,0.493101,0.0,0.0,0.514481,0.47940099999999997
1,0.1,0.493101,0.0,0.0,0.5375829999999999,0.45883799999999997
2,0.2,0.4931,0.0,0.0,0.556795,0.44626
3,0.3,0.493099,0.0,0.0,0.574532,0.440366
4,0.4,0.49309899999999995,0.0,0.0,0.590463,0.438412
5,0.5,0.4931,0.0,0.0,0.601872,0.433017
6,0.6,0.4931,0.0,0.0,0.610784,0.431547
7,0.7,0.49310000000000004,0.0,0.0,0.618655,0.43143200000000004
8,0.8,0.4931,0.0,0.0,0.624089,0.4298580000000001
9,0.9,0.493101,0.0,0.0,0.622209,0.424478
10,1.0,0.4931,0.0,0.0,0.6264689999999999,0.42563700000000004
11,1.1,0.49309900000000007,0.0,0.0,0.630796,0.42472699999999997
12,1.2,0.4931,0.0,0.0,0.631025,0.427214
13,1.3,0.493101,0.0,0.0,0.632782,0.427614
14,1.4,0.4931,0.0,0.0,0.637159,0.42539400000000005
15,1.5,0.493099,0.0,0.0,0.640169,0.42604600000000004
16,1.6,0.4931,0.0,0.0,0.6388780000000001,0.426235
17,1.7,0.493099,0.0,0.0,0.638628,0.425877
18,1.8,0.4931,0.0,0.0,0.6419279999999999,0.426093
19,1.9,0.49310000000000004,0.0,0.0,0.6462729999999999,0.423474
20,2.0,0.4931,0.0,0.0,0.648556,0.41998500000000005
21,2.1,0.4931,0.0,0.0,0.647745,0.416559
22,2.2,0.49309899999999995,0.0,0.0,0.648424,0.41744000000000003
23,2.3,0.493101,0.0,0.0,0.6485529999999999,0.416682
24,2.4,0.49309899999999995,0.0,0.0,0.648574,0.414991
25,2.5,0.493101,0.0,0.0,0.647065,0.415812
26,2.6,0.4931,0.0,0.0,0.647755,0.415401
27,2.7,0.4931,0.0,0.0,0.649268,0.417194
28,2.8,0.4931,0.0,0.0,0.652277,0.418576
29,2.9,0.493101,0.0,0.0,0.655781,0.41645600000000005
30,3.0,0.49310000000000004,0.0,0.0,0.650656,0.418288
31,3.1,0.4931,0.0,0.0,0.646757,0.42056800000000005
32,3.2,0.49310000000000004,0.0,0.0,0.646617,0.425382
33,3.3,0.493099,0.0,0.0,0.644672,0.42186100000000004
34,3.4,0.493101,0.0,0.0,0.643711,0.420433
35,3.5,0.4931,0.0,0.0,0.6419619999999999,0.41950699999999996
36,3.6,0.493099,0.0,0.0,0.6423400000000001,0.419881
37,3.7,0.493099,0.0,0.0,0.6422390000000001,0.419867
38,3.8,0.49310099999999996,0.0,0.0,0.643181,0.419755
39,3.9,0.4931,0.0,0.0,0.646648,0.421377
