,t,DSP,TJP1,JCAD,RhoA,RhoC
0,0.0,0.503598,0.501401,0.502699,0.533895,0.534982
1,0.1,0.503602,0.5014,0.502702,0.572692,0.56728
2,0.2,0.5036010000000001,0.5014000000000001,0.502701,0.588108,0.580056
3,0.3,0.5035999999999999,0.5014,0.502702,0.5882400000000001,0.5861379999999999
4,0.4,0.5036,0.5014,0.502701,0.592252,0.5904759999999999
5,0.5,0.503601,0.501402,0.502701,0.594205,0.590473
6,0.6,0.503599,0.501402,0.502699,0.594203,0.588407
7,0.7,0.5036,0.501401,0.5026999999999999,0.5942069999999999,0.588183
8,0.8,0.5035999999999999,0.501401,0.502701,0.597076,0.592135
9,0.9,0.5035999999999999,0.501398,0.502699,0.598275,0.595189
10,1.0,0.503601,0.5014,0.5026999999999999,0.600714,0.594821
11,1.1,0.5035999999999999,0.501401,0.502698,0.5963200000000001,0.591276
12,1.2,0.503599,0.501397,0.502699,0.5975570000000001,0.590129
13,1.3,0.5035999999999999,0.5014,0.502699,0.5947010000000001,0.593402
14,1.4,0.503599,0.501398,0.5027010000000001,0.5942500000000001,0.593009
15,1.5,0.503599,0.501398,0.502698,0.595569,0.595962
16,1.6,0.5036,0.5014,0.5026999999999999,0.5939519999999999,0.594646
17,1.7,0.5035999999999999,0.501397,0.5026999999999999,0.597765,0.592914
18,1.8,0.503599,0.5014,0.5027,0.595503,0.589623
19,1.9,0.5036,0.5013989999999999,0.5027,0.588983,0.593117
20,2.0,0.503601,0.501401,0.5026999999999999,0.5888880000000001,0.593612
21,2.1,0.5036,0.5014000000000001,0.502701,0.590671,0.5918969999999999
22,2.2,0.5036,0.501401,0.5027020000000001,0.5929139999999999,0.5958950000000001
23,2.3,0.5036,0.5014,0.5027020000000001,0.5971679999999999,0.5991650000000001
24,2.4,0.503602,0.501401,0.5026999999999999,0.595273,0.597687
25,2.5,0.503598,0.5014,0.502699,0.593843,0.60045
26,2.6,0.503601,0.5014,0.5027,0.593882,0.6000249999999999
27,2.7,0.503598,0.5014,0.502699,0.5914920000000001,0.6005769999999999
28,2.8,0.5035999999999999,0.5014000000000001,0.5026999999999999,0.5931649999999999,0.601449
29,2.9,0.503602,0.5014000000000001,0.502701,0.594154,0.601044
30,3.0,0.5036,0.5014,0.5027,0.5954510000000001,0.6021599999999999
31,3.1,0.5036,0.501401,0.5027,0.594151,0.6034190000000001
32,3.2,0.5035989999999999,0.501401,0.5026989999999999,0.592618,0.6058870000000001
33,3.3,0.5036,0.5014000000000001,0.5027,0.591375,0.602827
34,3.4,0.5036,0.501401,0.502699,0.588553,0.603733
35,3.5,0.5036,0.501402,0.5026999999999999,0.592095,0.6026429999999999
36,3.6,0.5036,0.5013979999999999,0.502699,0.592615,0.600082
37,3.7,0.5035980000000001,0.5014,0.502699,0.594339,0.594824
38,3.8,0.503599,0.501401,0.502699,0.5951710000000001,0.5934870000000001
39,3.9,0.5036010000000001,0.5014000000000001,0.5027020000000001,0.600174,0.5948770000000001
