DSP,JCAD,RhoA,RhoC,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,delta,phenotype
0.48960100000000006,0.49940000000000007,0.8053610000000001,0.308693,$RhoA_antagonistic,1.0,N/A,,TJP1,TJP1,-0.4966680000000001,Failed
0.4932,0.5028,0.7162499999999999,0.370367,$RhoA_antagonistic,2.0,N/A,,TJP1,TJP1,-0.34588299999999994,Failed
0.486401,0.5,0.6717089999999999,0.41031599999999996,$RhoA_antagonistic,3.0,N/A,,TJP1,TJP1,-0.26139299999999993,Failed
0.49139999999999995,0.5118010000000001,0.6419009999999999,0.425295,$RhoA_antagonistic,4.0,N/A,,TJP1,TJP1,-0.21660599999999997,Normal
0.5006,0.5002,0.606876,0.45056999999999997,$RhoA_antagonistic,5.0,N/A,,TJP1,TJP1,-0.156306,Normal
0.49799999999999994,0.4948,0.574651,0.47768099999999997,$RhoA_antagonistic,6.0,N/A,,TJP1,TJP1,-0.09697000000000006,Normal
0.49539999999999995,0.49520000000000003,0.5445850000000001,0.49409,$RhoA_antagonistic,7.0,N/A,,TJP1,TJP1,-0.05049500000000012,Normal
0.505799,0.4952,0.5305599999999999,0.506222,$RhoA_antagonistic,8.0,N/A,,TJP1,TJP1,-0.02433799999999997,Normal
0.5007999999999999,0.4906,0.513423,0.522656,$RhoA_antagonistic,9.0,N/A,,TJP1,TJP1,0.009233000000000047,Normal
0.5034,0.5014,0.493594,0.5327379999999999,$RhoA_antagonistic,10.0,N/A,,TJP1,TJP1,0.03914399999999996,Normal
0.498199,0.4974,0.479898,0.547285,$RhoA_antagonistic,11.0,N/A,,TJP1,TJP1,0.06738700000000003,Normal
0.502599,0.507401,0.469231,0.550427,$RhoA_antagonistic,12.0,N/A,,TJP1,TJP1,0.08119599999999999,Normal
0.49679999999999996,0.5018009999999999,0.46637699999999993,0.545269,$RhoA_antagonistic,13.0,N/A,,TJP1,TJP1,0.07889200000000007,Normal
0.504401,0.520401,0.45401,0.5654420000000001,$RhoA_antagonistic,14.0,N/A,,TJP1,TJP1,0.11143200000000009,Normal
0.514999,0.49219899999999994,0.43635799999999997,0.580465,$RhoA_antagonistic,15.0,N/A,,TJP1,TJP1,0.14410700000000004,Normal
0.5100000000000001,0.5077990000000001,0.620295,0.426466,$RhoA_mod,1.0,N/A,,TJP1,TJP1,-0.19382900000000003,Normal
0.492398,0.497598,0.647783,0.416471,$RhoA_mod,2.0,N/A,,TJP1,TJP1,-0.23131200000000002,Normal
0.514,0.500401,0.6844939999999999,0.397814,$RhoA_mod,3.0,N/A,,TJP1,TJP1,-0.28667999999999993,Failed
0.49780199999999997,0.5166,0.695413,0.387143,$RhoA_mod,4.0,N/A,,TJP1,TJP1,-0.30826999999999993,Failed
0.5056,0.49720000000000003,0.69816,0.397404,$RhoA_mod,5.0,N/A,,TJP1,TJP1,-0.300756,Failed
0.504401,0.493801,0.69653,0.37981699999999996,$RhoA_mod,6.0,N/A,,TJP1,TJP1,-0.316713,Failed
0.501,0.49239999999999995,0.7035739999999999,0.38338300000000003,$RhoA_mod,7.0,N/A,,TJP1,TJP1,-0.3201909999999999,Failed
0.5097999999999999,0.487,0.6695070000000001,0.402747,$RhoA_amp,5.0,N/A,,TJP1,TJP1,-0.26676000000000005,Failed
0.5032,0.4986,0.668026,0.411429,$RhoA_amp,7.5,N/A,,TJP1,TJP1,-0.256597,Failed
0.513599,0.49460100000000007,0.69042,0.404226,$RhoA_amp,10.0,N/A,,TJP1,TJP1,-0.28619400000000006,Failed
0.487401,0.5082,0.688926,0.400391,$RhoA_amp,12.5,N/A,,TJP1,TJP1,-0.28853500000000004,Failed
0.5052,0.49079999999999996,0.6947920000000001,0.391821,$RhoA_amp,15.0,N/A,,TJP1,TJP1,-0.3029710000000001,Failed
0.4998,0.504201,0.683204,0.39227300000000004,$RhoA_amp,17.5,N/A,,TJP1,TJP1,-0.290931,Failed
0.502399,0.4981999999999999,0.695513,0.391799,$RhoA_amp,20.0,N/A,,TJP1,TJP1,-0.30371400000000004,Failed
0.504401,0.4942,0.6949449999999999,0.390134,$RhoA_amp,22.5,N/A,,TJP1,TJP1,-0.30481099999999994,Failed
0.505,0.48740000000000006,0.688082,0.399928,$RhoA_amp,25.0,N/A,,TJP1,TJP1,-0.28815399999999997,Failed
0.5024,0.493399,0.695482,0.389992,$RhoA_amp,27.5,N/A,,TJP1,TJP1,-0.30549000000000004,Failed
0.4938,0.5028,0.716766,0.39387,$RhoA_decay,0.05,N/A,,TJP1,TJP1,-0.322896,Failed
0.497201,0.49960099999999996,0.695675,0.39612,$RhoA_decay,0.15000000000000002,N/A,,TJP1,TJP1,-0.299555,Failed
0.5025999999999999,0.5028,0.6809850000000001,0.386335,$RhoA_decay,0.25000000000000006,N/A,,TJP1,TJP1,-0.2946500000000001,Failed
0.501,0.5034000000000001,0.659467,0.393491,$RhoA_decay,0.3500000000000001,N/A,,TJP1,TJP1,-0.26597600000000005,Failed
0.49380100000000005,0.49039999999999995,0.629077,0.40713299999999997,$RhoA_decay,0.45000000000000007,N/A,,TJP1,TJP1,-0.22194400000000003,Normal
0.49940000000000007,0.494799,0.617032,0.401897,$RhoA_decay,0.55,N/A,,TJP1,TJP1,-0.21513500000000002,Normal
0.4986,0.49360100000000007,0.605583,0.41229699999999997,$RhoA_decay,0.6500000000000001,N/A,,TJP1,TJP1,-0.193286,Normal
0.5005999999999999,0.49239999999999995,0.581865,0.41053300000000004,$RhoA_decay,0.7500000000000001,N/A,,TJP1,TJP1,-0.17133199999999993,Normal
0.4958,0.505799,0.5624229999999999,0.41544800000000004,$RhoA_decay,0.8500000000000002,N/A,,TJP1,TJP1,-0.14697499999999986,Normal
0.5072,0.5156000000000001,0.565478,0.424626,$RhoA_decay,0.9500000000000002,N/A,,TJP1,TJP1,-0.14085200000000003,Normal
