DSP,JCAD,RhoA,RhoC,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.49860200000000005,0.497001,0.8020889999999999,0.305501,$RhoA_antagonistic,1.0,N/A,,TJP1,TJP1_Sweep,1D,-0.4965879999999999,Failed
0.503601,0.5028,0.732476,0.366776,$RhoA_antagonistic,2.0,N/A,,TJP1,TJP1_Sweep,1D,-0.3657,Failed
0.5066,0.5034,0.68383,0.3923199999999999,$RhoA_antagonistic,3.0,N/A,,TJP1,TJP1_Sweep,1D,-0.29151000000000016,Failed
0.498001,0.49,0.6269540000000001,0.439909,$RhoA_antagonistic,4.0,N/A,,TJP1,TJP1_Sweep,1D,-0.18704500000000013,Normal
0.5032,0.49219999999999997,0.594543,0.46455399999999997,$RhoA_antagonistic,5.0,N/A,,TJP1,TJP1_Sweep,1D,-0.12998900000000008,Normal
0.5043989999999999,0.503001,0.57059,0.480975,$RhoA_antagonistic,6.0,N/A,,TJP1,TJP1_Sweep,1D,-0.08961500000000006,Normal
0.49139900000000003,0.502,0.548035,0.486085,$RhoA_antagonistic,7.0,N/A,,TJP1,TJP1_Sweep,1D,-0.06195000000000006,Normal
0.5228,0.49640000000000006,0.54228,0.50526,$RhoA_antagonistic,8.0,N/A,,TJP1,TJP1_Sweep,1D,-0.03701999999999994,Normal
0.5004000000000001,0.497201,0.510996,0.516095,$RhoA_antagonistic,9.0,N/A,,TJP1,TJP1_Sweep,1D,0.005098999999999965,Normal
0.49620000000000003,0.500599,0.500302,0.527139,$RhoA_antagonistic,10.0,N/A,,TJP1,TJP1_Sweep,1D,0.026837,Normal
0.5116,0.5072,0.485348,0.535204,$RhoA_antagonistic,11.0,N/A,,TJP1,TJP1_Sweep,1D,0.04985600000000001,Normal
0.5002,0.5030009999999999,0.465008,0.551474,$RhoA_antagonistic,12.0,N/A,,TJP1,TJP1_Sweep,1D,0.08646600000000004,Normal
0.505801,0.49300099999999997,0.468153,0.5436070000000001,$RhoA_antagonistic,13.0,N/A,,TJP1,TJP1_Sweep,1D,0.07545400000000008,Normal
0.49599899999999997,0.501199,0.423972,0.590489,$RhoA_antagonistic,14.0,N/A,,TJP1,TJP1_Sweep,1D,0.16651700000000003,Normal
0.49400099999999997,0.487202,0.442513,0.5701900000000001,$RhoA_antagonistic,15.0,N/A,,TJP1,TJP1_Sweep,1D,0.1276770000000001,Normal
0.501,0.4908,0.612747,0.44422899999999993,$RhoA_mod,1.0,N/A,,TJP1,TJP1_Sweep,1D,-0.1685180000000001,Normal
0.4977999999999999,0.500599,0.6589360000000001,0.408527,$RhoA_mod,2.0,N/A,,TJP1,TJP1_Sweep,1D,-0.2504090000000001,Failed
0.5118,0.5018,0.69225,0.38843099999999997,$RhoA_mod,3.0,N/A,,TJP1,TJP1_Sweep,1D,-0.30381900000000006,Failed
0.49780100000000005,0.488001,0.68907,0.395111,$RhoA_mod,4.0,N/A,,TJP1,TJP1_Sweep,1D,-0.29395899999999997,Failed
0.503398,0.493399,0.70407,0.37739600000000006,$RhoA_mod,5.0,N/A,,TJP1,TJP1_Sweep,1D,-0.3266739999999999,Failed
0.492199,0.49059899999999995,0.706452,0.37459000000000003,$RhoA_mod,6.0,N/A,,TJP1,TJP1_Sweep,1D,-0.33186199999999993,Failed
0.5056,0.500401,0.7068899999999999,0.387341,$RhoA_mod,7.0,N/A,,TJP1,TJP1_Sweep,1D,-0.3195489999999999,Failed
0.49979999999999997,0.503,0.663869,0.41048500000000004,$RhoA_amp,5.0,N/A,,TJP1,TJP1_Sweep,1D,-0.253384,Failed
0.4993999999999999,0.4944,0.6737120000000001,0.40082,$RhoA_amp,7.5,N/A,,TJP1,TJP1_Sweep,1D,-0.2728920000000001,Failed
0.4978,0.506401,0.6758629999999999,0.407611,$RhoA_amp,10.0,N/A,,TJP1,TJP1_Sweep,1D,-0.2682519999999999,Failed
0.4982,0.492799,0.690847,0.390976,$RhoA_amp,12.5,N/A,,TJP1,TJP1_Sweep,1D,-0.299871,Failed
0.5042009999999999,0.496001,0.689733,0.393322,$RhoA_amp,15.0,N/A,,TJP1,TJP1_Sweep,1D,-0.29641100000000004,Failed
0.503799,0.5044,0.6866869999999999,0.398067,$RhoA_amp,17.5,N/A,,TJP1,TJP1_Sweep,1D,-0.28861999999999993,Failed
0.5047999999999999,0.5069999999999999,0.689827,0.38924000000000003,$RhoA_amp,20.0,N/A,,TJP1,TJP1_Sweep,1D,-0.30058699999999994,Failed
0.5068,0.5032,0.695359,0.39099500000000004,$RhoA_amp,22.5,N/A,,TJP1,TJP1_Sweep,1D,-0.3043639999999999,Failed
0.501201,0.4938,0.6890830000000001,0.3930559999999999,$RhoA_amp,25.0,N/A,,TJP1,TJP1_Sweep,1D,-0.2960270000000002,Failed
0.496199,0.5052,0.6907570000000001,0.39520399999999994,$RhoA_amp,27.5,N/A,,TJP1,TJP1_Sweep,1D,-0.2955530000000001,Failed
0.502801,0.506402,0.694606,0.379968,$RhoA_amp,30.0,N/A,,TJP1,TJP1_Sweep,1D,-0.314638,Failed
0.5075999999999999,0.5073989999999999,0.707809,0.38011999999999996,$RhoA_amp,32.5,N/A,,TJP1,TJP1_Sweep,1D,-0.32768900000000006,Failed
0.512,0.505199,0.695444,0.38654799999999995,$RhoA_amp,35.0,N/A,,TJP1,TJP1_Sweep,1D,-0.308896,Failed
0.5034,0.518,0.6990350000000001,0.397641,$RhoA_amp,37.5,N/A,,TJP1,TJP1_Sweep,1D,-0.30139400000000005,Failed
0.500601,0.5012,0.7234619999999998,0.38993999999999995,$RhoA_decay,0.05,N/A,,TJP1,TJP1_Sweep,1D,-0.3335219999999999,Failed
0.487401,0.5014,0.687092,0.400329,$RhoA_decay,0.15000000000000002,N/A,,TJP1,TJP1_Sweep,1D,-0.28676300000000005,Failed
0.49779999999999996,0.507998,0.6574170000000001,0.40558099999999997,$RhoA_decay,0.25000000000000006,N/A,,TJP1,TJP1_Sweep,1D,-0.25183600000000017,Failed
0.509001,0.48960000000000004,0.6642730000000001,0.38277500000000003,$RhoA_decay,0.3500000000000001,N/A,,TJP1,TJP1_Sweep,1D,-0.2814980000000001,Failed
0.504001,0.496402,0.64131,0.39582999999999996,$RhoA_decay,0.45000000000000007,N/A,,TJP1,TJP1_Sweep,1D,-0.2454800000000001,Normal
0.5124,0.4914,0.6210169999999999,0.414606,$RhoA_decay,0.55,N/A,,TJP1,TJP1_Sweep,1D,-0.20641099999999996,Normal
0.5074,0.4982,0.60208,0.418965,$RhoA_decay,0.6500000000000001,N/A,,TJP1,TJP1_Sweep,1D,-0.18311499999999997,Normal
0.5014000000000001,0.4988,0.589494,0.420754,$RhoA_decay,0.7500000000000001,N/A,,TJP1,TJP1_Sweep,1D,-0.16873999999999995,Normal
0.501801,0.49620000000000003,0.574816,0.41254,$RhoA_decay,0.8500000000000002,N/A,,TJP1,TJP1_Sweep,1D,-0.16227599999999998,Normal
0.5039990000000001,0.4922,0.5586720000000001,0.422103,$RhoA_decay,0.9500000000000002,N/A,,TJP1,TJP1_Sweep,1D,-0.13656900000000005,Normal
