,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.51888,0.509641,0.49619100000000005,0.52661
0.1,0.0,0.553324,0.527376,0.487082,0.56889
0.2,0.0,0.585298,0.545057,0.478403,0.600688
0.3,0.0,0.61483,0.56246,0.469202,0.6245980000000001
0.4,0.0,0.639926,0.576954,0.464496,0.6432059999999999
0.5,0.0,0.662252,0.593017,0.462748,0.6611680000000001
0.6,0.0,0.68177,0.605345,0.457051,0.676056
0.7,0.0,0.7008809999999999,0.617328,0.44905199999999995,0.68917
0.8,0.0,0.7151759999999999,0.6284469999999999,0.44147,0.703664
0.9,0.0,0.7288519999999999,0.640207,0.435624,0.717463
1.0,0.0,0.74093,0.6500549999999999,0.428862,0.7299929999999999
1.1,0.0,0.7534029999999999,0.659573,0.42927499999999996,0.7389509999999999
1.2,0.0,0.760909,0.671966,0.42427899999999996,0.750812
1.3,0.0,0.767997,0.681811,0.41584,0.7591380000000001
1.4,0.0,0.77415,0.6887780000000001,0.410555,0.766837
1.5,0.0,0.781956,0.696624,0.406493,0.774571
1.6,0.0,0.786132,0.705315,0.404394,0.782062
1.7,0.0,0.791057,0.713301,0.40163699999999997,0.7877670000000001
1.8,0.0,0.7929650000000001,0.722132,0.397765,0.7924160000000001
1.9,0.0,0.795125,0.7279639999999999,0.395855,0.794585
2.0,0.0,0.795894,0.736252,0.393589,0.80074
2.1,0.0,0.8000430000000001,0.742783,0.393594,0.806659
2.2,0.0,0.803636,0.746459,0.38984,0.809642
2.3,0.0,0.8064169999999999,0.749189,0.39117999999999997,0.812563
2.4,0.0,0.808485,0.754645,0.386877,0.8152739999999999
2.5,0.0,0.8102919999999999,0.759704,0.38327199999999995,0.815713
2.6,0.0,0.8119669999999999,0.764999,0.37975699999999996,0.820484
2.7,0.0,0.814016,0.767489,0.378446,0.821052
2.8,0.0,0.8181099999999999,0.77082,0.37720399999999993,0.8223119999999999
2.9,0.0,0.8207470000000001,0.772086,0.376289,0.825861
3.0,0.0,0.820378,0.77451,0.375028,0.8272759999999999
3.1,0.0,0.8203199999999999,0.7774709999999999,0.37612100000000004,0.8277519999999999
3.2,0.0,0.8235469999999999,0.781561,0.374309,0.827738
3.3,0.0,0.8268660000000001,0.7846799999999999,0.371226,0.8288340000000001
3.4,0.0,0.825498,0.786704,0.370144,0.830572
3.5,0.0,0.826643,0.789583,0.36803,0.8357209999999999
3.6,0.0,0.829365,0.7921879999999999,0.36920600000000003,0.8360970000000001
3.7,0.0,0.830061,0.7956799999999999,0.36956999999999995,0.836866
3.8,0.0,0.8277720000000001,0.800071,0.366734,0.838396
3.9,0.0,0.827969,0.8023389999999999,0.365025,0.8396939999999999
