,<nil>,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.0,0.0,0.0,0.0,0.0,0.002153,0.002522,0.002695,0.002092,0.0,0.0,0.0,0.000693,0.191644,0.206525,0.31017,0.277865,0.000851,0.001614,0.001174
0.1,5.7e-05,0.0,0.0,0.0,0.0,0.004676,0.006538,0.008777,0.006052,4.6e-05,0.000104,0.0,0.001702,0.111259,0.147019,0.391665,0.310088,0.002515,0.004614,0.004887
0.2,0.000208,0.0,0.0,0.0,0.0,0.006237,0.009883,0.017088,0.009724,0.000159,0.000174,0.000184,0.002237,0.068115,0.113546,0.436575,0.316318,0.003915,0.008265,0.00737
0.3,0.0002,0.0,0.0,0.0,0.0,0.007052,0.01308,0.024032,0.013138,0.000171,0.000386,0.00036,0.002557,0.045876,0.093426,0.463172,0.309493,0.005448,0.012653,0.008955
0.4,0.000275,0.0,0.0,0.0,0.0,0.007415,0.014694,0.030415,0.013976,0.00031,0.000793,0.000651,0.002547,0.033813,0.080797,0.478782,0.302683,0.005985,0.016829,0.010033
0.5,0.000268,0.0,0.0,0.0,0.0,0.007491,0.015114,0.035835,0.016704,0.000522,0.001389,0.000715,0.002189,0.027545,0.076138,0.486737,0.290306,0.006575,0.021066,0.011405
0.6,0.000368,0.0,0.0,0.0,0.0,0.007295,0.016454,0.041112,0.01803,0.000484,0.001923,0.000796,0.002302,0.026561,0.070915,0.489364,0.279002,0.007019,0.025842,0.012533
0.7,0.000404,0.0,0.0,0.0,0.0,0.008348,0.017773,0.045605,0.020162,0.000895,0.002471,0.000699,0.002269,0.023164,0.067954,0.491371,0.267118,0.007959,0.029129,0.014678
0.8,0.000566,0.0,0.0,0.0,0.0,0.00885,0.018761,0.04992,0.021661,0.00134,0.002666,0.001415,0.002569,0.022431,0.065208,0.488708,0.257941,0.009705,0.032454,0.015804
0.9,0.000746,0.0,0.0,0.0,0.0,0.008914,0.01981,0.053637,0.021882,0.001123,0.00328,0.001579,0.003483,0.023473,0.060726,0.486169,0.251481,0.010435,0.034935,0.018326
