,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.9896729999999999,0.0,0.498808,0.5133479999999999
0.1,0.0,0.9710380000000001,0.0,0.488111,0.544136
0.2,0.0,0.95697,0.0,0.478707,0.573225
0.3,0.0,0.9458090000000001,0.0,0.47627300000000006,0.595028
0.4,0.0,0.9344520000000001,0.0,0.472247,0.614365
0.5,0.0,0.921355,0.0,0.46604699999999993,0.631437
0.6,0.0,0.909656,0.0,0.458081,0.6442030000000001
0.7,0.0,0.899607,0.0,0.45350799999999997,0.653194
0.8,0.0,0.891675,0.0,0.448629,0.662442
0.9,0.0,0.8858280000000001,0.0,0.44355500000000003,0.670215
1.0,0.0,0.881338,0.0,0.43997299999999995,0.67676
1.1,0.0,0.877333,0.0,0.44038900000000003,0.682283
1.2,0.0,0.8739140000000001,0.0,0.439207,0.684242
1.3,0.0,0.8691749999999999,0.0,0.440453,0.6874870000000001
1.4,0.0,0.865388,0.0,0.438957,0.686933
1.5,0.0,0.861604,0.0,0.43854899999999997,0.687292
1.6,0.0,0.8612249999999999,0.0,0.43865,0.6931769999999999
1.7,0.0,0.8583799999999999,0.0,0.43588399999999994,0.693407
1.8,0.0,0.855829,0.0,0.43483299999999997,0.696349
1.9,0.0,0.852927,0.0,0.432543,0.700234
2.0,0.0,0.8504149999999999,0.0,0.43066799999999994,0.700672
2.1,0.0,0.8483769999999999,0.0,0.42679500000000004,0.705363
2.2,0.0,0.847118,0.0,0.42435300000000004,0.703793
2.3,0.0,0.846156,0.0,0.42562900000000004,0.703444
2.4,0.0,0.846554,0.0,0.42738,0.7042130000000001
2.5,0.0,0.8462149999999999,0.0,0.42561000000000004,0.703805
2.6,0.0,0.844127,0.0,0.420875,0.703869
2.7,0.0,0.843218,0.0,0.41746099999999997,0.70497
2.8,0.0,0.84268,0.0,0.418307,0.702826
2.9,0.0,0.842938,0.0,0.41639899999999996,0.704952
3.0,0.0,0.8436670000000001,0.0,0.41660600000000003,0.7028509999999999
3.1,0.0,0.842303,0.0,0.416491,0.702647
3.2,0.0,0.841122,0.0,0.415703,0.704046
3.3,0.0,0.841594,0.0,0.413674,0.7007399999999999
3.4,0.0,0.842039,0.0,0.417055,0.7021
3.5,0.0,0.84129,0.0,0.415953,0.704404
3.6,0.0,0.842676,0.0,0.41426700000000005,0.7074560000000001
3.7,0.0,0.842387,0.0,0.41334,0.707436
3.8,0.0,0.839056,0.0,0.410521,0.706231
3.9,0.0,0.8370230000000001,0.0,0.40680700000000003,0.704974
