,<nil>,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.002413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002748,0.003223,0.001943,0.23004,0.0,0.0,0.0,0.0,0.251451,0.265516,0.242666
0.1,0.006685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008191,0.008126,0.00596,0.19747,0.0,0.0,0.0,0.0,0.243518,0.299608,0.230442
0.2,0.00817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012019,0.013702,0.00914,0.16992,0.0,0.0,0.0,0.0,0.236667,0.329502,0.220881
0.3,0.009234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014446,0.019188,0.011323,0.1486,0.0,0.0,0.0,0.0,0.232692,0.346705,0.217812
0.4,0.010299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01746,0.02456,0.013228,0.13164,0.0,0.0,0.0,0.0,0.226235,0.361253,0.215324
0.5,0.011489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022363,0.02972,0.015074,0.117914,0.0,0.0,0.0,0.0,0.216798,0.374831,0.211812
0.6,0.013406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026831,0.034361,0.015747,0.105504,0.0,0.0,0.0,0.0,0.210057,0.388649,0.205446
0.7,0.014444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030155,0.039808,0.015986,0.096732,0.0,0.0,0.0,0.0,0.205475,0.395508,0.201892
0.8,0.015488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.043034,0.017804,0.091716,0.0,0.0,0.0,0.0,0.198355,0.401134,0.20047
0.9,0.01576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033735,0.045972,0.018706,0.08751,0.0,0.0,0.0,0.0,0.192781,0.407204,0.198333
1.0,0.016645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035507,0.047534,0.018976,0.083344,0.0,0.0,0.0,0.0,0.187744,0.412504,0.197746
1.1,0.016566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036415,0.049826,0.019861,0.080016,0.0,0.0,0.0,0.0,0.184721,0.413204,0.199392
1.2,0.017069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036468,0.051849,0.0207,0.077319,0.0,0.0,0.0,0.0,0.184902,0.414556,0.197137
1.3,0.017495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037612,0.054501,0.021217,0.073133,0.0,0.0,0.0,0.0,0.184273,0.414418,0.197351
1.4,0.018097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038494,0.055828,0.022193,0.071392,0.0,0.0,0.0,0.0,0.185084,0.415726,0.193186
1.5,0.017421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038856,0.058961,0.023157,0.070497,0.0,0.0,0.0,0.0,0.185933,0.414571,0.190603
1.6,0.016472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846,0.05993,0.023913,0.069341,0.0,0.0,0.0,0.0,0.18255,0.415607,0.193727
1.7,0.016752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039561,0.061915,0.023393,0.068502,0.0,0.0,0.0,0.0,0.181779,0.416948,0.191151
1.8,0.016801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040713,0.06213,0.024527,0.067226,0.0,0.0,0.0,0.0,0.178911,0.41901,0.190682
1.9,0.016336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043131,0.062327,0.025279,0.06691,0.0,0.0,0.0,0.0,0.173389,0.421884,0.190744
2.0,0.016303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043952,0.06331,0.026019,0.065474,0.0,0.0,0.0,0.0,0.173598,0.424244,0.187099
