,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.0,0.995213,0.497987,0.491183
0.1,0.0,0.0,0.9853149999999999,0.491166,0.48043199999999997
0.2,0.0,0.0,0.9759800000000001,0.485058,0.47051600000000005
0.3,0.0,0.0,0.9667729999999999,0.48569299999999993,0.46430299999999997
0.4,0.0,0.0,0.958578,0.48729,0.459704
0.5,0.0,0.0,0.9512759999999999,0.48937699999999995,0.458507
0.6,0.0,0.0,0.944708,0.49056099999999997,0.45940000000000003
0.7,0.0,0.0,0.938638,0.49024199999999996,0.46003700000000003
0.8,0.0,0.0,0.933657,0.492358,0.45845600000000003
0.9,0.0,0.0,0.9274179999999999,0.49536199999999997,0.45801600000000003
1.0,0.0,0.0,0.9222060000000001,0.496197,0.455137
1.1,0.0,0.0,0.918268,0.496824,0.45475299999999996
1.2,0.0,0.0,0.914253,0.499347,0.455554
1.3,0.0,0.0,0.910505,0.500636,0.456486
1.4,0.0,0.0,0.907081,0.502529,0.454755
1.5,0.0,0.0,0.901945,0.50715,0.453842
1.6,0.0,0.0,0.8979680000000001,0.509451,0.451647
1.7,0.0,0.0,0.894165,0.511871,0.45016599999999996
1.8,0.0,0.0,0.8916540000000001,0.511657,0.449315
1.9,0.0,0.0,0.888001,0.514795,0.45155300000000004
2.0,0.0,0.0,0.884618,0.516205,0.453299
2.1,0.0,0.0,0.8818330000000001,0.516365,0.45458200000000004
2.2,0.0,0.0,0.879849,0.51383,0.455127
2.3,0.0,0.0,0.877103,0.514119,0.455232
2.4,0.0,0.0,0.873331,0.5134620000000001,0.454527
2.5,0.0,0.0,0.872907,0.5119049999999999,0.452907
2.6,0.0,0.0,0.871312,0.513882,0.45081099999999996
2.7,0.0,0.0,0.86844,0.5139210000000001,0.45129600000000003
2.8,0.0,0.0,0.866843,0.515462,0.451322
2.9,0.0,0.0,0.8633280000000001,0.5139830000000001,0.452058
3.0,0.0,0.0,0.8613979999999999,0.515917,0.451247
3.1,0.0,0.0,0.860194,0.518505,0.44925200000000004
3.2,0.0,0.0,0.858522,0.518733,0.449143
3.3,0.0,0.0,0.858996,0.519557,0.450581
3.4,0.0,0.0,0.859227,0.520378,0.451006
3.5,0.0,0.0,0.8570300000000001,0.520769,0.451476
3.6,0.0,0.0,0.855059,0.521892,0.450173
3.7,0.0,0.0,0.854481,0.5234540000000001,0.449939
3.8,0.0,0.0,0.8537870000000001,0.52398,0.44913800000000004
3.9,0.0,0.0,0.852862,0.523436,0.449817
