,<nil>,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA
0.0,0.001134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243372,0.263031,0.256046,0.232764,0.001281,0.001462,0.000911,0.0,0.0,0.0,0.0
0.1,0.003391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230456,0.281202,0.271066,0.202591,0.004517,0.003919,0.002856,0.0,0.0,0.0,0.0
0.2,0.006181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221329,0.294356,0.281385,0.17891,0.007619,0.006048,0.004173,0.0,0.0,0.0,0.0
0.3,0.007833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21049,0.306179,0.287068,0.163036,0.011195,0.008916,0.005283,0.0,0.0,0.0,0.0
0.4,0.008861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20128,0.31599,0.290541,0.150767,0.014165,0.012028,0.006368,0.0,0.0,0.0,0.0
0.5,0.009733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192752,0.322916,0.292741,0.142867,0.016091,0.015396,0.007503,0.0,0.0,0.0,0.0
0.6,0.00978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18607,0.325586,0.295659,0.137393,0.019164,0.01793,0.008418,0.0,0.0,0.0,0.0
0.7,0.010612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180607,0.327238,0.297887,0.132906,0.021505,0.020651,0.008593,0.0,0.0,0.0,0.0
0.8,0.01161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177086,0.329133,0.296264,0.131174,0.023715,0.022682,0.008336,0.0,0.0,0.0,0.0
0.9,0.012041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174004,0.329632,0.294036,0.129746,0.026307,0.024557,0.009677,0.0,0.0,0.0,0.0
1.0,0.013119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170135,0.333527,0.293974,0.12457,0.028081,0.026574,0.010019,0.0,0.0,0.0,0.0
1.1,0.014175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164922,0.336403,0.296654,0.120289,0.029748,0.027426,0.010384,0.0,0.0,0.0,0.0
1.2,0.015238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160336,0.336923,0.296083,0.120911,0.031949,0.028996,0.009564,0.0,0.0,0.0,0.0
1.3,0.016133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157651,0.336391,0.295671,0.120792,0.033339,0.029909,0.010114,0.0,0.0,0.0,0.0
1.4,0.016891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156177,0.337453,0.293565,0.119886,0.034725,0.030839,0.010465,0.0,0.0,0.0,0.0
1.5,0.017457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154762,0.335731,0.289492,0.12196,0.038209,0.03114,0.01125,0.0,0.0,0.0,0.0
1.6,0.018559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151596,0.33865,0.288265,0.119457,0.039548,0.032129,0.011796,0.0,0.0,0.0,0.0
1.7,0.018673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149289,0.34061,0.286307,0.117959,0.041261,0.033859,0.012041,0.0,0.0,0.0,0.0
1.8,0.01928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148149,0.340137,0.287293,0.116075,0.04312,0.033622,0.012325,0.0,0.0,0.0,0.0
1.9,0.01963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144799,0.339665,0.285824,0.117713,0.044352,0.034951,0.013065,0.0,0.0,0.0,0.0
2.0,0.019845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143463,0.336603,0.286361,0.118191,0.04679,0.034126,0.014621,0.0,0.0,0.0,0.0
2.1,0.019979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142382,0.334071,0.287337,0.118043,0.048985,0.033936,0.015266,0.0,0.0,0.0,0.0
2.2,0.02068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141248,0.333559,0.288821,0.116221,0.049387,0.035422,0.014663,0.0,0.0,0.0,0.0
2.3,0.021943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139859,0.333377,0.28798,0.115887,0.049588,0.036098,0.015267,0.0,0.0,0.0,0.0
2.4,0.023018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139297,0.331845,0.287316,0.114873,0.051312,0.036906,0.015432,0.0,0.0,0.0,0.0
2.5,0.022842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140817,0.332234,0.287933,0.111923,0.0512,0.036503,0.016548,0.0,0.0,0.0,0.0
2.6,0.022213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140781,0.333256,0.286396,0.110879,0.052939,0.036728,0.016808,0.0,0.0,0.0,0.0
2.7,0.023088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140368,0.331741,0.284431,0.1119,0.053508,0.038193,0.016772,0.0,0.0,0.0,0.0
2.8,0.023157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139783,0.331809,0.282406,0.112845,0.053929,0.039192,0.016879,0.0,0.0,0.0,0.0
2.9,0.02349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13692,0.331753,0.284136,0.110519,0.055781,0.041473,0.01593,0.0,0.0,0.0,0.0
3.0,0.023619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135653,0.333794,0.282551,0.1094,0.055686,0.042259,0.017037,0.0,0.0,0.0,0.0
3.1,0.023284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136628,0.335134,0.279822,0.10861,0.055703,0.041762,0.019058,0.0,0.0,0.0,0.0
3.2,0.023021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136843,0.335949,0.278085,0.107645,0.055045,0.043319,0.020094,0.0,0.0,0.0,0.0
3.3,0.023051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136407,0.33647,0.276756,0.109363,0.053492,0.04423,0.020232,0.0,0.0,0.0,0.0
3.4,0.023229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136104,0.336678,0.27495,0.111495,0.052983,0.045339,0.019222,0.0,0.0,0.0,0.0
3.5,0.024281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134485,0.335502,0.274315,0.112728,0.054255,0.046149,0.018284,0.0,0.0,0.0,0.0
3.6,0.025668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133296,0.336723,0.272391,0.112649,0.054139,0.046752,0.018381,0.0,0.0,0.0,0.0
3.7,0.025326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132208,0.337608,0.272342,0.112323,0.05492,0.046671,0.018603,0.0,0.0,0.0,0.0
3.8,0.024851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13184,0.338562,0.272172,0.111213,0.055609,0.047157,0.018596,0.0,0.0,0.0,0.0
3.9,0.024907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131891,0.337032,0.272505,0.111434,0.056353,0.047261,0.018617,0.0,0.0,0.0,0.0
