,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.0,0.0,0.49494900000000003,0.49339700000000003
0.1,0.0,0.0,0.0,0.488564,0.48262700000000003
0.2,0.0,0.0,0.0,0.484676,0.474229
0.3,0.0,0.0,0.0,0.482867,0.468945
0.4,0.0,0.0,0.0,0.48139,0.46538
0.5,0.0,0.0,0.0,0.48299499999999995,0.462479
0.6,0.0,0.0,0.0,0.483652,0.459773
0.7,0.0,0.0,0.0,0.487156,0.458406
0.8,0.0,0.0,0.0,0.489323,0.456466
0.9,0.0,0.0,0.0,0.489431,0.457042
1.0,0.0,0.0,0.0,0.489881,0.454897
1.1,0.0,0.0,0.0,0.49322199999999994,0.45446699999999995
1.2,0.0,0.0,0.0,0.49631899999999995,0.45350199999999996
1.3,0.0,0.0,0.0,0.497791,0.45291899999999996
1.4,0.0,0.0,0.0,0.498106,0.455828
1.5,0.0,0.0,0.0,0.500677,0.455604
1.6,0.0,0.0,0.0,0.502213,0.45611599999999997
1.7,0.0,0.0,0.0,0.503521,0.45767499999999994
1.8,0.0,0.0,0.0,0.505066,0.455927
1.9,0.0,0.0,0.0,0.508183,0.453166
2.0,0.0,0.0,0.0,0.5096069999999999,0.455698
2.1,0.0,0.0,0.0,0.508865,0.45700699999999994
2.2,0.0,0.0,0.0,0.508404,0.458187
2.3,0.0,0.0,0.0,0.508666,0.45839799999999997
2.4,0.0,0.0,0.0,0.509451,0.458289
2.5,0.0,0.0,0.0,0.513153,0.45715399999999995
2.6,0.0,0.0,0.0,0.515224,0.456936
2.7,0.0,0.0,0.0,0.517128,0.454989
2.8,0.0,0.0,0.0,0.518686,0.453507
2.9,0.0,0.0,0.0,0.5202330000000001,0.45320800000000006
3.0,0.0,0.0,0.0,0.522173,0.453781
3.1,0.0,0.0,0.0,0.523619,0.454527
3.2,0.0,0.0,0.0,0.523598,0.452326
3.3,0.0,0.0,0.0,0.520447,0.450692
3.4,0.0,0.0,0.0,0.522276,0.450978
3.5,0.0,0.0,0.0,0.524625,0.451324
3.6,0.0,0.0,0.0,0.5265850000000001,0.450611
3.7,0.0,0.0,0.0,0.525587,0.45091800000000004
3.8,0.0,0.0,0.0,0.5260739999999999,0.451796
3.9,0.0,0.0,0.0,0.52915,0.450562
