,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.244567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262037,0.260485,0.232912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.23377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283602,0.277665,0.204962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.225253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300518,0.290071,0.184158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.217465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31359,0.299668,0.169277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.21083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323791,0.307781,0.157599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.203553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333968,0.313452,0.149027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.199432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340795,0.316916,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.19476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346834,0.318084,0.140322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.190688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352847,0.31999,0.136476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.188434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354524,0.322135,0.134907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.186142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358961,0.323977,0.13092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.183435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362098,0.323343,0.131124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.179824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366675,0.323858,0.129644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.178582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368499,0.323627,0.129292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.176388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367784,0.325506,0.130322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.174275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370121,0.325048,0.130556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.172409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371475,0.325378,0.130738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.168988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373337,0.327491,0.130184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.168154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375919,0.32678,0.129147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.166085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380749,0.325732,0.127434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.164624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379677,0.325768,0.12993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.165812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377181,0.325323,0.131684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.165353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376459,0.326242,0.131945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.165292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37631,0.326042,0.132356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.164052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37766,0.326498,0.131791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.162123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.380722,0.324723,0.132431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.161551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.381513,0.323225,0.133711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.162565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382446,0.320307,0.134682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.162645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.383848,0.318669,0.134838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.162523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384269,0.317244,0.135964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.160789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38543,0.317038,0.136743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.160175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385298,0.316206,0.138321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.160992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386681,0.315409,0.136917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.161872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387436,0.317681,0.133011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.161005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388017,0.316719,0.134259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.161842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386834,0.313533,0.137791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.16205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38734,0.311366,0.139245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.164914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384168,0.309499,0.141419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.164163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38404,0.309762,0.142034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.16406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385378,0.30679,0.143772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
