,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.9903390000000001,0.9907710000000002,0.0,0.515289,0.5156120000000001
0.1,0.97206,0.973525,0.0,0.546006,0.5434559999999999
0.2,0.9566060000000001,0.9579789999999999,0.0,0.570357,0.565213
0.3,0.9428749999999999,0.943484,0.0,0.5911150000000001,0.580131
0.4,0.932055,0.930548,0.0,0.606768,0.592121
0.5,0.919869,0.919994,0.0,0.618054,0.600587
0.6,0.9099640000000001,0.910244,0.0,0.6281650000000001,0.606122
0.7,0.901274,0.902011,0.0,0.637919,0.612035
0.8,0.8937840000000001,0.894128,0.0,0.6403449999999999,0.615362
0.9,0.8861840000000001,0.8862030000000001,0.0,0.643342,0.621024
1.0,0.878095,0.880019,0.0,0.643784,0.621721
1.1,0.8723730000000001,0.8745799999999999,0.0,0.6440830000000001,0.6223719999999999
1.2,0.869616,0.8698379999999999,0.0,0.643293,0.621022
1.3,0.8635940000000001,0.865678,0.0,0.646882,0.620636
1.4,0.859559,0.861877,0.0,0.6487050000000001,0.6209150000000001
1.5,0.8569540000000001,0.8591030000000002,0.0,0.647505,0.6220899999999999
1.6,0.8556530000000001,0.8569260000000001,0.0,0.647521,0.6245569999999999
1.7,0.8535459999999999,0.856565,0.0,0.646257,0.623775
1.8,0.852665,0.8536889999999999,0.0,0.645373,0.626369
1.9,0.8499469999999999,0.851759,0.0,0.647164,0.6312850000000001
2.0,0.848616,0.8485929999999999,0.0,0.64838,0.632718
2.1,0.847891,0.846792,0.0,0.647373,0.634803
2.2,0.846857,0.8448039999999999,0.0,0.6496169999999999,0.6359090000000001
2.3,0.847813,0.842285,0.0,0.649705,0.631408
2.4,0.847988,0.8418209999999999,0.0,0.649181,0.625521
2.5,0.845836,0.8423700000000001,0.0,0.649119,0.625318
2.6,0.8444910000000001,0.8434539999999999,0.0,0.651621,0.623926
2.7,0.841366,0.842001,0.0,0.653421,0.624903
2.8,0.838419,0.840824,0.0,0.652098,0.6233369999999999
2.9,0.838141,0.839451,0.0,0.6489229999999999,0.621423
3.0,0.8381050000000001,0.835339,0.0,0.648189,0.619488
3.1,0.8378450000000001,0.835571,0.0,0.6476879999999999,0.620395
3.2,0.835658,0.837079,0.0,0.645102,0.6214390000000001
3.3,0.835764,0.83473,0.0,0.646686,0.62187
3.4,0.8355079999999999,0.8328739999999999,0.0,0.6501009999999999,0.621459
3.5,0.836106,0.8324260000000001,0.0,0.6518920000000001,0.624142
3.6,0.837151,0.834612,0.0,0.651622,0.626703
3.7,0.8359829999999999,0.834321,0.0,0.655927,0.6276999999999999
3.8,0.834202,0.833475,0.0,0.655867,0.6247590000000001
3.9,0.832304,0.8342789999999999,0.0,0.655099,0.623482
