,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.05637,0.059512,0.0,0.0,0.0,0.0,0.067994,0.063195,0.060554,0.058674,0.0,0.0,0.0,0.0,0.070743,0.067592,0.071013,0.0,0.0,0.0,0.0,0.058802,0.061493,0.053864,0.057781,0.0,0.0,0.0,0.0,0.063115,0.066821,0.062476
0.1,0.045677,0.051057,0.0,0.0,0.0,0.0,0.077788,0.060825,0.060096,0.054964,0.0,0.0,0.0,0.0,0.086586,0.079915,0.083445,0.0,0.0,0.0,0.0,0.055896,0.055886,0.041227,0.04983,0.0,0.0,0.0,0.0,0.062491,0.075513,0.058804
0.2,0.03769,0.043715,0.0,0.0,0.0,0.0,0.084087,0.059426,0.059196,0.048756,0.0,0.0,0.0,0.0,0.101719,0.092804,0.09685,0.0,0.0,0.0,0.0,0.051203,0.050902,0.031745,0.042992,0.0,0.0,0.0,0.0,0.060999,0.081721,0.056196
0.3,0.03198,0.038833,0.0,0.0,0.0,0.0,0.086805,0.057539,0.057802,0.043644,0.0,0.0,0.0,0.0,0.113475,0.105509,0.107448,0.0,0.0,0.0,0.0,0.046846,0.044111,0.027109,0.036925,0.0,0.0,0.0,0.0,0.062037,0.085503,0.054434
0.4,0.026361,0.033797,0.0,0.0,0.0,0.0,0.091713,0.055767,0.055271,0.039821,0.0,0.0,0.0,0.0,0.126076,0.116367,0.117258,0.0,0.0,0.0,0.0,0.041903,0.039859,0.02233,0.03132,0.0,0.0,0.0,0.0,0.05988,0.087847,0.054431
0.5,0.021585,0.030933,0.0,0.0,0.0,0.0,0.093649,0.053335,0.054251,0.037908,0.0,0.0,0.0,0.0,0.137249,0.125387,0.129508,0.0,0.0,0.0,0.0,0.036492,0.035988,0.019128,0.027336,0.0,0.0,0.0,0.0,0.057124,0.086452,0.053674
0.6,0.01831,0.027782,0.0,0.0,0.0,0.0,0.093592,0.050419,0.052061,0.038252,0.0,0.0,0.0,0.0,0.144593,0.1347,0.141937,0.0,0.0,0.0,0.0,0.034809,0.033156,0.015297,0.023054,0.0,0.0,0.0,0.0,0.053096,0.086819,0.052122
0.7,0.015787,0.024414,0.0,0.0,0.0,0.0,0.093556,0.04769,0.048691,0.038208,0.0,0.0,0.0,0.0,0.149859,0.142701,0.154175,0.0,0.0,0.0,0.0,0.031668,0.030401,0.013684,0.020167,0.0,0.0,0.0,0.0,0.052048,0.086353,0.050598
0.8,0.013744,0.021067,0.0,0.0,0.0,0.0,0.093095,0.04493,0.045926,0.037416,0.0,0.0,0.0,0.0,0.156406,0.150532,0.164231,0.0,0.0,0.0,0.0,0.028977,0.028593,0.012098,0.019147,0.0,0.0,0.0,0.0,0.049296,0.083561,0.05098
0.9,0.012178,0.018883,0.0,0.0,0.0,0.0,0.090748,0.044031,0.043352,0.035879,0.0,0.0,0.0,0.0,0.1644,0.155285,0.171744,0.0,0.0,0.0,0.0,0.026684,0.02626,0.010962,0.018183,0.0,0.0,0.0,0.0,0.047097,0.083303,0.051011
1.0,0.011572,0.01664,0.0,0.0,0.0,0.0,0.088742,0.041972,0.041888,0.033306,0.0,0.0,0.0,0.0,0.174393,0.16199,0.176024,0.0,0.0,0.0,0.0,0.024107,0.023719,0.011258,0.017481,0.0,0.0,0.0,0.0,0.046191,0.081254,0.049462
1.1,0.010492,0.016025,0.0,0.0,0.0,0.0,0.08567,0.041667,0.04013,0.032131,0.0,0.0,0.0,0.0,0.180699,0.162652,0.185018,0.0,0.0,0.0,0.0,0.023139,0.021522,0.009803,0.017396,0.0,0.0,0.0,0.0,0.046226,0.07881,0.048619
1.2,0.008646,0.014556,0.0,0.0,0.0,0.0,0.082065,0.041917,0.038849,0.032295,0.0,0.0,0.0,0.0,0.184356,0.167581,0.19306,0.0,0.0,0.0,0.0,0.023354,0.021449,0.00854,0.016492,0.0,0.0,0.0,0.0,0.044929,0.076548,0.045365
1.3,0.007515,0.014088,0.0,0.0,0.0,0.0,0.080229,0.040741,0.039167,0.032446,0.0,0.0,0.0,0.0,0.188949,0.168288,0.20005,0.0,0.0,0.0,0.0,0.022024,0.019825,0.008003,0.016597,0.0,0.0,0.0,0.0,0.043359,0.074294,0.044425
1.4,0.006504,0.013458,0.0,0.0,0.0,0.0,0.079704,0.039543,0.038929,0.033022,0.0,0.0,0.0,0.0,0.197484,0.170196,0.197984,0.0,0.0,0.0,0.0,0.020199,0.018506,0.007685,0.016564,0.0,0.0,0.0,0.0,0.043618,0.072152,0.044452
1.5,0.006457,0.012646,0.0,0.0,0.0,0.0,0.079359,0.037784,0.037688,0.032658,0.0,0.0,0.0,0.0,0.198067,0.171896,0.205213,0.0,0.0,0.0,0.0,0.01783,0.018706,0.007928,0.015504,0.0,0.0,0.0,0.0,0.04338,0.069954,0.044929
1.6,0.005952,0.012567,0.0,0.0,0.0,0.0,0.079045,0.037147,0.038832,0.031996,0.0,0.0,0.0,0.0,0.199316,0.173203,0.208007,0.0,0.0,0.0,0.0,0.015782,0.017451,0.007461,0.013257,0.0,0.0,0.0,0.0,0.044764,0.070738,0.044484
1.7,0.005355,0.01237,0.0,0.0,0.0,0.0,0.077847,0.037043,0.038699,0.032345,0.0,0.0,0.0,0.0,0.199991,0.179306,0.211089,0.0,0.0,0.0,0.0,0.016065,0.016411,0.007006,0.012964,0.0,0.0,0.0,0.0,0.044035,0.06725,0.042225
