,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.990189,0.0,0.9957739999999999,0.593729,0.49125800000000003
0.1,0.9714280000000001,0.0,0.986798,0.726268,0.470978
0.2,0.955951,0.0,0.9782980000000001,0.7956590000000001,0.45062500000000005
0.3,0.941041,0.0,0.969252,0.836835,0.429638
0.4,0.9283859999999999,0.0,0.961686,0.8593299999999999,0.41018
0.5,0.916955,0.0,0.9545049999999999,0.871552,0.395113
0.6,0.9092480000000001,0.0,0.946596,0.874672,0.38293299999999997
0.7,0.899401,0.0,0.93964,0.877072,0.368633
0.8,0.891513,0.0,0.933222,0.8806609999999999,0.36001
0.9,0.8845719999999999,0.0,0.926199,0.8823099999999999,0.35150899999999996
1.0,0.876355,0.0,0.922616,0.8827,0.342055
1.1,0.871058,0.0,0.917292,0.8823089999999999,0.33362800000000004
1.2,0.866205,0.0,0.913213,0.883201,0.32910100000000003
1.3,0.860691,0.0,0.909316,0.883014,0.328186
1.4,0.858189,0.0,0.906741,0.881352,0.324112
1.5,0.855114,0.0,0.904355,0.8805350000000001,0.32083100000000003
1.6,0.853224,0.0,0.9017019999999999,0.878972,0.318265
1.7,0.849072,0.0,0.8987550000000001,0.8813019999999999,0.31597299999999995
1.8,0.847143,0.0,0.8942899999999999,0.879878,0.31434599999999996
1.9,0.845009,0.0,0.891121,0.881974,0.31149
2.0,0.8432719999999999,0.0,0.887382,0.881818,0.30648
2.1,0.8411620000000001,0.0,0.883623,0.8779549999999999,0.30979599999999996
2.2,0.8411380000000002,0.0,0.880494,0.8728660000000001,0.311846
2.3,0.842387,0.0,0.8779750000000001,0.8711,0.30948
2.4,0.842378,0.0,0.875831,0.874204,0.309373
2.5,0.8415980000000001,0.0,0.8747130000000001,0.874445,0.308774
2.6,0.838903,0.0,0.873427,0.874125,0.306995
2.7,0.8359559999999999,0.0,0.8724419999999999,0.8729199999999999,0.305609
2.8,0.835271,0.0,0.869893,0.873136,0.30663700000000005
2.9,0.835867,0.0,0.86676,0.867388,0.30665
3.0,0.8323910000000001,0.0,0.8647320000000001,0.8685670000000001,0.305859
3.1,0.8331299999999999,0.0,0.862132,0.870117,0.30695
3.2,0.8325360000000002,0.0,0.8596680000000001,0.869286,0.309311
3.3,0.8330369999999999,0.0,0.857777,0.8676,0.309117
3.4,0.832032,0.0,0.855629,0.86772,0.310351
3.5,0.831391,0.0,0.854325,0.86723,0.309267
3.6,0.831332,0.0,0.852946,0.869146,0.310319
3.7,0.832369,0.0,0.8518830000000001,0.86889,0.3111870000000001
3.8,0.833165,0.0,0.85034,0.873245,0.31163399999999997
3.9,0.8337680000000001,0.0,0.84883,0.874482,0.311349
