,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA
0.0,0.0,0.000693,0.192112,0.309649,0.207707,0.276494,0.001232,0.00117,0.001132,0.0,0.0,0.0,0.0,0.002151,0.002906,0.002439,0.002316,0.0,0.0,0.0
0.1,5.7e-05,0.001631,0.112289,0.394861,0.146227,0.305038,0.004414,0.002478,0.00449,0.0,0.0,0.0,0.0,0.00479,0.010854,0.006254,0.006485,0.000126,6e-06,0.0
0.2,0.000187,0.001947,0.070711,0.442464,0.112681,0.309159,0.008977,0.003364,0.006648,0.0,0.0,0.0,0.0,0.006467,0.018328,0.008876,0.009612,0.000294,0.000108,0.000177
0.3,0.000222,0.002387,0.047701,0.472949,0.090453,0.300786,0.013569,0.004148,0.009048,0.0,0.0,0.0,0.0,0.006738,0.02621,0.011252,0.013163,0.000586,0.000264,0.000524
0.4,0.0002,0.002712,0.03553,0.492245,0.077461,0.287128,0.018071,0.004677,0.010562,0.0,0.0,0.0,0.0,0.006538,0.033546,0.013054,0.016184,0.00098,0.0005,0.000614
0.5,0.000308,0.002469,0.028377,0.502312,0.070092,0.27363,0.023249,0.005139,0.011687,0.0,0.0,0.0,0.0,0.007099,0.03963,0.01432,0.019045,0.001442,0.000643,0.000557
0.6,0.000381,0.002953,0.025347,0.507366,0.067062,0.260106,0.027196,0.005986,0.013232,0.0,0.0,0.0,0.0,0.0072,0.044705,0.01557,0.01924,0.001919,0.000829,0.000908
0.7,0.000404,0.003277,0.02218,0.512775,0.064505,0.244536,0.030762,0.007027,0.014339,0.0,0.0,0.0,0.0,0.00775,0.051935,0.016732,0.019227,0.002285,0.001054,0.001213
0.8,0.000503,0.003236,0.021464,0.513029,0.060359,0.236167,0.034445,0.007372,0.015441,0.0,0.0,0.0,0.0,0.008099,0.05594,0.017028,0.021136,0.003275,0.001279,0.001228
0.9,0.000696,0.0037,0.021405,0.512712,0.057505,0.226734,0.037479,0.007073,0.017964,0.0,0.0,0.0,0.0,0.00891,0.059672,0.016827,0.022434,0.003919,0.001576,0.001396
1.0,0.00069,0.003999,0.021842,0.514076,0.053529,0.219141,0.03921,0.007429,0.017129,0.0,0.0,0.0,0.0,0.009487,0.063913,0.01788,0.022748,0.004728,0.002444,0.001755
1.1,0.000763,0.004318,0.020972,0.513767,0.052129,0.211939,0.042356,0.00875,0.016827,0.0,0.0,0.0,0.0,0.009974,0.068824,0.018318,0.021369,0.005397,0.002466,0.00183
1.2,0.000975,0.004509,0.020032,0.513786,0.050813,0.205608,0.044158,0.009356,0.017943,0.0,0.0,0.0,0.0,0.009996,0.072199,0.01849,0.022289,0.005244,0.002628,0.001974
1.3,0.000964,0.004765,0.019915,0.509305,0.047828,0.204374,0.047605,0.010151,0.016748,0.0,0.0,0.0,0.0,0.010648,0.072949,0.019826,0.024471,0.005661,0.002887,0.001901
1.4,0.00104,0.004499,0.019692,0.509579,0.047644,0.200181,0.049631,0.009936,0.017027,0.0,0.0,0.0,0.0,0.011711,0.073163,0.021195,0.023576,0.006574,0.002932,0.001621
1.5,0.001011,0.004439,0.020365,0.508131,0.045888,0.197883,0.050137,0.010065,0.018206,0.0,0.0,0.0,0.0,0.012694,0.07516,0.022197,0.022037,0.007232,0.002806,0.001749
1.6,0.001024,0.004335,0.020992,0.507026,0.045443,0.194626,0.052022,0.011533,0.017247,0.0,0.0,0.0,0.0,0.012731,0.076338,0.022353,0.022193,0.007267,0.002617,0.002253
1.7,0.001221,0.004678,0.019644,0.507344,0.042554,0.193045,0.053286,0.012011,0.01651,0.0,0.0,0.0,0.0,0.013454,0.076979,0.022409,0.023326,0.007423,0.002729,0.003389
1.8,0.001252,0.005476,0.019729,0.504927,0.041638,0.190293,0.054526,0.012936,0.017618,0.0,0.0,0.0,0.0,0.013417,0.078475,0.022825,0.022986,0.007851,0.002848,0.003202
1.9,0.001682,0.005679,0.019402,0.502903,0.039114,0.190324,0.056109,0.013201,0.018277,0.0,0.0,0.0,0.0,0.013333,0.08144,0.022711,0.021894,0.007961,0.002903,0.003066
2.0,0.002038,0.00653,0.018485,0.503875,0.038105,0.186163,0.058128,0.013868,0.018118,0.0,0.0,0.0,0.0,0.012465,0.08433,0.023259,0.0207,0.00767,0.003433,0.002834
2.1,0.00198,0.00714,0.018781,0.498052,0.039507,0.185683,0.058963,0.014835,0.018201,0.0,0.0,0.0,0.0,0.012367,0.084547,0.023483,0.021203,0.008374,0.003952,0.002932
2.2,0.001865,0.006608,0.020167,0.494855,0.04094,0.183834,0.060528,0.01617,0.018036,0.0,0.0,0.0,0.0,0.013849,0.080513,0.023662,0.022674,0.009769,0.003873,0.002657
2.3,0.00214,0.006391,0.02168,0.494302,0.041506,0.181184,0.063215,0.016572,0.017537,0.0,0.0,0.0,0.0,0.013553,0.079131,0.023365,0.023254,0.010108,0.003693,0.002369
2.4,0.002405,0.007104,0.020036,0.494585,0.039313,0.182214,0.064689,0.016342,0.018095,0.0,0.0,0.0,0.0,0.013195,0.07911,0.02379,0.023588,0.009504,0.003612,0.002419
2.5,0.002331,0.007463,0.018993,0.494282,0.039844,0.180918,0.066537,0.015714,0.017847,0.0,0.0,0.0,0.0,0.013048,0.07936,0.024427,0.023841,0.009212,0.003735,0.002448
2.6,0.002109,0.008444,0.019749,0.490894,0.038672,0.180172,0.067252,0.015576,0.018144,0.0,0.0,0.0,0.0,0.01341,0.082024,0.02451,0.023996,0.009123,0.003405,0.00252
2.7,0.002122,0.007397,0.021106,0.488994,0.038756,0.177239,0.068786,0.014746,0.018932,0.0,0.0,0.0,0.0,0.01388,0.082807,0.025856,0.023804,0.009299,0.003217,0.003059
2.8,0.002228,0.007147,0.022788,0.483681,0.037919,0.178328,0.071471,0.013893,0.020044,0.0,0.0,0.0,0.0,0.01326,0.083402,0.026654,0.023861,0.009386,0.002975,0.002963
2.9,0.002881,0.007247,0.022469,0.482337,0.042907,0.173029,0.073006,0.01479,0.020082,0.0,0.0,0.0,0.0,0.013001,0.083251,0.026448,0.023318,0.009159,0.00287,0.003206
3.0,0.002463,0.006602,0.020825,0.480564,0.043171,0.171915,0.074069,0.014802,0.020443,0.0,0.0,0.0,0.0,0.013696,0.085135,0.02706,0.022366,0.010787,0.002814,0.003288
3.1,0.002202,0.005968,0.021874,0.479504,0.040365,0.173928,0.076073,0.014955,0.020463,0.0,0.0,0.0,0.0,0.01418,0.082145,0.026663,0.023473,0.011105,0.003677,0.003426
3.2,0.00214,0.00677,0.019987,0.476964,0.041286,0.175064,0.07649,0.015625,0.02035,0.0,0.0,0.0,0.0,0.014332,0.08323,0.02636,0.022445,0.010775,0.004213,0.003968
3.3,0.002015,0.007087,0.020741,0.475351,0.041876,0.174033,0.077314,0.015794,0.020841,0.0,0.0,0.0,0.0,0.01415,0.083334,0.026713,0.021579,0.010892,0.004025,0.004256
3.4,0.001953,0.00678,0.019545,0.47507,0.042234,0.173532,0.077401,0.015704,0.021766,0.0,0.0,0.0,0.0,0.013979,0.082909,0.027735,0.020625,0.012014,0.004352,0.004403
3.5,0.001734,0.007325,0.020187,0.473928,0.042397,0.173294,0.077879,0.015317,0.021064,0.0,0.0,0.0,0.0,0.013441,0.083018,0.027075,0.020985,0.013221,0.005294,0.003841
3.6,0.001791,0.007141,0.022158,0.471213,0.04008,0.176135,0.078085,0.015109,0.021411,0.0,0.0,0.0,0.0,0.012673,0.082709,0.026345,0.021633,0.013912,0.005558,0.004048
3.7,0.002036,0.006899,0.023222,0.469191,0.039177,0.177461,0.078617,0.015209,0.022593,0.0,0.0,0.0,0.0,0.01366,0.08136,0.025758,0.022054,0.01383,0.005151,0.003784
3.8,0.002221,0.007224,0.02275,0.466828,0.036934,0.180643,0.07989,0.015095,0.023801,0.0,0.0,0.0,0.0,0.012995,0.083133,0.024956,0.022101,0.013325,0.00458,0.003524
3.9,0.002295,0.007142,0.022614,0.467204,0.037196,0.179745,0.079778,0.014268,0.025821,0.0,0.0,0.0,0.0,0.012754,0.082806,0.024873,0.021638,0.014057,0.004375,0.003433
