,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.9902500000000001,0.0,0.0,0.5209469999999999,0.492108
0.1,0.9724620000000002,0.0,0.0,0.551019,0.481932
0.2,0.9550150000000001,0.0,0.0,0.5794440000000001,0.466914
0.3,0.939889,0.0,0.0,0.6092759999999999,0.45145
0.4,0.928608,0.0,0.0,0.629133,0.44234300000000004
0.5,0.92019,0.0,0.0,0.644656,0.438238
0.6,0.9106719999999999,0.0,0.0,0.659051,0.435894
0.7,0.905068,0.0,0.0,0.6685399999999999,0.431544
0.8,0.8973129999999999,0.0,0.0,0.679477,0.427464
0.9,0.892289,0.0,0.0,0.688672,0.422033
1.0,0.886633,0.0,0.0,0.70018,0.418153
1.1,0.880865,0.0,0.0,0.705094,0.41403900000000005
1.2,0.875432,0.0,0.0,0.7124550000000001,0.410043
1.3,0.868403,0.0,0.0,0.714175,0.40204399999999996
1.4,0.864876,0.0,0.0,0.7177,0.395332
1.5,0.859344,0.0,0.0,0.720752,0.391918
1.6,0.8570720000000001,0.0,0.0,0.723866,0.386867
1.7,0.852533,0.0,0.0,0.726235,0.38568800000000003
1.8,0.848051,0.0,0.0,0.726135,0.383565
1.9,0.8478289999999999,0.0,0.0,0.7279549999999999,0.38111300000000004
2.0,0.846039,0.0,0.0,0.728811,0.378087
2.1,0.8438920000000001,0.0,0.0,0.726045,0.37734999999999996
2.2,0.8424499999999999,0.0,0.0,0.728148,0.376273
2.3,0.842615,0.0,0.0,0.731194,0.37304000000000004
2.4,0.842393,0.0,0.0,0.7318169999999999,0.371846
2.5,0.842182,0.0,0.0,0.734063,0.366019
2.6,0.8430489999999999,0.0,0.0,0.737422,0.362178
2.7,0.845863,0.0,0.0,0.735124,0.360634
2.8,0.845635,0.0,0.0,0.734667,0.360069
2.9,0.84413,0.0,0.0,0.7355939999999999,0.361915
3.0,0.8450329999999999,0.0,0.0,0.735376,0.36145399999999994
3.1,0.845055,0.0,0.0,0.73582,0.360882
3.2,0.843998,0.0,0.0,0.73676,0.35964399999999996
3.3,0.842854,0.0,0.0,0.7357530000000001,0.358248
3.4,0.8429150000000001,0.0,0.0,0.737293,0.35539899999999996
3.5,0.842687,0.0,0.0,0.7360960000000001,0.35352700000000004
3.6,0.841315,0.0,0.0,0.7400599999999999,0.351754
3.7,0.840596,0.0,0.0,0.740578,0.35113300000000003
3.8,0.843274,0.0,0.0,0.739015,0.34978499999999996
3.9,0.844554,0.0,0.0,0.744555,0.349792
