,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.118361,0.120969,0.0,0.0,0.0,0.0,0.142165,0.129181,0.12747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126192,0.123734,0.111928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.10407,0.113339,0.0,0.0,0.0,0.0,0.175312,0.134605,0.131737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127012,0.123166,0.090758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.093197,0.106053,0.0,0.0,0.0,0.0,0.203445,0.139015,0.13706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126751,0.119788,0.074691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.083591,0.098746,0.0,0.0,0.0,0.0,0.231894,0.143413,0.138922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123589,0.114307,0.065538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.077334,0.095898,0.0,0.0,0.0,0.0,0.253728,0.145548,0.142465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119766,0.10841,0.05685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.070312,0.091083,0.0,0.0,0.0,0.0,0.276209,0.151503,0.140955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11582,0.101567,0.052551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0626,0.088421,0.0,0.0,0.0,0.0,0.295412,0.153105,0.142745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112593,0.097543,0.047581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.057942,0.08659,0.0,0.0,0.0,0.0,0.311199,0.153974,0.146461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108115,0.092333,0.043388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.052513,0.084913,0.0,0.0,0.0,0.0,0.326737,0.154775,0.147569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106896,0.087462,0.039136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.046894,0.084232,0.0,0.0,0.0,0.0,0.338247,0.155175,0.150264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105626,0.083353,0.036209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.044204,0.080495,0.0,0.0,0.0,0.0,0.353687,0.154101,0.152851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100035,0.080462,0.034165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.042237,0.080755,0.0,0.0,0.0,0.0,0.363627,0.154545,0.153984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097244,0.075374,0.032234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.039441,0.080678,0.0,0.0,0.0,0.0,0.370893,0.152756,0.155193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095403,0.072804,0.032832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.036743,0.080321,0.0,0.0,0.0,0.0,0.378434,0.153418,0.153718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093017,0.071374,0.032975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.03412,0.078503,0.0,0.0,0.0,0.0,0.385585,0.152406,0.155692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092533,0.068102,0.033058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.032156,0.076,0.0,0.0,0.0,0.0,0.394936,0.15327,0.154457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091802,0.064734,0.032644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.030797,0.07649,0.0,0.0,0.0,0.0,0.402811,0.150666,0.154001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09023,0.062074,0.03293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.030733,0.074561,0.0,0.0,0.0,0.0,0.408869,0.152502,0.154048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088656,0.060368,0.030264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.030229,0.072293,0.0,0.0,0.0,0.0,0.41025,0.15684,0.15588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089338,0.057774,0.027396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.02871,0.071882,0.0,0.0,0.0,0.0,0.413793,0.155344,0.158225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088829,0.055599,0.027619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.027177,0.071805,0.0,0.0,0.0,0.0,0.41724,0.152734,0.162481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087575,0.052587,0.028401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.025719,0.070786,0.0,0.0,0.0,0.0,0.423959,0.148803,0.165227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086568,0.051612,0.027326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.023963,0.071318,0.0,0.0,0.0,0.0,0.428251,0.15002,0.162287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085777,0.051115,0.02727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.022976,0.071322,0.0,0.0,0.0,0.0,0.432134,0.149772,0.161467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086731,0.050002,0.025596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.022949,0.069107,0.0,0.0,0.0,0.0,0.435213,0.150085,0.161147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088256,0.047987,0.025256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.022233,0.069577,0.0,0.0,0.0,0.0,0.435062,0.14868,0.164032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088465,0.046712,0.025241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.021203,0.070745,0.0,0.0,0.0,0.0,0.43743,0.148783,0.16093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090087,0.044983,0.025839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.020584,0.067131,0.0,0.0,0.0,0.0,0.445468,0.145602,0.163151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088746,0.044401,0.024917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.020553,0.065519,0.0,0.0,0.0,0.0,0.44918,0.143663,0.164745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08744,0.043812,0.025089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.019583,0.067654,0.0,0.0,0.0,0.0,0.450621,0.141418,0.163342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086379,0.044208,0.026794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.019494,0.067796,0.0,0.0,0.0,0.0,0.452149,0.142532,0.160174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084824,0.044905,0.028128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.019818,0.067113,0.0,0.0,0.0,0.0,0.455272,0.143627,0.159704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081777,0.043876,0.028814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
