,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.990145,0.9902029999999999,0.9947710000000001,0.594509,0.594102
0.1,0.971376,0.97244,0.985362,0.719626,0.7181569999999999
0.2,0.956028,0.957201,0.975574,0.7771170000000001,0.776093
0.3,0.941338,0.942579,0.967216,0.80089,0.80004
0.4,0.929013,0.930355,0.958752,0.81082,0.812688
0.5,0.917427,0.9211469999999999,0.951294,0.812273,0.815153
0.6,0.9076070000000002,0.9118450000000001,0.9447800000000001,0.816303,0.8138140000000001
0.7,0.899732,0.9013519999999999,0.938596,0.817315,0.809671
0.8,0.893942,0.8923220000000001,0.932658,0.815714,0.8091990000000001
0.9,0.888785,0.884816,0.926443,0.81096,0.8057240000000001
1.0,0.883661,0.879,0.9218470000000001,0.8059590000000001,0.801628
1.1,0.877183,0.8767750000000001,0.916015,0.800134,0.798787
1.2,0.869702,0.874091,0.9111319999999999,0.798531,0.7997609999999999
1.3,0.865138,0.869999,0.905852,0.794561,0.7948550000000001
1.4,0.863486,0.86617,0.90105,0.7928580000000001,0.7897219999999999
1.5,0.8579749999999999,0.8621,0.8960670000000001,0.7909529999999999,0.784641
1.6,0.8572869999999999,0.856983,0.8921889999999999,0.7896489999999999,0.782573
1.7,0.8562390000000001,0.8554649999999999,0.887923,0.785419,0.785437
1.8,0.8549680000000001,0.851934,0.884812,0.784156,0.781682
1.9,0.85297,0.8493009999999999,0.8812349999999999,0.784871,0.7762229999999999
2.0,0.84869,0.8464240000000001,0.8794390000000001,0.7816110000000001,0.7734420000000001
2.1,0.8458809999999999,0.845002,0.877129,0.783938,0.765331
2.2,0.8456940000000001,0.843406,0.876235,0.7826709999999999,0.766791
2.3,0.844809,0.843006,0.873913,0.7792410000000001,0.7689769999999999
2.4,0.842302,0.8408869999999999,0.872354,0.7793500000000001,0.768135
2.5,0.8391669999999999,0.839631,0.8711239999999999,0.7819349999999999,0.76425
2.6,0.838935,0.840452,0.8692899999999999,0.78114,0.766577
2.7,0.8390430000000001,0.839125,0.8687850000000001,0.778733,0.769279
2.8,0.8374470000000002,0.8353550000000001,0.8671750000000001,0.7770680000000001,0.7716850000000001
2.9,0.832602,0.8337439999999999,0.865276,0.7748280000000001,0.774206
3.0,0.830416,0.83424,0.864201,0.776287,0.76939
3.1,0.8302640000000001,0.836494,0.8618140000000001,0.7742910000000001,0.7699509999999999
3.2,0.831336,0.8344980000000001,0.8589760000000001,0.775963,0.7732969999999999
3.3,0.8297650000000001,0.8323020000000001,0.855617,0.772736,0.775383
3.4,0.8257869999999999,0.831598,0.8539800000000001,0.770198,0.772274
3.5,0.8238319999999999,0.8320019999999999,0.8518129999999999,0.7703599999999999,0.770999
3.6,0.824549,0.8302529999999999,0.851026,0.771641,0.7681820000000001
3.7,0.8236049999999999,0.829101,0.850014,0.763262,0.7715449999999999
3.8,0.8224450000000001,0.826555,0.8496600000000001,0.7646679999999999,0.7693380000000001
3.9,0.822146,0.8257019999999999,0.850373,0.765376,0.766969
