,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.0,0.0,0.001538,0.002592,0.002303,0.003135,0.0,5.6e-05,4.8e-05,0.00079,0.152513,0.243265,0.242403,0.337233,0.001358,0.001332,0.001579,1.5e-05,8e-06,0.0,0.000101,0.0,0.0,0.0,1.4e-05,0.001509,0.00226,0.003017,0.002879,3.5e-05,0.0,1.6e-05
0.1,0.0,8.3e-05,0.002104,0.007755,0.005232,0.010787,6.3e-05,0.000185,0.000174,0.001285,0.053459,0.205589,0.202874,0.469291,0.00309,0.003795,0.00561,0.000203,0.000247,0.000135,0.000575,0.0,0.0,1.7e-05,0.00011,0.002551,0.005241,0.008288,0.011031,6.3e-05,7e-05,9.3e-05
0.2,9e-06,0.0,0.002102,0.01311,0.006567,0.01798,0.000202,0.000497,0.000114,0.001793,0.02058,0.171374,0.170623,0.530262,0.005245,0.005652,0.009927,0.000366,0.000563,0.000346,0.000835,8e-06,0.0,0.0001,0.0001,0.001815,0.006398,0.012131,0.020522,0.000242,0.000302,0.000235
0.3,0.0001,0.000153,0.00161,0.016975,0.008689,0.024846,0.000353,0.000816,0.000576,0.001363,0.009566,0.151355,0.150797,0.546611,0.007384,0.007151,0.013093,0.00031,0.001091,0.000383,0.001197,0.0001,8.6e-05,0.000135,0.0001,0.001542,0.007689,0.016135,0.02842,0.000268,0.000308,0.000797
0.4,6.7e-05,0.000165,0.001552,0.021539,0.008366,0.030342,0.000741,0.000636,0.001318,0.001342,0.006435,0.134905,0.136982,0.550658,0.008645,0.009601,0.015786,0.000339,0.001188,0.001069,0.001752,9e-06,0.000218,0.000345,0.0001,0.001393,0.00825,0.020405,0.033577,0.000643,0.000511,0.001122
0.5,0.0,1.5e-05,0.001597,0.024372,0.009158,0.032949,0.001257,0.000885,0.002251,0.001181,0.00591,0.126916,0.128637,0.543149,0.010606,0.011131,0.017413,0.000298,0.001924,0.001529,0.001981,0.000106,0.000241,0.000292,0.000195,0.001217,0.008721,0.024873,0.038063,0.000534,0.000862,0.001739
0.6,0.0,0.0,0.001537,0.026618,0.009027,0.037611,0.001726,0.001226,0.002641,0.001231,0.005165,0.122415,0.11916,0.535769,0.011795,0.011815,0.019871,0.000517,0.002199,0.00181,0.002665,0.000244,0.0002,0.000133,0.000297,0.001,0.010356,0.029604,0.039327,0.001085,0.001107,0.001848
0.7,6.3e-05,9e-06,0.001573,0.029524,0.008971,0.042587,0.002395,0.000979,0.00269,0.001136,0.004996,0.120223,0.115172,0.521645,0.013283,0.011905,0.022644,0.000886,0.002504,0.002207,0.003414,0.000504,0.000143,0.0002,0.000287,0.001106,0.010541,0.031453,0.041794,0.0013,0.0018,0.002067
0.8,0.0002,2e-06,0.001899,0.031204,0.009973,0.045741,0.003056,0.001387,0.002761,0.001305,0.004374,0.118473,0.111002,0.51143,0.013146,0.013287,0.024902,0.000734,0.002882,0.00312,0.003807,0.000495,9e-06,0.000407,0.000304,0.001481,0.009655,0.03302,0.043863,0.00159,0.002188,0.002302
0.9,0.000251,0.000121,0.001969,0.034638,0.010017,0.047748,0.003011,0.001416,0.003861,0.001651,0.004386,0.11478,0.110205,0.500268,0.014411,0.015107,0.025196,0.00057,0.003151,0.003595,0.003744,0.000568,0.000289,0.000235,0.000236,0.001745,0.010947,0.034918,0.043762,0.001841,0.002564,0.002799
1.0,0.000222,0.00015,0.001519,0.037348,0.011547,0.047961,0.003325,0.001635,0.004164,0.001614,0.004228,0.112676,0.110346,0.489972,0.016148,0.015508,0.02552,0.00037,0.00354,0.004062,0.004043,0.000408,0.000435,0.000271,0.00038,0.002081,0.012193,0.036871,0.04309,0.00217,0.003073,0.00313
1.1,0.000103,0.00029,0.00131,0.04016,0.011849,0.046509,0.003692,0.001645,0.003374,0.001774,0.004494,0.110674,0.110165,0.479377,0.015916,0.017332,0.028622,0.000344,0.004323,0.004452,0.00415,0.000349,0.000486,0.000187,0.000656,0.001932,0.012415,0.039801,0.04406,0.002779,0.003231,0.003547
1.2,0.000122,0.000379,0.001292,0.039716,0.010467,0.048115,0.004529,0.002439,0.002992,0.002327,0.004375,0.106204,0.110177,0.472477,0.016566,0.017298,0.030349,0.000413,0.00512,0.005117,0.004425,0.000386,0.000295,0.0001,0.001012,0.001789,0.01312,0.040954,0.047371,0.002887,0.003011,0.004174
1.3,0.0,0.000533,0.001442,0.041037,0.011383,0.048121,0.005101,0.002883,0.002641,0.002703,0.00348,0.110375,0.11086,0.457302,0.017269,0.017337,0.032671,0.000574,0.004753,0.005103,0.005425,0.000534,0.000258,0.000211,0.001002,0.002072,0.011304,0.042191,0.05043,0.002964,0.003616,0.004423
1.4,4.8e-05,0.000519,0.002006,0.042164,0.010787,0.049598,0.005144,0.00277,0.003199,0.002928,0.004287,0.112517,0.108503,0.448469,0.017452,0.018319,0.034824,0.000535,0.005213,0.005192,0.005353,0.000718,0.00014,0.000447,0.000656,0.002098,0.010923,0.044052,0.049353,0.003073,0.004305,0.004411
1.5,0.0001,0.000563,0.001627,0.043046,0.010061,0.051453,0.005361,0.002783,0.004058,0.002772,0.005295,0.110326,0.107025,0.440301,0.01962,0.01936,0.034324,0.000494,0.00593,0.005273,0.005471,0.00091,0.000427,0.000343,0.000571,0.002511,0.012777,0.045328,0.049149,0.003456,0.004857,0.004428
1.6,0.0001,0.000615,0.001569,0.044912,0.011233,0.050765,0.005839,0.002673,0.004931,0.002965,0.004947,0.108021,0.105614,0.437777,0.020503,0.021142,0.033781,0.00068,0.006374,0.005864,0.005694,0.000861,0.0005,0.000405,0.0003,0.001771,0.013656,0.045692,0.04762,0.004312,0.004684,0.004198
1.7,0.000112,0.000594,0.0017,0.04513,0.011539,0.049112,0.005842,0.003316,0.005529,0.002566,0.003915,0.106156,0.106218,0.436209,0.020662,0.024127,0.033624,0.000719,0.006701,0.006249,0.006208,0.0008,0.000514,0.000471,0.000529,0.001504,0.012846,0.046284,0.047433,0.004788,0.004696,0.003908
1.8,0.000103,0.00076,0.001745,0.047457,0.010649,0.048902,0.00563,0.003778,0.005618,0.002529,0.003941,0.106806,0.106574,0.429997,0.021305,0.024119,0.035158,0.000939,0.007566,0.006527,0.006422,0.000619,0.000686,0.000666,0.000741,0.001626,0.011642,0.04632,0.047699,0.00491,0.004808,0.003759
1.9,0.0001,0.000963,0.001739,0.04826,0.009774,0.04921,0.005978,0.003755,0.005453,0.002442,0.00442,0.108585,0.105205,0.424039,0.023564,0.023883,0.0357,0.000807,0.008247,0.007445,0.00681,0.00049,0.00104,0.000624,0.000734,0.00159,0.011574,0.046009,0.047521,0.00428,0.005219,0.004536
2.0,1.6e-05,0.000878,0.001339,0.048667,0.01005,0.049263,0.006612,0.004151,0.005602,0.002591,0.004694,0.107375,0.107384,0.417416,0.025811,0.022073,0.034784,0.000798,0.009375,0.007929,0.006733,0.00049,0.001018,0.000655,0.000697,0.002041,0.011367,0.046936,0.048072,0.003807,0.005794,0.005582
2.1,0.0,0.00086,0.001381,0.04944,0.009411,0.049351,0.007298,0.004512,0.005172,0.002988,0.003845,0.113367,0.103716,0.411373,0.027069,0.021376,0.034722,0.000923,0.009419,0.007968,0.006752,0.00054,0.001139,0.000834,0.000532,0.001933,0.01145,0.048379,0.048421,0.003626,0.007101,0.005104
2.2,0.0,0.00058,0.00213,0.04901,0.010202,0.050802,0.007826,0.004464,0.004599,0.002907,0.004003,0.112493,0.103839,0.409,0.026202,0.021043,0.036594,0.000883,0.009059,0.007648,0.006625,0.000724,0.001039,0.001001,0.000712,0.002001,0.010928,0.047904,0.049708,0.003749,0.007972,0.004351
2.3,3.5e-05,0.000615,0.002399,0.049032,0.012432,0.04932,0.008147,0.004456,0.004933,0.002834,0.004493,0.10868,0.103329,0.408197,0.026503,0.02128,0.038159,0.000826,0.00856,0.007937,0.005586,0.000736,0.000926,0.001054,0.000539,0.001908,0.011925,0.048685,0.050604,0.003791,0.008065,0.004014
2.4,0.000127,0.000781,0.002078,0.049174,0.012503,0.050412,0.00864,0.00431,0.005089,0.002928,0.00357,0.110029,0.102914,0.404468,0.026012,0.022616,0.036778,0.001242,0.008469,0.008201,0.005113,0.001005,0.001028,0.000944,0.000718,0.002023,0.011355,0.047403,0.0534,0.003717,0.008211,0.004745
2.5,0.000186,0.000755,0.002092,0.049248,0.012487,0.051087,0.008504,0.003832,0.0053,0.003476,0.002725,0.112086,0.099315,0.402516,0.025472,0.02313,0.037142,0.001572,0.008238,0.008051,0.005641,0.001295,0.001265,0.000818,0.000677,0.002525,0.012953,0.047839,0.052749,0.003948,0.00814,0.004938
