t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.059858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059737,0.067725,0.070733,0.051805,0.06924,0.070344,0.050558,0.05401,0.038253,0.048928,0.090749,0.07207,0.063726,0.073806,0.058458
0.1,0.052179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054797,0.077582,0.081058,0.036563,0.080222,0.081357,0.036242,0.039956,0.014337,0.033401,0.12747,0.074791,0.062714,0.0951,0.05223
0.2,0.047478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050359,0.083207,0.08677,0.029663,0.083939,0.088054,0.030529,0.029342,0.007773,0.026389,0.144269,0.071569,0.059981,0.111893,0.048785
0.3,0.043546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045515,0.087247,0.090059,0.027178,0.087145,0.092088,0.027222,0.023161,0.003851,0.022134,0.156917,0.067098,0.058314,0.121199,0.047325
0.4,0.041051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04181,0.089278,0.095055,0.023857,0.08915,0.093005,0.026793,0.0184,0.003115,0.020137,0.164571,0.062177,0.057289,0.128469,0.045841
0.5,0.038927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039792,0.090269,0.095834,0.024105,0.091634,0.092198,0.027241,0.015228,0.003351,0.019619,0.168656,0.058374,0.052959,0.134206,0.047607
0.6,0.037463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03691,0.092546,0.096262,0.024282,0.09341,0.09383,0.025297,0.01296,0.003098,0.017885,0.173616,0.055401,0.051556,0.138934,0.046551
0.7,0.035004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033862,0.093463,0.096734,0.025942,0.094467,0.094581,0.025948,0.012224,0.004003,0.017342,0.175027,0.053628,0.051458,0.140926,0.045392
0.8,0.033451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032397,0.09477,0.096434,0.026399,0.094332,0.095858,0.026359,0.011929,0.00413,0.016575,0.177621,0.051674,0.050372,0.143557,0.044142
0.9,0.032542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030857,0.096756,0.096519,0.025869,0.09435,0.096683,0.026424,0.011387,0.004023,0.016606,0.177286,0.052086,0.048735,0.143764,0.046113
1.0,0.030799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029586,0.097923,0.096687,0.025804,0.0951,0.098225,0.025877,0.011109,0.004103,0.015696,0.179624,0.050577,0.048187,0.146434,0.04427
1.1,0.029951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028947,0.100125,0.096938,0.023989,0.095454,0.098176,0.026419,0.011344,0.002965,0.015114,0.18289,0.049031,0.04868,0.147974,0.042001
1.2,0.028394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027456,0.101295,0.098014,0.023234,0.097946,0.096396,0.027264,0.011398,0.003058,0.015178,0.182752,0.049012,0.047716,0.149522,0.041365
1.3,0.026688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027324,0.099185,0.098085,0.025405,0.098531,0.098957,0.025824,0.009837,0.002609,0.015612,0.18222,0.049558,0.046726,0.152257,0.041179
1.4,0.024953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026142,0.098786,0.098912,0.026159,0.098544,0.099878,0.026625,0.010268,0.002988,0.014871,0.182331,0.04981,0.046034,0.152363,0.041336
1.5,0.024631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026386,0.098736,0.099198,0.02568,0.097941,0.099366,0.028062,0.010258,0.00368,0.015513,0.183288,0.047519,0.045192,0.151193,0.043357
1.6,0.024482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027059,0.099032,0.097948,0.025961,0.09768,0.10005,0.027788,0.01038,0.004882,0.016198,0.181715,0.047205,0.045097,0.150522,0.044002
1.7,0.024876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026666,0.098579,0.09878,0.025975,0.096137,0.101416,0.027571,0.009529,0.003786,0.01531,0.181755,0.049149,0.045742,0.15551,0.039219
1.8,0.025331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026521,0.097965,0.100275,0.025239,0.096791,0.10128,0.026598,0.009056,0.003943,0.013837,0.183581,0.048639,0.043734,0.155859,0.041351
1.9,0.025396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025482,0.098256,0.101001,0.025261,0.097662,0.101436,0.025506,0.009527,0.003921,0.012964,0.183311,0.049803,0.041816,0.156377,0.042281
2.0,0.024337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025924,0.096607,0.099979,0.02749,0.096835,0.101901,0.026927,0.009853,0.003966,0.014147,0.184382,0.047505,0.041811,0.156334,0.042002
2.1,0.023837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025398,0.097044,0.099904,0.027654,0.096074,0.101993,0.028096,0.009575,0.003942,0.014014,0.185903,0.046141,0.040264,0.157121,0.043041
2.2,0.023846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024778,0.097581,0.099641,0.028,0.096203,0.101946,0.028006,0.010309,0.003485,0.013745,0.186975,0.045795,0.039302,0.15566,0.044729
2.3,0.024073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024067,0.099808,0.098372,0.027753,0.09796,0.101498,0.026469,0.011526,0.004178,0.013762,0.185704,0.046356,0.040533,0.154812,0.043129
2.4,0.024218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024213,0.099203,0.098246,0.028338,0.097507,0.10103,0.027246,0.01182,0.004178,0.013308,0.186917,0.045598,0.040474,0.155271,0.042434
2.5,0.02427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024936,0.098555,0.09777,0.028739,0.098935,0.100811,0.025983,0.010663,0.003406,0.014134,0.186143,0.046317,0.039373,0.158238,0.041727
