t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.49999899999999997,0.0,0.483305,0.507255
0.1,0.0,0.500001,0.0,0.46228899999999995,0.532207
0.2,0.0,0.5,0.0,0.447853,0.557611
0.3,0.0,0.5,0.0,0.439515,0.574853
0.4,0.0,0.5,0.0,0.43604699999999996,0.5895440000000001
0.5,0.0,0.49999999999999994,0.0,0.43513599999999997,0.601266
0.6,0.0,0.5,0.0,0.431556,0.609142
0.7,0.0,0.5,0.0,0.432178,0.616529
0.8,0.0,0.5,0.0,0.431199,0.618838
0.9,0.0,0.5000009999999999,0.0,0.43164499999999995,0.62339
1.0,0.0,0.499999,0.0,0.43009000000000003,0.627571
1.1,0.0,0.49999999999999994,0.0,0.428819,0.629367
1.2,0.0,0.500001,0.0,0.42982099999999995,0.6308170000000001
1.3,0.0,0.5,0.0,0.427866,0.630506
1.4,0.0,0.5,0.0,0.425193,0.6314430000000001
1.5,0.0,0.499999,0.0,0.427277,0.635115
1.6,0.0,0.49999899999999997,0.0,0.425556,0.6402589999999999
1.7,0.0,0.5,0.0,0.41854499999999994,0.642972
1.8,0.0,0.49999899999999997,0.0,0.417377,0.6453
1.9,0.0,0.5,0.0,0.417861,0.645361
2.0,0.0,0.5000009999999999,0.0,0.418267,0.6455310000000001
2.1,0.0,0.5,0.0,0.41780799999999996,0.6516440000000001
2.2,0.0,0.5,0.0,0.418595,0.6529860000000001
2.3,0.0,0.5000009999999999,0.0,0.418556,0.6484570000000001
2.4,0.0,0.5,0.0,0.418617,0.645149
2.5,0.0,0.5,0.0,0.41834099999999996,0.6458740000000001
2.6,0.0,0.5,0.0,0.414781,0.64809
2.7,0.0,0.5,0.0,0.41499700000000006,0.649456
2.8,0.0,0.5,0.0,0.416126,0.650198
2.9,0.0,0.5,0.0,0.415669,0.650037
3.0,0.0,0.5,0.0,0.41695899999999997,0.649165
3.1,0.0,0.5,0.0,0.41713799999999995,0.643775
3.2,0.0,0.5,0.0,0.41711500000000007,0.647625
3.3,0.0,0.5,0.0,0.416065,0.6535200000000001
3.4,0.0,0.5,0.0,0.415613,0.6547099999999999
3.5,0.0,0.5,0.0,0.415032,0.649524
3.6,0.0,0.5,0.0,0.41315100000000005,0.647903
3.7,0.0,0.5,0.0,0.415775,0.649574
3.8,0.0,0.5,0.0,0.4157700000000001,0.647409
3.9,0.0,0.5,0.0,0.419192,0.6494869999999999
