t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.119896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137836,0.141378,0.100889,0.106546,0.0,0.0,0.0,0.0,0.128465,0.148873,0.116115
0.1,0.10653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159048,0.162147,0.072275,0.077331,0.0,0.0,0.0,0.0,0.124885,0.191704,0.106081
0.2,0.097074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167798,0.174457,0.060671,0.057713,0.0,0.0,0.0,0.0,0.119804,0.222903,0.09958
0.3,0.089259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173979,0.183003,0.053759,0.045335,0.0,0.0,0.0,0.0,0.116574,0.242888,0.095203
0.4,0.082297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179272,0.187914,0.050517,0.035198,0.0,0.0,0.0,0.0,0.113689,0.258544,0.092569
0.5,0.079762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183638,0.185656,0.050944,0.029629,0.0,0.0,0.0,0.0,0.105705,0.269817,0.094849
0.6,0.073904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187536,0.189815,0.048745,0.026499,0.0,0.0,0.0,0.0,0.102919,0.278226,0.092356
0.7,0.067492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191058,0.191445,0.050006,0.024557,0.0,0.0,0.0,0.0,0.100365,0.284329,0.090749
0.8,0.066705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192185,0.190884,0.050226,0.023581,0.0,0.0,0.0,0.0,0.098691,0.287631,0.090097
0.9,0.065374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192355,0.190872,0.051399,0.022332,0.0,0.0,0.0,0.0,0.09655,0.289778,0.091341
1.0,0.060635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194718,0.194286,0.05036,0.021253,0.0,0.0,0.0,0.0,0.095821,0.293734,0.089191
1.1,0.059141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194534,0.195316,0.05101,0.02219,0.0,0.0,0.0,0.0,0.094769,0.294535,0.088506
1.2,0.057857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.195565,0.192763,0.053815,0.021107,0.0,0.0,0.0,0.0,0.094655,0.298453,0.085786
1.3,0.056164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197878,0.195374,0.050584,0.020457,0.0,0.0,0.0,0.0,0.094995,0.300139,0.084409
1.4,0.054733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197069,0.196373,0.051825,0.022331,0.0,0.0,0.0,0.0,0.094424,0.30137,0.081875
