t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.0,0.0,0.485262,0.48158300000000004
0.1,0.0,0.0,0.0,0.47020300000000004,0.46357000000000004
0.2,0.0,0.0,0.0,0.466178,0.46198799999999995
0.3,0.0,0.0,0.0,0.465201,0.46261699999999994
0.4,0.0,0.0,0.0,0.469761,0.465545
0.5,0.0,0.0,0.0,0.477924,0.46631500000000004
0.6,0.0,0.0,0.0,0.480384,0.471364
0.7,0.0,0.0,0.0,0.48745900000000003,0.47813300000000003
0.8,0.0,0.0,0.0,0.490038,0.480846
0.9,0.0,0.0,0.0,0.492277,0.484812
1.0,0.0,0.0,0.0,0.493158,0.487379
1.1,0.0,0.0,0.0,0.49325,0.48621200000000003
1.2,0.0,0.0,0.0,0.498663,0.48543800000000004
1.3,0.0,0.0,0.0,0.501302,0.487938
1.4,0.0,0.0,0.0,0.502361,0.49087499999999995
1.5,0.0,0.0,0.0,0.505589,0.491937
1.6,0.0,0.0,0.0,0.505742,0.490954
1.7,0.0,0.0,0.0,0.502339,0.49572099999999997
1.8,0.0,0.0,0.0,0.499497,0.497526
1.9,0.0,0.0,0.0,0.496843,0.497576
2.0,0.0,0.0,0.0,0.49955,0.499916
2.1,0.0,0.0,0.0,0.500919,0.502528
2.2,0.0,0.0,0.0,0.501513,0.503784
2.3,0.0,0.0,0.0,0.5026499999999999,0.5022989999999999
2.4,0.0,0.0,0.0,0.502509,0.5031450000000001
2.5,0.0,0.0,0.0,0.5055580000000001,0.501717
2.6,0.0,0.0,0.0,0.501248,0.502859
2.7,0.0,0.0,0.0,0.500656,0.505611
2.8,0.0,0.0,0.0,0.5015769999999999,0.5019480000000001
2.9,0.0,0.0,0.0,0.500332,0.49999800000000005
3.0,0.0,0.0,0.0,0.500714,0.50035
3.1,0.0,0.0,0.0,0.503273,0.498499
3.2,0.0,0.0,0.0,0.50542,0.503274
3.3,0.0,0.0,0.0,0.506683,0.504934
3.4,0.0,0.0,0.0,0.50546,0.49989799999999995
3.5,0.0,0.0,0.0,0.5033909999999999,0.500109
3.6,0.0,0.0,0.0,0.503877,0.502901
3.7,0.0,0.0,0.0,0.505986,0.503778
3.8,0.0,0.0,0.0,0.505344,0.500431
3.9,0.0,0.0,0.0,0.505034,0.50429
