t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.236764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.281654,0.277975,0.203608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.211476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324954,0.318321,0.145249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.191839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346173,0.341983,0.120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.177444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359939,0.357355,0.105262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.164554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3699,0.365684,0.099861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.15705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376635,0.365026,0.101289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.14633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.382306,0.373286,0.098078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.136185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385682,0.376356,0.101777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.133023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386132,0.37694,0.103906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.128571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386618,0.379153,0.105659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.121092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391529,0.38575,0.101629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.120096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393691,0.386653,0.099559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.11755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397011,0.383786,0.101652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.113473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398589,0.385225,0.102713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.111862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397263,0.385777,0.105098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.108785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399277,0.385625,0.106312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.105546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403501,0.388713,0.102241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.102502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401777,0.395159,0.100562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.103619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398855,0.396884,0.100642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
