t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.49989900000000004,0.499999,0.0,0.5087309999999999,0.510641
0.1,0.49990099999999993,0.49999999999999994,0.0,0.5266639999999999,0.5266689999999999
0.2,0.499901,0.500001,0.0,0.539339,0.538784
0.3,0.4999,0.5000009999999999,0.0,0.548669,0.5468299999999999
0.4,0.4999,0.5,0.0,0.5545089999999999,0.5559919999999999
0.5,0.499901,0.500001,0.0,0.556655,0.56144
0.6,0.49990200000000007,0.500001,0.0,0.56033,0.560373
0.7,0.499901,0.500001,0.0,0.5651139999999999,0.559586
0.8,0.4999,0.5,0.0,0.567061,0.557943
0.9,0.499901,0.500001,0.0,0.572854,0.5579310000000001
1.0,0.4999,0.5000000000000001,0.0,0.569843,0.5574880000000001
1.1,0.49990100000000004,0.5,0.0,0.570127,0.558824
1.2,0.4999,0.5000009999999999,0.0,0.574299,0.559051
1.3,0.49989900000000004,0.49999899999999997,0.0,0.5763679999999999,0.563576
1.4,0.499902,0.500001,0.0,0.577055,0.564855
1.5,0.4999,0.5,0.0,0.5775570000000001,0.568329
1.6,0.499901,0.500001,0.0,0.5730489999999999,0.5715699999999999
1.7,0.499899,0.5,0.0,0.566931,0.5772889999999999
1.8,0.4999,0.49999899999999997,0.0,0.567939,0.5803050000000001
1.9,0.49989999999999996,0.5,0.0,0.5666479999999999,0.580731
2.0,0.4999,0.5,0.0,0.566504,0.57906
2.1,0.499899,0.499998,0.0,0.564962,0.581269
2.2,0.4999,0.5,0.0,0.563266,0.580716
2.3,0.4999,0.5,0.0,0.5613849999999999,0.57555
2.4,0.499899,0.499999,0.0,0.560684,0.575534
2.5,0.499899,0.5,0.0,0.560473,0.578349
2.6,0.49990199999999996,0.500001,0.0,0.559785,0.578082
2.7,0.4998989999999999,0.5,0.0,0.559685,0.577203
2.8,0.49989999999999996,0.5,0.0,0.564152,0.5742860000000001
2.9,0.49990100000000004,0.5,0.0,0.566202,0.576307
3.0,0.49989999999999996,0.5000009999999999,0.0,0.56228,0.581402
3.1,0.49990099999999993,0.500001,0.0,0.560046,0.5744689999999999
3.2,0.4999,0.5,0.0,0.56298,0.575512
3.3,0.49990100000000004,0.5,0.0,0.5634899999999999,0.577547
3.4,0.499901,0.500001,0.0,0.5626720000000001,0.573825
3.5,0.49990100000000004,0.5,0.0,0.5631870000000001,0.571089
3.6,0.4998999999999999,0.5,0.0,0.5649289999999999,0.569792
3.7,0.49990099999999993,0.500001,0.0,0.5679059999999999,0.571434
3.8,0.49989900000000004,0.4999990000000001,0.0,0.567409,0.570517
3.9,0.499901,0.5,0.0,0.570588,0.571111
