t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.059717,0.054317,0.038401,0.089789,0.04718,0.07273,0.076859,0.063585,0.057038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059437,0.070314,0.070427,0.051722,0.06866,0.068697,0.051126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.052535,0.040132,0.014537,0.126334,0.032348,0.074881,0.096799,0.061605,0.053264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05394,0.079101,0.081234,0.037625,0.079131,0.079913,0.036621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.047839,0.03105,0.006525,0.145388,0.024404,0.071784,0.112916,0.058273,0.049561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048664,0.085377,0.088209,0.02965,0.083057,0.086323,0.030981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.045003,0.025044,0.003617,0.158032,0.020933,0.065518,0.123428,0.056353,0.046976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044768,0.088888,0.091814,0.02643,0.086247,0.089978,0.026972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.042299,0.021246,0.002994,0.163618,0.018955,0.062534,0.130517,0.052133,0.047904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041311,0.091412,0.094729,0.024448,0.088788,0.091974,0.025139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.039714,0.018288,0.00326,0.169178,0.018446,0.057216,0.136227,0.05119,0.046095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039267,0.091839,0.095708,0.025086,0.091287,0.092057,0.025143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.038126,0.015666,0.003984,0.173087,0.017582,0.053447,0.140913,0.051758,0.043463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03698,0.093611,0.096636,0.024674,0.093418,0.092563,0.024092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.036361,0.014223,0.004568,0.174785,0.018417,0.05033,0.144779,0.049997,0.042801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035062,0.094297,0.096344,0.026198,0.09363,0.09318,0.025029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.035113,0.013719,0.003626,0.179177,0.016967,0.04833,0.147961,0.047951,0.042168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033152,0.096312,0.096172,0.026264,0.093556,0.094886,0.024645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.033413,0.013095,0.002844,0.181577,0.014898,0.048781,0.150706,0.047459,0.040539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030928,0.097641,0.098091,0.02524,0.093447,0.094888,0.026452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
