t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.119785,0.107297,0.0,0.0,0.0,0.0,0.151134,0.126932,0.114538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140116,0.137808,0.102391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.106519,0.078402,0.0,0.0,0.0,0.0,0.192589,0.123933,0.104976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161532,0.158681,0.073368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.097304,0.060365,0.0,0.0,0.0,0.0,0.223591,0.118113,0.097831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171104,0.170216,0.061476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.090607,0.047448,0.0,0.0,0.0,0.0,0.244891,0.112684,0.094877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177513,0.178177,0.053803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.083656,0.039286,0.0,0.0,0.0,0.0,0.260544,0.106839,0.093231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182279,0.184922,0.049243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.079926,0.034105,0.0,0.0,0.0,0.0,0.271187,0.103616,0.090991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186279,0.184845,0.04905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.075326,0.031725,0.0,0.0,0.0,0.0,0.280199,0.099692,0.088284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188105,0.189226,0.047444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.070631,0.029073,0.0,0.0,0.0,0.0,0.288297,0.095907,0.086624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188813,0.190682,0.049974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.069323,0.027748,0.0,0.0,0.0,0.0,0.29549,0.092282,0.084379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188213,0.190901,0.051664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.066964,0.026631,0.0,0.0,0.0,0.0,0.299437,0.090449,0.083383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188103,0.191052,0.053981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
