t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.030161,0.026575,0.020294,0.043966,0.024019,0.035921,0.038796,0.032282,0.028147,0.025369,0.013053,0.031829,0.029566,0.049452,0.034668,0.033156,0.032807,0.029936,0.035062,0.034985,0.025817,0.032956,0.035622,0.025461,0.026427,0.020144,0.024641,0.046024,0.035291,0.031699,0.03657,0.029304
0.1,0.026034,0.019688,0.007704,0.06153,0.016472,0.038494,0.048806,0.030956,0.026351,0.015449,0.002197,0.026523,0.025119,0.070061,0.039393,0.03624,0.034918,0.02757,0.040128,0.039985,0.018117,0.037805,0.041554,0.018807,0.019497,0.007662,0.016145,0.064859,0.037434,0.031725,0.046821,0.025957
0.2,0.024035,0.015962,0.003187,0.071252,0.012813,0.036947,0.056298,0.027877,0.025663,0.00957,0.000608,0.02389,0.023693,0.075709,0.04271,0.038204,0.035517,0.025179,0.043066,0.043601,0.013954,0.039131,0.044354,0.016679,0.014514,0.003885,0.012643,0.073815,0.035757,0.029552,0.055099,0.024836
0.3,0.021869,0.012946,0.001497,0.077816,0.010979,0.033908,0.062892,0.027058,0.022904,0.006236,0.000486,0.022793,0.02325,0.077371,0.042486,0.039804,0.037474,0.023185,0.044367,0.045146,0.013101,0.041508,0.046481,0.014342,0.011441,0.001855,0.011418,0.07946,0.033367,0.028655,0.059235,0.024669
0.4,0.020859,0.011028,0.001401,0.081589,0.009809,0.031401,0.06517,0.02532,0.024282,0.005077,0.000553,0.024018,0.022593,0.076736,0.041264,0.039851,0.039808,0.021314,0.045486,0.047169,0.011831,0.042924,0.047388,0.013029,0.008753,0.001568,0.010467,0.083282,0.030783,0.028686,0.063887,0.022674
0.5,0.020429,0.009578,0.001806,0.084291,0.008868,0.029235,0.067725,0.025362,0.023135,0.004153,0.00043,0.022591,0.021514,0.079366,0.041553,0.039838,0.040456,0.019875,0.046729,0.047696,0.011501,0.043614,0.047066,0.01309,0.007316,0.001676,0.009259,0.08529,0.029875,0.026124,0.066744,0.023816
0.6,0.019962,0.007899,0.002199,0.086457,0.008977,0.026567,0.069875,0.02607,0.021957,0.00371,0.000447,0.023472,0.02141,0.078571,0.041778,0.039161,0.041351,0.018522,0.047701,0.04804,0.011536,0.044674,0.047116,0.012449,0.006456,0.001779,0.008321,0.089335,0.026665,0.025449,0.06846,0.023636
0.7,0.018669,0.007575,0.002371,0.087072,0.009279,0.025478,0.071846,0.025392,0.020987,0.00285,0.000358,0.024083,0.022873,0.076586,0.041747,0.039106,0.042298,0.01746,0.047508,0.047642,0.01319,0.045601,0.047312,0.012618,0.00626,0.002239,0.00781,0.090162,0.02589,0.02558,0.06945,0.02271
0.8,0.017738,0.007173,0.001716,0.088939,0.008175,0.02537,0.073597,0.023984,0.021046,0.002866,0.00027,0.024095,0.022018,0.077517,0.041771,0.039287,0.042076,0.0167,0.047617,0.047952,0.01353,0.045701,0.048099,0.012663,0.005694,0.002157,0.008017,0.091212,0.024714,0.025471,0.071366,0.02147
0.9,0.016807,0.006537,0.00116,0.089863,0.008024,0.025153,0.075382,0.024124,0.019756,0.003072,0.000181,0.024081,0.023063,0.076574,0.043376,0.039201,0.040352,0.016071,0.048758,0.048427,0.012545,0.045877,0.047413,0.014103,0.005089,0.001819,0.00783,0.091299,0.025152,0.025242,0.070805,0.022864
