DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.5077999999999999,0.506799,0.331309,0.657374,0.502999,$RhoA_amp,0.0,N/A,,WT,WT_Sweep,1D,0.326065,Hyper
0.5036,0.49639999999999995,0.503464,0.559427,0.49080200000000007,$RhoA_amp,2.5,N/A,,WT,WT_Sweep,1D,0.055962999999999985,Normal
0.5009990000000001,0.4876000000000001,0.544532,0.548248,0.494601,$RhoA_amp,5.0,N/A,,WT,WT_Sweep,1D,0.0037159999999999416,Normal
0.5078,0.498999,0.5578089999999999,0.55469,0.49419900000000005,$RhoA_amp,7.5,N/A,,WT,WT_Sweep,1D,-0.003118999999999872,Normal
0.5048,0.500801,0.551264,0.565147,0.502201,$RhoA_amp,10.0,N/A,,WT,WT_Sweep,1D,0.013882999999999979,Normal
0.503801,0.498999,0.564927,0.549151,0.5059980000000001,$RhoA_amp,12.5,N/A,,WT,WT_Sweep,1D,-0.015776000000000012,Normal
0.503,0.49239900000000003,0.565068,0.5513849999999999,0.499999,$RhoA_amp,15.0,N/A,,WT,WT_Sweep,1D,-0.013683000000000112,Normal
0.490601,0.49500000000000005,0.57371,0.538384,0.489998,$RhoA_amp,17.5,N/A,,WT,WT_Sweep,1D,-0.03532600000000008,Normal
0.502199,0.509401,0.56262,0.55669,0.493999,$RhoA_amp,20.0,N/A,,WT,WT_Sweep,1D,-0.005929999999999991,Normal
0.5074,0.48719999999999997,0.572472,0.543412,0.512201,$RhoA_amp,22.5,N/A,,WT,WT_Sweep,1D,-0.029059999999999975,Normal
0.5028,0.507801,0.579803,0.537624,0.4922,$RhoA_amp,25.0,N/A,,WT,WT_Sweep,1D,-0.042178999999999967,Normal
0.5173999999999999,0.5062009999999999,0.580019,0.5406979999999999,0.503,$RhoA_amp,27.5,N/A,,WT,WT_Sweep,1D,-0.03932100000000005,Normal
0.504,0.49879999999999997,0.575538,0.539956,0.49399899999999997,$RhoA_amp,30.0,N/A,,WT,WT_Sweep,1D,-0.035582,Normal
0.5002,0.49979999999999997,0.55881,0.560305,0.5070000000000001,$RhoA_amp,32.5,N/A,,WT,WT_Sweep,1D,0.001495000000000024,Normal
0.501401,0.5077999999999999,0.585132,0.533744,0.48680000000000007,$RhoA_amp,35.0,N/A,,WT,WT_Sweep,1D,-0.05138799999999999,Normal
0.501801,0.496201,0.565653,0.5409470000000001,0.508,$RhoA_amp,37.5,N/A,,WT,WT_Sweep,1D,-0.024705999999999895,Normal
0.49259899999999995,0.507799,0.5736049999999999,0.5571319999999998,0.49339999999999995,$RhoA_amp,40.0,N/A,,WT,WT_Sweep,1D,-0.01647300000000007,Normal
0.492999,0.507599,0.578279,0.549274,0.5154000000000001,$RhoA_amp,42.5,N/A,,WT,WT_Sweep,1D,-0.029004999999999947,Normal
0.504,0.5025999999999999,0.580531,0.5480750000000001,0.512998,$RhoA_amp,45.0,N/A,,WT,WT_Sweep,1D,-0.03245599999999993,Normal
0.49599899999999997,0.49499899999999997,0.569843,0.550854,0.504199,$RhoA_amp,47.5,N/A,,WT,WT_Sweep,1D,-0.018989000000000034,Normal
0.49839999999999995,0.495801,0.380718,0.654244,0.510401,$RhoA_mod,0.0,N/A,,WT,WT_Sweep,1D,0.27352600000000005,Hyper
0.49840200000000007,0.499402,0.459442,0.600339,0.495401,$RhoA_mod,0.25,N/A,,WT,WT_Sweep,1D,0.14089699999999994,Normal
0.5042,0.4944,0.49759200000000003,0.591363,0.494201,$RhoA_mod,0.5,N/A,,WT,WT_Sweep,1D,0.09377099999999994,Normal
0.49840000000000007,0.490402,0.515703,0.571924,0.495,$RhoA_mod,0.75,N/A,,WT,WT_Sweep,1D,0.056220999999999965,Normal
0.5126,0.5106010000000001,0.533007,0.5757760000000001,0.498001,$RhoA_mod,1.0,N/A,,WT,WT_Sweep,1D,0.04276900000000006,Normal
0.5044,0.496799,0.544532,0.5589550000000001,0.49620200000000003,$RhoA_mod,1.25,N/A,,WT,WT_Sweep,1D,0.014423000000000075,Normal
0.4998,0.493,0.5420229999999999,0.5528270000000001,0.5032,$RhoA_mod,1.5,N/A,,WT,WT_Sweep,1D,0.010804000000000147,Normal
0.47559900000000005,0.504799,0.5337820000000001,0.5596770000000001,0.49979999999999997,$RhoA_mod,1.75,N/A,,WT,WT_Sweep,1D,0.025895,Normal
0.5142,0.504199,0.5752060000000001,0.54817,0.5049980000000001,$RhoA_mod,2.0,N/A,,WT,WT_Sweep,1D,-0.02703600000000006,Normal
0.500001,0.495399,0.5761029999999999,0.5538869999999999,0.506599,$RhoA_mod,2.25,N/A,,WT,WT_Sweep,1D,-0.022216000000000014,Normal
0.49519899999999994,0.5043979999999999,0.574314,0.54163,0.49359899999999995,$RhoA_mod,2.5,N/A,,WT,WT_Sweep,1D,-0.032684000000000046,Normal
0.502001,0.49660000000000004,0.582691,0.536171,0.5082,$RhoA_mod,2.75,N/A,,WT,WT_Sweep,1D,-0.046520000000000006,Normal
0.505402,0.5039999999999999,0.5869009999999999,0.540651,0.503001,$RhoA_mod,3.0,N/A,,WT,WT_Sweep,1D,-0.0462499999999999,Normal
0.501401,0.493402,0.596441,0.530642,0.49519900000000006,$RhoA_mod,3.25,N/A,,WT,WT_Sweep,1D,-0.06579900000000005,Normal
0.512,0.49660000000000004,0.600346,0.530107,0.4924,$RhoA_mod,3.5,N/A,,WT,WT_Sweep,1D,-0.07023900000000005,Normal
0.5048,0.49759999999999993,0.5988049999999999,0.5338839999999999,0.5006020000000001,$RhoA_mod,3.75,N/A,,WT,WT_Sweep,1D,-0.064921,Normal
0.493201,0.49540300000000004,0.5889780000000001,0.527038,0.494601,$RhoA_mod,4.0,N/A,,WT,WT_Sweep,1D,-0.061940000000000106,Normal
0.491801,0.503201,0.5925549999999999,0.53012,0.48980099999999993,$RhoA_mod,4.25,N/A,,WT,WT_Sweep,1D,-0.06243499999999991,Normal
0.5026,0.4982,0.6130559999999999,0.522833,0.49439999999999995,$RhoA_mod,4.5,N/A,,WT,WT_Sweep,1D,-0.09022299999999994,Normal
0.503403,0.49259900000000006,0.608013,0.531194,0.5019999999999999,$RhoA_mod,4.75,N/A,,WT,WT_Sweep,1D,-0.07681899999999997,Normal
0.512799,0.5086,0.6084440000000001,0.520108,0.5089990000000001,$RhoA_mod,5.0,N/A,,WT,WT_Sweep,1D,-0.08833600000000008,Normal
0.49860000000000004,0.487201,0.611694,0.5204679999999999,0.5018009999999999,$RhoA_mod,5.25,N/A,,WT,WT_Sweep,1D,-0.09122600000000003,Normal
0.485601,0.5084,0.368351,0.649695,0.508601,$RhoA_basal,0.0,N/A,,WT,WT_Sweep,1D,0.28134400000000004,Hyper
0.5093989999999999,0.4953989999999999,0.47822099999999995,0.580325,0.48799899999999996,$RhoA_basal,0.2,N/A,,WT,WT_Sweep,1D,0.10210400000000003,Normal
