t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.5009999999999999,0.5004000000000001,0.509201,0.528838,0.532797,WT,0.003958999999999935,Normal
0.1,0.500999,0.500399,0.509199,0.549771,0.550776,WT,0.0010050000000000336,Normal
0.2,0.501,0.5003989999999999,0.5092,0.548294,0.557124,WT,0.008830000000000005,Normal
0.3,0.500999,0.5004,0.509199,0.545082,0.55924,WT,0.014158000000000004,Normal
0.4,0.501,0.500401,0.509201,0.5451779999999999,0.551505,WT,0.0063270000000000826,Normal
0.5,0.501001,0.500401,0.509199,0.546276,0.5546719999999999,WT,0.008395999999999959,Normal
0.6,0.501,0.5004019999999999,0.5092000000000001,0.540325,0.5507179999999999,WT,0.010392999999999875,Normal
0.7,0.501,0.5004,0.5092009999999999,0.540435,0.5556719999999999,WT,0.015236999999999945,Normal
0.8,0.501001,0.5004010000000001,0.5092,0.5386740000000001,0.557893,WT,0.019218999999999875,Normal
0.9,0.500999,0.5003989999999999,0.509199,0.5402529999999999,0.5568449999999999,WT,0.01659200000000005,Normal
1.0,0.500999,0.5004,0.5091989999999998,0.536685,0.556785,WT,0.020100000000000007,Normal
1.1,0.500999,0.5003989999999999,0.5091979999999999,0.537242,0.558638,WT,0.02139599999999997,Normal
1.2,0.501001,0.500399,0.5092,0.538617,0.558368,WT,0.019750999999999963,Normal
1.3,0.501,0.500399,0.5092,0.540456,0.556463,WT,0.016006999999999993,Normal
1.4,0.501001,0.500401,0.509201,0.5376690000000001,0.5589640000000001,WT,0.021295000000000064,Normal
1.5,0.501001,0.500402,0.5092,0.539757,0.5588650000000001,WT,0.019108000000000014,Normal
1.6,0.501001,0.500401,0.509201,0.540419,0.560016,WT,0.019596999999999976,Normal
1.7,0.501002,0.500401,0.5092,0.542629,0.5615589999999999,WT,0.01892999999999989,Normal
1.8,0.501001,0.5003989999999999,0.5092,0.545582,0.558459,WT,0.012877000000000027,Normal
1.9,0.5009979999999999,0.5004,0.5091979999999999,0.545376,0.561129,WT,0.015753000000000017,Normal
2.0,0.5009979999999999,0.5003980000000001,0.5091990000000001,0.541239,0.5642350000000002,WT,0.022996000000000127,Normal
2.1,0.5009990000000001,0.500399,0.509199,0.5375620000000001,0.5681200000000001,WT,0.030557999999999974,Normal
2.2,0.501,0.5004010000000001,0.5091999999999999,0.5387040000000001,0.567269,WT,0.02856499999999995,Normal
2.3,0.5009979999999999,0.5004000000000001,0.509199,0.542199,0.558841,WT,0.016642000000000046,Normal
2.4,0.501001,0.5004,0.5092,0.544032,0.554967,WT,0.010935000000000028,Normal
2.5,0.501002,0.500401,0.5091999999999999,0.5466319999999999,0.556822,WT,0.010190000000000143,Normal
2.6,0.501001,0.500401,0.509201,0.544287,0.552807,WT,0.008520000000000083,Normal
2.7,0.501001,0.500402,0.509201,0.545869,0.553704,WT,0.007834999999999925,Normal
2.8,0.501,0.5004000000000001,0.509199,0.5524150000000001,0.5541960000000001,WT,0.0017810000000000326,Normal
2.9,0.501001,0.500401,0.5092009999999999,0.553634,0.5476789999999999,WT,-0.005955000000000044,Normal
3.0,0.501001,0.500402,0.509203,0.5531400000000001,0.5479320000000001,WT,-0.00520799999999999,Normal
3.1,0.501001,0.500401,0.509201,0.551053,0.5533359999999999,WT,0.002282999999999924,Normal
3.2,0.500998,0.5004000000000001,0.509198,0.5463279999999999,0.5553370000000001,WT,0.009009000000000156,Normal
3.3,0.501001,0.5004010000000001,0.5092,0.5495619999999999,0.551837,WT,0.002275000000000138,Normal
3.4,0.500999,0.500401,0.5091979999999999,0.5563379999999998,0.547264,WT,-0.009073999999999804,Normal
3.5,0.501,0.5004,0.5092000000000001,0.5548010000000001,0.5467899999999999,WT,-0.008011000000000212,Normal
3.6,0.500999,0.5004,0.509199,0.551135,0.549518,WT,-0.0016170000000000906,Normal
3.7,0.501001,0.5004000000000001,0.509201,0.548999,0.551543,WT,0.0025439999999999907,Normal
3.8,0.500999,0.500401,0.509201,0.5495289999999999,0.5560489999999999,WT,0.00651999999999997,Normal
3.9,0.5010020000000001,0.500401,0.5092,0.5526360000000001,0.555274,WT,0.002637999999999918,Normal
4.0,0.500999,0.500401,0.5091999999999999,0.553149,0.5561910000000001,WT,0.0030420000000001,Normal
4.1,0.500998,0.5004,0.509199,0.549605,0.5590890000000002,WT,0.009484000000000159,Normal
4.2,0.501,0.5004000000000001,0.509198,0.553169,0.553489,WT,0.00031999999999998696,Normal
4.3,0.5009979999999999,0.500399,0.5092,0.553964,0.554903,WT,0.0009390000000000231,Normal
4.4,0.501,0.500399,0.509202,0.555058,0.55013,WT,-0.0049280000000000435,Normal
